tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.9451345165657071,-0.9451345205875019,-4.021794786090993e-09,0.4064712074897981,0.40647136432466585,1.5683486775941446e-07,-0.24216409324984145,-0.24216341721848855,6.760313528975104e-07,0.009737557202516012,0.00973755660648972,-5.960262925569504e-10,-0.04589792282516658,-0.04589792282716574,-1.9991577837608077e-12
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.9213409130619243,-0.9213409163354903,-3.2735659738492018e-09,0.4390298278386314,0.439029938701267,1.1086263557169573e-07,-0.23241432141274387,-0.23241368069523008,6.407175137945753e-07,0.00485962087987124,0.004859620581273471,-2.9859776977392283e-10,-0.045681171960965106,-0.04568117196168031,-7.152056724635258e-13
0.57025,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.9145581827834509,-0.9145581859426752,-3.159224326587662e-09,0.4475357195782812,0.4475357839148316,6.433655042048514e-08,-0.23012203153705002,-0.23012140094554934,6.305915006832308e-07,0.0039019908251725077,0.0039019905775877508,-2.4758475694955373e-10,-0.04563502011334375,-0.04563502011391913,-5.753800214058913e-13
0.7919166666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.8725639282548131,-0.8725639311887157,-2.933902565338542e-09,0.49905659143959286,0.49905678378665075,1.923470578923947e-07,-0.22037181220846414,-0.22037123000121867,5.822072454697569e-07,0.0006279132030995171,0.0006279131260098093,-7.708970788111724e-11,-0.045592442656783305,-0.04559244265279569,3.98761579312179e-12
1.0468333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.8294809137006365,-0.8294809168591082,-3.1584717063992684e-09,0.5546083027144557,0.5546083595272445,5.681278880675933e-08,-0.21580294483458662,-0.21580236654442214,5.782901644768579e-07,-0.00019264548845043805,-0.0001926454988531389,-1.0402700836159573e-11,-0.046102240787437854,-0.04610224078137442,6.063434476732965e-12
1.1133333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.8188786330253633,-0.8188786362830724,-3.2577091024776905e-09,0.5696289031588939,0.5696287755894374,-1.2756945655389984e-07,-0.21481222156088942,-0.2148116353280337,5.862328557038055e-07,-0.0002656016917512716,-0.0002656016921076098,-3.5633822281777583e-13,-0.046322941695819964,-0.0463229416903259,5.4940635374478575e-12
1.3793333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.7779701468178107,-0.7779701505194929,-3.7016821829993773e-09,0.6338649139081726,0.6338648058718824,-1.080362901362264e-07,-0.2080575753310443,-0.2080569302155869,6.451154573872131e-07,-0.0007357415027220426,-0.0007357414844776184,1.8244424200564158e-11,-0.047496539330449394,-0.0474965393223425,8.10689709807022e-12
1.5455833333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.753070218585325,-0.7530702225018132,-3.916488244826155e-09,0.6748732405011635,0.6748733685406292,1.2803946569661662e-07,-0.2000628617568334,-0.20006216841142005,6.933454133606354e-07,-0.001379722478489498,-0.0013797224615028259,1.6986672051605423e-11,-0.04840222171120789,-0.04840222170404306,7.164831228312352e-12
1.56775,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.7497722110269556,-0.7497722149605969,-3.933641301578916e-09,0.6801510848124941,0.680151018021758,-6.679073605297958e-08,-0.19874119697643744,-0.19874049713101574,6.998454216977645e-07,-0.001488739075627965,-0.0014887390629366344,1.2691330625314023e-11,-0.04852908708413706,-0.04852908708323919,8.978651155899797e-13
1.63425,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.7399061111516836,-0.7399061151221796,-3.970496043059768e-09,0.6954888780085974,0.6954888344538407,-4.355475669015618e-08,-0.19441897086636128,-0.1944182518754639,7.18990897374816e-07,-0.001846031601471232,-0.001846031584556505,1.69147269975245e-11,-0.04891491266617587,-0.048914912667063305,-8.874359580524072e-13
