check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,2690,0.08210982570739599,0.050587013625486614,,,,,,,,
nonnegative_price,non_hard,price,32626,2669,0.08180592165757371,0.048244348256254725,,,,,,,,
nonnegative_price,short_maturity,price,905,406,0.4486187845303867,0.050587013625486614,,,,,,,,
nonnegative_price,atm,price,4887,21,0.004297114794352364,0.050587013625486614,,,,,,,,
nonnegative_price,hard,price,135,21,0.15555555555555556,0.050587013625486614,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,1167,0.03562162327157291,1.5487968897496542,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,32626,1164,0.035677067369582545,1.5487968897496542,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,339,0.37458563535911604,1.5487968897496542,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,3,0.0006138735420503376,1.398042856008502,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,3,0.022222222222222223,1.398042856008502,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,1985,0.06059033607032752,5.076038579727387,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,32626,1854,0.05682584441856188,1.1089191862917982,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,476,0.5259668508287293,5.076038579727387,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,661,0.13525680376509105,5.076038579727387,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,131,0.9703703703703703,5.076038579727387,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,2599,0.07933213271878148,250.90538831283624,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,32626,2497,0.076534052596089,80.35183502164601,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,756,0.8353591160220994,250.90538831283624,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,551,0.11274810722324534,250.90538831283624,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,102,0.7555555555555555,250.90538831283624,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
