epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count
1,adam,0.001,27.483600169420242,8.31854255264625,0.0,0.0,0.0,0.0,17.03574163466692,2.1293160687200725,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,1,0,0
2,adam,0.001,11.178667038679123,8.480146238580346,0.0,0.0,0.0,0.0,2.428382959216833,0.2701378900092095,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
3,adam,0.001,4.256420902907848,2.1105052595958114,0.0,0.0,0.0,0.0,1.9847676753997803,0.16114790458232164,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
4,adam,0.001,4.424504488706589,3.0454409569501877,0.0,0.0,0.0,0.0,1.2061397358775139,0.17292379705031635,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
5,adam,0.001,4.408548548817635,2.5455358028411865,0.0,0.0,0.0,0.0,1.4622003473341465,0.4008122739614919,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
6,adam,0.001,1.5032324343919754,0.2936291713267565,0.0,0.0,0.0,0.0,1.0909694954752922,0.11863374290987849,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
7,adam,0.001,1.2237372938543558,0.4904012237675488,0.0,0.0,0.0,0.0,0.6023131031543016,0.13102295261342078,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
8,adam,0.001,0.564230602234602,0.1809035139158368,0.0,0.0,0.0,0.0,0.324816582724452,0.058510515256784856,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
9,adam,0.001,0.40148307755589485,0.12299873237498105,0.0,0.0,0.0,0.0,0.2243564911186695,0.05412785802036524,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
10,adam,0.001,0.2995705511420965,0.08340814616531134,0.0,0.0,0.0,0.0,0.17874052934348583,0.037421874701976776,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
11,adam,0.001,0.2190687358379364,0.029966195579618216,0.0,0.0,0.0,0.0,0.16111186798661947,0.027990669943392277,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
12,adam,0.001,0.2077204082161188,0.04370422521606088,0.0,0.0,0.0,0.0,0.13173337560147047,0.0322828060016036,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
13,adam,0.001,0.1585885938256979,0.02600309089757502,0.0,0.0,0.0,0.0,0.11678779404610395,0.0157977060880512,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
14,adam,0.001,0.14654681086540222,0.022530935355462134,0.0,0.0,0.0,0.0,0.11180213652551174,0.012213741312734783,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
15,adam,0.001,0.13502155523747206,0.017546144663356245,0.0,0.0,0.0,0.0,0.10563074983656406,0.011844661203213036,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
16,adam,0.001,0.13160232547670603,0.020812010567169636,0.0,0.0,0.0,0.0,0.10252278577536345,0.008267530589364469,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
17,adam,0.001,0.12250256258994341,0.016991721116937697,0.0,0.0,0.0,0.0,0.09715355653315783,0.008357286744285375,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
18,adam,0.001,0.11092137824743986,0.014324730029329658,0.0,0.0,0.0,0.0,0.09074273705482483,0.00585391087224707,0.0,0.0,0.0,0.0,13.852384567260742,8.731897354125977,0.0,0.0,0.0,0.0,4.951269149780273,0.16921846568584442,0.0,0.0,0.0,0.0,0,0,0
