tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.3075312888815851,-0.3075312836432075,5.2383776205644494e-09,1.1978734476558728,1.1978735078643041,6.020843135168263e-08,0.21093966874566328,0.21093966986661294,1.1209496664221774e-09,-0.0575155753256007,-0.05751557539041636,-6.481565978377901e-11,-0.3072965105350989,-0.30729651056794544,-3.28465588061988e-11
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.2896404023354504,-0.28964039674674746,5.5887029448697945e-09,1.1007179140376522,1.1007179450254745,3.098782230814834e-08,0.22406237523711625,0.2240623767940296,1.5569133482440378e-09,-0.0595437988616665,-0.059543798934043754,-7.237725696551678e-11,-0.3623947571296249,-0.36239478652639984,-2.939677495872317e-08
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.28484412499057976,-0.284844119358822,5.631757782342817e-09,1.0719144238890976,1.0719144681602295,4.427113187155385e-08,0.22769889480453442,0.22769889647682248,1.6722880580299915e-09,-0.060050346226553364,-0.0600503463012384,-7.468503593344167e-11,-0.3790431420871987,-0.37904318040817125,-3.832097256184497e-08
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.2590263911911306,-0.2590263858423205,5.348810061533982e-09,0.8923336292099293,0.8923336652849652,3.607503584746041e-08,0.24782127462291692,0.2478212768451526,2.2222356732548576e-09,-0.062169882413809496,-0.06216988248363988,-6.983038453034496e-11,-0.491347672413045,-0.4913477709998511,-9.85868061076367e-08
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.24049927490193967,-0.24049927049445544,4.4074842386887525e-09,0.727055887717043,0.7270559263830145,3.866597153567852e-08,0.26159571592965225,0.2615957182979485,2.3682962257964846e-09,-0.062136054141403996,-0.06213605418947579,-4.8071796543425194e-11,-0.6227729435867579,-0.6227731115413895,-1.6795463153584933e-07
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.23721173498053583,-0.23721173084349415,4.137041681451237e-09,0.6922047435242717,0.6922047426559692,-8.683025409794709e-10,0.263611032071398,0.263611034399306,2.3279079774951583e-09,-0.06177964070902542,-0.061779640750801265,-4.17758466708662e-11,-0.6573308824558977,-0.657331068302295,-1.858463973825053e-07
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.2286570403589594,-0.22865703719235242,3.1666069766345117e-09,0.5839893069126134,0.583989278543929,-2.8368684401591793e-08,0.2660909598684036,0.26609096179512737,1.9267237805209447e-09,-0.05938979926289889,-0.05938979928079575,-1.789685760700266e-11,-0.7961034730641359,-0.7961037290241799,-2.5596004404881967e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.22598463344652986,-0.2259846307396507,2.706879165259579e-09,0.5374057254758924,0.5374056509399218,-7.453597061779504e-08,0.263923040534908,0.2639230420769227,1.542014682609505e-09,-0.05740479367050133,-0.05740479367929577,-8.794437400538868e-12,-0.8828939935023872,-0.8828942918322571,-2.9832986991884525e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.22573614925747165,-0.22573614660533972,2.6521319307359903e-09,0.5321700080607172,0.5321700369793828,2.8918665573307578e-08,0.2634620594910153,0.2634620609788573,1.4878420162567352e-09,-0.057124617515447174,-0.05712461752302312,-7.575946814331047e-12,-0.8944501543636796,-0.8944504582459054,-3.0388222582722335e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.2251121801399858,-0.22511217763706987,2.5029159300693493e-09,0.5176510553539515,0.5176510578620389,2.5080874044292045e-09,0.26187008969752457,0.26187009101359693,1.3160723622007708e-09,-0.0562704451731455,-0.05627044518031962,-7.1741224072496834e-12,-0.9290814904178157,-0.9290818108153246,-3.203975088572619e-07
