epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde,loss_log_var_term,loss_log_var_clamped_term,loss_weight_term,loss_log_var_low,loss_log_var_clamped_low,loss_weight_low,loss_log_var_no_arbitrage,loss_log_var_clamped_no_arbitrage,loss_weight_no_arbitrage
1,adam,0.001,0.49256608821451664,0.0009849468333413824,0.0,0.0,0.0,0.0,0.13068635994568467,0.30537556065246463,0.0,0.0,0.055519219604320824,0.0,0.10985841602087021,-0.00545477494597435,0.0,0.0,0.0,0.0,0.05450328439474106,0.04758790135383606,0.0,0.0,0.013222001492977142,0.0,1,0,0,-0.007999572902917862,-0.007999572902917862,1.008031654976803,-0.008058586157858372,-0.008058586157858372,1.0080911439611482,-0.007483191788196564,-0.007483191788196564,1.0075112608395476,-0.00803886353969574,-0.00803886353969574,1.008071261960506
2,adam,0.001,0.05492837680503726,-0.007354309724178165,0.0,0.0,0.0,0.0,0.04046095907688141,0.021568409050814807,0.0,0.0,0.0002533184178901138,0.0,0.10985841602087021,-0.00545477494597435,0.0,0.0,0.0,0.0,0.05450328439474106,0.04758790135383606,0.0,0.0,0.013222001492977142,0.0,0,0,0,-0.015996688976883888,-0.015996688976883888,1.0161253209860983,-0.01620939001441002,-0.01620939001441002,1.0163414748833928,-0.015687907114624977,-0.015687907114624977,1.0158116083540738,-0.01611866056919098,-0.01611866056919098,1.0162492669682732
3,adam,0.001,-0.01932003884576261,-0.01555234007537365,0.0,0.0,0.0,0.0,0.009321906749391928,-0.0022458529529103544,0.0,0.0,-0.010843752534128726,0.0,0.10985841602087021,-0.00545477494597435,0.0,0.0,0.0,0.0,0.05450328439474106,0.04758790135383606,0.0,0.0,0.013222001492977142,0.0,0,0,0,-0.023986609652638435,-0.023986609652638435,1.0242766023792937,-0.024389928206801414,-0.024389928206801414,1.0246897954562446,-0.02406146749854088,-0.02406146749854088,1.0243532803892956,-0.024205373600125313,-0.024205373600125313,1.0245007016836793
4,adam,0.001,-0.07043654285371304,-0.02374502969905734,0.0,0.0,0.0,0.0,-0.003305851731056464,-0.02034863829612732,0.0,0.0,-0.023037023609504104,0.0,0.10985841602087021,-0.00545477494597435,0.0,0.0,0.0,0.0,0.05450328439474106,0.04758790135383606,0.0,0.0,0.013222001492977142,0.0,0,0,0,-0.03196999430656433,-0.03196999430656433,1.0324865243661918,-0.03257744386792183,-0.03257744386792183,1.0331138983822696,-0.03246062621474266,-0.03246062621474266,1.0329932194900435,-0.032279375940561295,-0.032279375940561295,1.0328060061525304
5,adam,0.001,-0.11022692359983921,-0.032432395964860916,0.0,0.0,0.0,0.0,-0.0152629449730739,-0.03138035559095442,0.0,0.0,-0.031151227420195937,0.0,0.10985841602087021,-0.00545477494597435,0.0,0.0,0.0,0.0,0.05450328439474106,0.04758790135383606,0.0,0.0,0.013222001492977142,0.0,0,0,0,-0.039942581206560135,-0.039942581206560135,1.040751013809236,-0.04075034335255623,-0.04075034335255623,1.0415920327074841,-0.04082948714494705,-0.04082948714494705,1.0416744715132935,-0.04034160450100899,-0.04034160450100899,1.041166380572463
6,adam,0.001,-0.14721695892512798,-0.04030160838738084,0.0,0.0,0.0,0.0,-0.02581929392181337,-0.04042991669848561,0.0,0.0,-0.04066613828763366,0.0,0.10985841602087021,-0.00545477494597435,0.0,0.0,0.0,0.0,0.05450328439474106,0.04758790135383606,0.0,0.0,0.013222001492977142,0.0,0,0,0,-0.04790559411048889,-0.04790559411048889,1.0490716121107106,-0.048904962837696075,-0.048904962837696075,1.0501205455207776,-0.049149028956890106,-0.049149028956890106,1.0503768756464857,-0.04838569834828377,-0.04838569834828377,1.0495753967623314
7,adam,0.001,-0.1835921723395586,-0.048405276611447334,0.0,0.0,0.0,0.0,-0.036464909091591835,-0.049547073896974325,0.0,0.0,-0.04917491693049669,0.0,0.10985841602087021,-0.00545477494597435,0.0,0.0,0.0,0.0,0.05450328439474106,0.04758790135383606,0.0,0.0,0.013222001492977142,0.0,0,0,0,-0.055857349187135696,-0.055857349187135696,1.0574468273274933,-0.05703720822930336,-0.05703720822930336,1.058695201836485,-0.05741950497031212,-0.05741950497031212,1.0591000149363028,-0.056412555277347565,-0.056412555277347565,1.0580340912572703
8,adam,0.001,-0.21982665732502937,-0.056548033375293016,0.0,0.0,0.0,0.0,-0.04762021033093333,-0.058285546489059925,0.0,0.0,-0.05737286387011409,0.0,0.10985841602087021,-0.00545477494597435,0.0,0.0,0.0,0.0,0.05450328439474106,0.04758790135383606,0.0,0.0,0.013222001492977142,0.0,0,0,0,-0.06379776448011398,-0.06379776448011398,1.0658768188106917,-0.06515275686979294,-0.06515275686979294,1.06732205270786,-0.06564352661371231,-0.06564352661371231,1.0678459906342719,-0.06442105025053024,-0.06442105025053024,1.066541371746553
9,adam,0.001,-0.25632115080952644,-0.06456081056967378,0.0,0.0,0.0,0.0,-0.059329585172235966,-0.0667828880250454,0.0,0.0,-0.0656478707678616,0.0,0.10985841602087021,-0.00545477494597435,0.0,0.0,0.0,0.0,0.05450328439474106,0.04758790135383606,0.0,0.0,0.013222001492977142,0.0,0,0,0,-0.07172662764787674,-0.07172662764787674,1.0743616031568357,-0.07325578480958939,-0.07325578480958939,1.0760057276385608,-0.07382581382989883,-0.07382581382989883,1.0766192569774848,-0.07241197675466537,-0.07241197675466537,1.0750981682952265
10,adam,0.001,-0.2921232432126999,-0.07268727011978626,0.0,0.0,0.0,0.0,-0.07059688027948141,-0.07513779401779175,0.0,0.0,-0.0737012978643179,0.0,0.10985841602087021,-0.00545477494597435,0.0,0.0,0.0,0.0,0.05450328439474106,0.04758790135383606,0.0,0.0,0.013222001492977142,0.0,0,0,0,-0.07964430004358292,-0.07964430004358292,1.0829018110341466,-0.0813499465584755,-0.0813499465584755,1.084750434835307,-0.08197090774774551,-0.08197090774774551,1.0854242319346568,-0.0803857073187828,-0.0803857073187828,1.0837049800160468
