epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde,loss_log_var_term,loss_log_var_clamped_term,loss_weight_term,loss_log_var_low,loss_log_var_clamped_low,loss_weight_low,loss_log_var_right,loss_log_var_clamped_right,loss_weight_right,loss_log_var_v_zero,loss_log_var_clamped_v_zero,loss_weight_v_zero,loss_log_var_no_arbitrage,loss_log_var_clamped_no_arbitrage,loss_weight_no_arbitrage
1,adam,0.001,0.994688019156456,0.42211243882775307,0.0,0.0,0.0,0.0,0.25907972641289234,0.15231696492992342,0.07788678084034473,0.05999835154580069,0.02329377201385796,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,1,0,0,-0.015979690477252007,-0.015979690477252007,1.0161080485270069,-0.012612873688340187,-0.012612873688340187,1.0126927514557986,-0.015622643753886223,-0.015622643753886223,1.0157453152379146,-0.016057658940553665,-0.016057658940553665,1.016187275998681,-0.015981240198016167,-0.015981240198016167,1.0161096232119686,-0.01612241566181183,-0.01612241566181183,1.0162530830855616
2,adam,0.001,0.2194961664499715,0.21279214788228273,0.0,0.0,0.0,0.0,0.04479428585909773,0.0014574938650184777,-0.0012144880638516042,-0.01895487013098318,-0.019378397264517844,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.033113185316324234,-0.033113185316324234,1.0336675286066408,-0.028990941122174263,-0.028990941122174263,1.0294152690857374,-0.0322304368019104,-0.0322304368019104,1.0327554627529811,-0.03239408880472183,-0.03239408880472183,1.0329244890832465,-0.03228026628494263,-0.03228026628494263,1.0328069257059642,-0.03227444365620613,-0.03227444365620613,1.032800912072187
3,adam,0.001,-0.13691756292246282,0.021724841251852922,0.0,0.0,0.0,0.0,-0.026289865898434073,-0.027506279067893047,-0.030680552241392434,-0.03866328240837902,-0.03550242132041603,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.051657043397426605,-0.051657043397426605,1.0530145422890205,-0.04591818153858185,-0.04591818153858185,1.0469887444442414,-0.04883873462677002,-0.04883873462677002,1.0500510002187469,-0.048739198595285416,-0.048739198595285416,1.049946487510805,-0.04854855686426163,-0.04854855686426163,1.0497463429735003,-0.048346467316150665,-0.048346467316150665,1.0495342216438914
4,adam,0.001,-0.29879550728946924,-0.03614431811729446,0.0,0.0,0.0,0.0,-0.04834796627983451,-0.053063137689605355,-0.05230682669207454,-0.05535080935806036,-0.05358244781382382,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.0702836886048317,-0.0702836886048317,1.072812482765222,-0.0627763420343399,-0.0627763420343399,1.0647886641309416,-0.06536813080310822,-0.06536813080310822,1.0675519508126068,-0.06503485143184662,-0.06503485143184662,1.0671962170523055,-0.06471062451601028,-0.06471062451601028,1.0668502594016802,-0.0643574595451355,-0.0643574595451355,1.0664735517847737
5,adam,0.001,-0.40215311385691166,-0.05770130665041506,0.0,0.0,0.0,0.0,-0.06516322703100741,-0.07115092873573303,-0.06847180821932852,-0.07112376764416695,-0.06854207417927682,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.08843858540058136,-0.08843858540058136,1.0924671571173468,-0.0794142559170723,-0.0794142559170723,1.0826527244844777,-0.08175595104694366,-0.08175595104694366,1.0851909377977569,-0.08122190088033676,-0.08122190088033676,1.0846115461225068,-0.08076727390289307,-0.08076727390289307,1.0841185645234508,-0.08029309660196304,-0.08029309660196304,1.0836046219682134
6,adam,0.001,-0.49865468963980675,-0.07551183085888624,0.0,0.0,0.0,0.0,-0.08092830702662468,-0.0869200648739934,-0.08438806189224124,-0.08661730261519551,-0.08428912423551083,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.1060999184846878,-0.1060999184846878,1.111932973613909,-0.09585067629814148,-0.09585067629814148,1.1005947068472033,-0.09799829870462418,-0.09799829870462418,1.102960908644618,-0.09729431569576263,-0.09729431569576263,1.1021847161507135,-0.09673143178224564,-0.09673143178224564,1.1015644886786773,-0.096158467233181,-0.096158467233181,1.100933512059035
7,adam,0.001,-0.5834681205451488,-0.08421360095962882,0.0,0.0,0.0,0.0,-0.09670363226905465,-0.10194791294634342,-0.09968650760129094,-0.10175694711506367,-0.09915951965376735,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.12327297031879425,-0.12327297031879425,1.1311931609649082,-0.11212515830993652,-0.11212515830993652,1.118652860585221,-0.11410971730947495,-0.11410971730947495,1.1208750975378747,-0.1132684275507927,-0.1132684275507927,1.1199325133463618,-0.11261311173439026,-0.11261311173439026,1.1191988442757912,-0.11195733398199081,-0.11195733398199081,1.1184651391732392
8,adam,0.001,-0.6834309473633766,-0.10781282791867852,0.0,0.0,0.0,0.0,-0.11191381420940161,-0.1173778953962028,-0.11479330155998468,-0.11703022848814726,-0.11450289422646165,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.14021162688732147,-0.14021162688732147,1.1505172534807104,-0.1282651275396347,-0.1282651275396347,1.1368543741475001,-0.13011181354522705,-0.13011181354522705,1.1389557268828012,-0.1291598379611969,-0.1291598379611969,1.137871984769379,-0.12842193245887756,-0.12842193245887756,1.137032652482924,-0.12769654393196106,-0.12769654393196106,1.1362081611165253
9,adam,0.001,-0.7780564241111279,-0.12585293408483267,0.0,0.0,0.0,0.0,-0.12734274426475167,-0.13323963712900877,-0.13003072561696172,-0.1320646507665515,-0.12952573783695698,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.15695782005786896,-0.15695782005786896,1.1699462645944083,-0.14429281651973724,-0.14429281651973724,1.1552223271858608,-0.14602890610694885,-0.14602890610694885,1.1572296385710286,-0.1449691355228424,-0.1449691355228424,1.156003890261737,-0.14416438341140747,-0.14416438341140747,1.155073967918893,-0.14337879419326782,-0.14337879419326782,1.1541669105974175
10,adam,0.001,-0.8631729371845722,-0.14034933084622025,0.0,0.0,0.0,0.0,-0.1416121870279312,-0.1480784434825182,-0.14223480876535177,-0.14688474219292402,-0.1440134234726429,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.17353016138076782,-0.17353016138076782,1.1894965630873273,-0.1602170765399933,-0.1602170765399933,1.1737656403225516,-0.1618637591600418,-0.1618637591600418,1.1757000520464571,-0.16069114208221436,-0.16069114208221436,1.1743222140830687,-0.15984328091144562,-0.15984328091144562,1.1733269738481724,-0.15900270640850067,-0.15900270640850067,1.1723411195103957
11,adam,0.001,-0.9603386633098125,-0.1599292205646634,0.0,0.0,0.0,0.0,-0.15707960352301598,-0.16301277745515108,-0.1597329629585147,-0.16153310891240835,-0.15905098244547844,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.18995782732963562,-0.18995782732963562,1.209198601447912,-0.17605175077915192,-0.17605175077915192,1.1924997698460824,-0.17762069404125214,-0.17762069404125214,1.1943722028114852,-0.1763482242822647,-0.1763482242822647,1.1928533668437902,-0.17546090483665466,-0.17546090483665466,1.1917953943048467,-0.17457228899002075,-0.17457228899002075,1.1907368164357146
12,adam,0.001,-1.0432303696870804,-0.17036243341863155,0.0,0.0,0.0,0.0,-0.1715345522388816,-0.1769676636904478,-0.1750299008563161,-0.17595430370420218,-0.17338153906166553,0.0,0.4178745448589325,0.24652305245399475,0.0,0.0,0.0,0.0,0.15948303043842316,0.015611083246767521,0.008204679004848003,0.00027907337062060833,-0.012226369231939316,0.0,0,0,0,-0.20623047649860382,-0.20623047649860382,1.229036435369251,-0.19180554151535034,-0.19180554151535034,1.2114349202599084,-0.1933003067970276,-0.1933003067970276,1.2132470851629018,-0.19196227192878723,-0.19196227192878723,1.2116248038356896,-0.19101856648921967,-0.19101856648921967,1.2104819262723001,-0.19008885324001312,-0.19008885324001312,1.2093570481755804
