check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,16854,0.5144531607704282,0.010709161258606948,,,,,,,,
nonnegative_price,non_hard,price,32626,16789,0.5145895911236438,0.010709161258606948,,,,,,,,
nonnegative_price,short_maturity,price,905,450,0.4972375690607735,0.0004660239780506578,,,,,,,,
nonnegative_price,atm,price,4887,2917,0.5968897073869449,0.010709161258606948,,,,,,,,
nonnegative_price,hard,price,135,65,0.48148148148148145,0.0004660239780506578,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,16062,0.49027807453984923,0.021153609874165365,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,32626,16008,0.49065162753632074,0.021153609874165365,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,439,0.4850828729281768,0.0027272336021218224,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,2125,0.4348270922856558,0.021153609874165365,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,54,0.4,0.0027272336021218224,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,31109,0.949574188822075,0.4174099107340144,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,32626,31026,0.9509593575675841,0.4174099107340144,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,848,0.9370165745856354,0.09145739391405763,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,3251,0.6652342950685493,0.10959639431670061,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,83,0.6148148148148148,0.02422485786845169,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0010879917158140532,0.002181953195484071,0.002211037202719204,0.002220099948227531,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,6.316566381615971e-05,8.783773763870879e-05,0.0001587722703275237,0.000485879784565324,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.005795338163827837,0.0007262119307881343,0.4020257596397125,0.402215152580153,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.00014640844825279783,0.0002976053864837792,0.000995118048409701,0.003363859251537926,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,2.780216567914601,0.012326711949401001,161.78575349200773,161.78806781192546,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.0007847686622374134,0.0020068608180829344,0.006637014487338666,0.023299111005584662,,,
