epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde,loss_log_var_term,loss_log_var_clamped_term,loss_weight_term,loss_log_var_low,loss_log_var_clamped_low,loss_weight_low,loss_log_var_right,loss_log_var_clamped_right,loss_weight_right,loss_log_var_v_zero,loss_log_var_clamped_v_zero,loss_weight_v_zero,loss_log_var_no_arbitrage,loss_log_var_clamped_no_arbitrage,loss_weight_no_arbitrage
1,adam,0.001,1.2594289779663086,0.6386275477707386,0.0,0.0,0.0,0.0,-0.007483366644005977,0.1921729928581044,0.155566509347409,0.1704311617068015,0.11011413959204219,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,1,0,0,-0.015709059312939644,-0.015709059312939644,1.0158330952299106,-0.015994982793927193,-0.015994982793927193,1.0161235872918728,-0.014633271843194962,-0.014633271843194962,1.0147408623252852,-0.015953771770000458,-0.015953771770000458,1.0160817126612585,-0.01410798728466034,-0.01410798728466034,1.014207974590494,-0.015124494209885597,-0.015124494209885597,1.0152394481814908
2,adam,0.001,0.49070148169994354,0.5213513877242804,0.0,0.0,0.0,0.0,-0.02336891635786742,0.009167839867586736,-0.004253230938047636,2.878942177630961e-05,-0.012224405334563926,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.032486360520124435,-0.032486360520124435,1.0330198031950664,-0.03196403756737709,-0.03196403756737709,1.0324803741315696,-0.031314924359321594,-0.031314924359321594,1.0318103949533541,-0.03273739665746689,-0.03273739665746689,1.0332791610489935,-0.03058520518243313,-0.03058520518243313,1.0310577377688328,-0.031503088772296906,-0.031503088772296906,1.032004563217828
3,adam,0.001,0.28461239114403725,0.3863860070705414,0.0,0.0,0.0,0.0,-0.03911866596899927,-0.006808076148445252,-0.007821014063665643,-0.020817841723328456,-0.027208017301745713,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.050894737243652344,-0.050894737243652344,1.052212128704684,-0.04789155721664429,-0.04789155721664429,1.0490568865072072,-0.047974005341529846,-0.047974005341529846,1.0491433828460794,-0.0493268221616745,-0.0493268221616745,1.0505636421198514,-0.04708144813776016,-0.04708144813776016,1.0482073801420504,-0.047848980873823166,-0.047848980873823166,1.049012222452391
4,adam,0.001,0.0315215599257499,0.25257759541273117,0.0,0.0,0.0,0.0,-0.05472246976569295,-0.03818032841081731,-0.04025877299136482,-0.03903176658786833,-0.04886269895359874,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.07046457380056381,-0.07046457380056381,1.0730065562131283,-0.06377094984054565,-0.06377094984054565,1.0658482380911636,-0.06444331258535385,-0.06444331258535385,1.0665651157119713,-0.06575347483158112,-0.06575347483158112,1.0679634048525242,-0.06343893706798553,-0.06343893706798553,1.0654944216015536,-0.0640760138630867,-0.0640760138630867,1.0661734396432188
5,adam,0.001,-0.1598511110059917,0.1592753380537033,0.0,0.0,0.0,0.0,-0.0701771778985858,-0.06321773282252252,-0.055106404703110456,-0.06233676732517779,-0.06828836328350008,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.09057147800922394,-0.09057147800922394,1.094799758952258,-0.07960015535354614,-0.07960015535354614,1.082854007724497,-0.08089470863342285,-0.08089470863342285,1.0842567276837887,-0.08209816366434097,-0.08209816366434097,1.0855623673792762,-0.07970297336578369,-0.07970297336578369,1.08296535034503,-0.08023495972156525,-0.08023495972156525,1.083541626407108
6,adam,0.001,-0.25878641847521067,0.13533384632319212,0.0,0.0,0.0,0.0,-0.08548260247334838,-0.08115485077723861,-0.07087199250236154,-0.07320190011523664,-0.08340891590341926,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.11009779572486877,-0.11009779572486877,1.116387243020145,-0.09537868946790695,-0.09537868946790695,1.100075363211465,-0.09723714739084244,-0.09723714739084244,1.1021217079198362,-0.0982842817902565,-0.0982842817902565,1.1032763819164637,-0.0958273857831955,-0.0958273857831955,1.1005690737282394,-0.09629800915718079,-0.09629800915718079,1.1010871491586625
7,adam,0.001,-0.33596406877040863,0.1415143923368305,0.0,0.0,0.0,0.0,-0.10063947038725019,-0.09785883128643036,-0.08557269303128123,-0.09460790874436498,-0.0987995550967753,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.128804549574852,-0.128804549574852,1.1374677838762366,-0.1111065000295639,-0.1111065000295639,1.1175139157821874,-0.11347553133964539,-0.11347553133964539,1.1201644796328545,-0.11433474719524384,-0.11433474719524384,1.1211273563148523,-0.11188612133264542,-0.11188612133264542,1.1183854931434143,-0.11226750165224075,-0.11226750165224075,1.1188121047056763
8,adam,0.001,-0.4743659943342209,0.07351187360472977,0.0,0.0,0.0,0.0,-0.11564876278862357,-0.10998266888782382,-0.09900032286532223,-0.10918441042304039,-0.11406169598922133,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.14704447984695435,-0.14704447984695435,1.1584054875827434,-0.12678365409374237,-0.12678365409374237,1.1351714015277876,-0.1295328289270401,-0.1295328289270401,1.1382964799014872,-0.1302526891231537,-0.1302526891231537,1.1391161892314063,-0.1278628706932068,-0.1278628706932068,1.1363971586573034,-0.12814797461032867,-0.12814797461032867,1.136721196128624
9,adam,0.001,-0.6005165763199329,0.03738294306094758,0.0,0.0,0.0,0.0,-0.13051151810213923,-0.13184740906581283,-0.11845510499551892,-0.1280334908515215,-0.12905200198292732,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.165571928024292,-0.165571928024292,1.1800678396151436,-0.1424102634191513,-0.1424102634191513,1.1530496055855217,-0.1455620676279068,-0.1455620676279068,1.1566895253292873,-0.14614589512348175,-0.14614589512348175,1.1573650296478277,-0.14379264414310455,-0.14379264414310455,1.1546446613672188,-0.14395615458488464,-0.14395615458488464,1.1548334732618355
10,adam,0.001,-0.7066789828240871,0.006522763636894524,0.0,0.0,0.0,0.0,-0.14522876031696796,-0.14601454604417086,-0.13878840301185846,-0.13931659422814846,-0.14385344926267862,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.183848038315773,-0.183848038315773,1.2018331766253405,-0.1579863727092743,-0.1579863727092743,1.1711502349941902,-0.16150498390197754,-0.16150498390197754,1.1752783156157,-0.16200651228427887,-0.16200651228427887,1.1758678988820974,-0.1596117466688156,-0.1596117466688156,1.1730553399234163,-0.1596849262714386,-0.1596849262714386,1.173141186788128
11,adam,0.001,-0.7716150619089603,0.011430393322370946,0.0,0.0,0.0,0.0,-0.1598015148192644,-0.1619409555569291,-0.14730541361495852,-0.15529476571828127,-0.15870280656963587,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.20156142115592957,-0.20156142115592957,1.2233113719538775,-0.17351210117340088,-0.17351210117340088,1.1894750807267243,-0.1773698925971985,-0.1773698925971985,1.1940726900989629,-0.1777649074792862,-0.1777649074792862,1.1945444597537294,-0.17534981667995453,-0.17534981667995453,1.1916630073047798,-0.17535267770290375,-0.17535267770290375,1.1916664166848685
12,adam,0.001,-0.8857302814722061,-0.023154471011366695,0.0,0.0,0.0,0.0,-0.17423080932348967,-0.17652346473187208,-0.16640165820717812,-0.17243580240756273,-0.17298407666385174,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.21919704973697662,-0.21919704973697662,1.2450765945322972,-0.18898752331733704,-0.18898752331733704,1.20802588023332,-0.193155437707901,-0.193155437707901,1.2130713358934144,-0.19346117973327637,-0.19346117973327637,1.213442279484208,-0.1910364180803299,-0.1910364180803299,1.2105035354935734,-0.19095391035079956,-0.19095391035079956,1.2104036637154247
13,adam,0.001,-0.9696437492966652,-0.038894345285370946,0.0,0.0,0.0,0.0,-0.18851767294108868,-0.19105881173163652,-0.18019525241106749,-0.18439486157149076,-0.18658281210809946,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.23662102222442627,-0.23662102222442627,1.266960876765881,-0.20441274344921112,-0.20441274344921112,1.226804404454534,-0.20886272192001343,-0.20886272192001343,1.2322758224595163,-0.20910200476646423,-0.20910200476646423,1.2325707202065062,-0.20664964616298676,-0.20664964616298676,1.229551718147289,-0.20648548007011414,-0.20648548007011414,1.2293498840133499
14,adam,0.001,-1.0457846112549305,-0.0463305470184423,0.0,0.0,0.0,0.0,-0.20266310311853886,-0.2039163177832961,-0.195370614528656,-0.1994519717991352,-0.19805207755416632,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.2535669803619385,-0.2535669803619385,1.2886136884060062,-0.2197878211736679,-0.2197878211736679,1.2458123675362778,-0.22448258101940155,-0.22448258101940155,1.2516749082571854,-0.2246798425912857,-0.2246798425912857,1.2519218399713445,-0.22218412160873413,-0.22218412160873413,1.2488012880000576,-0.22193147242069244,-0.22193147242069244,1.2484858192217625
15,adam,0.001,-1.1358833089470863,-0.06589078973047435,0.0,0.0,0.0,0.0,-0.21666810289025307,-0.21670673694461584,-0.2099855411797762,-0.21608952805399895,-0.21054262295365334,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.270134299993515,-0.270134299993515,1.3101403907645939,-0.23511287569999695,-0.23511287569999695,1.2650515542539509,-0.24000515043735504,-0.24000515043735504,1.2712556978273772,-0.24017708003520966,-0.24017708003520966,1.2714742830983756,-0.23768913745880127,-0.23768913745880127,1.2683148599560214,-0.23728246986865997,-0.23728246986865997,1.2677991822701904
16,adam,0.001,-1.1677468121051788,-0.04115651367465034,0.0,0.0,0.0,0.0,-0.2305336883291602,-0.22206440567970276,-0.22363684512674809,-0.22991174273192883,-0.22044363524764776,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.2864764332771301,-0.2864764332771301,1.3317267830883568,-0.250387966632843,-0.250387966632843,1.2845236723521751,-0.255402535200119,-0.255402535200119,1.2909811816634318,-0.2556721568107605,-0.2556721568107605,1.2913293050176204,-0.25315284729003906,-0.25315284729003906,1.2880801413481016,-0.25255852937698364,-0.25255852937698364,1.2873148396854173
17,adam,0.001,-1.2800414264202118,-0.07926205976400524,0.0,0.0,0.0,0.0,-0.24426085501909256,-0.24385581072419882,-0.2330442713573575,-0.24549413938075304,-0.23412427306175232,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.3021091818809509,-0.3021091818809509,1.352708909950336,-0.2656131982803345,-0.2656131982803345,1.3042304825142765,-0.27071312069892883,-0.27071312069892883,1.310898946662519,-0.2709845006465912,-0.2709845006465912,1.3112547466263589,-0.2685505151748657,-0.2685505151748657,1.3080670525975504,-0.26771223545074463,-0.26771223545074463,1.3069709859789633
18,adam,0.001,-1.2451167665421963,-0.01639663055539131,0.0,0.0,0.0,0.0,-0.25785056874156,-0.2356081586331129,-0.24195084255188704,-0.25241829827427864,-0.24089228548109531,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.31762203574180603,-0.31762203574180603,1.3738568942807612,-0.2807886004447937,-0.2807886004447937,1.3241736446251735,-0.285855770111084,-0.285855770111084,1.3309004857795343,-0.2862226068973541,-0.2862226068973541,1.3313887985966595,-0.28384843468666077,-0.28384843468666077,1.3282316016570341,-0.28279727697372437,-0.28279727697372437,1.3268361543104967
19,adam,0.001,-1.3658817186951637,-0.045273608760908246,0.0,0.0,0.0,0.0,-0.27130380272865295,-0.2671945597976446,-0.24722634069621563,-0.27241084910929203,-0.2624725718051195,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.3316015303134918,-0.3316015303134918,1.393197590885913,-0.29591435194015503,-0.29591435194015503,1.344355010502701,-0.30094078183174133,-0.30094078183174133,1.3511293277650336,-0.3012325167655945,-0.3012325167655945,1.3515235568925044,-0.29909631609916687,-0.29909631609916687,1.3486395129146542,-0.297836035490036,-0.297836035490036,1.3469409192649642
20,adam,0.001,-1.4347001612186432,-0.03629006212577224,0.0,0.0,0.0,0.0,-0.2846216168254614,-0.2744958018884063,-0.28011390194296837,-0.2841391731053591,-0.27503959089517593,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.34594205021858215,-0.34594205021858215,1.4133207118182174,-0.31099051237106323,-0.31099051237106323,1.3647762726338795,-0.3160327076911926,-0.3160327076911926,1.3716751192185626,-0.316387414932251,-0.316387414932251,1.3721617486161122,-0.31431734561920166,-0.31431734561920166,1.3693242166449706,-0.312892347574234,-0.312892347574234,1.3673743219413528
21,adam,0.001,-1.368060514330864,0.06263514433521777,0.0,0.0,0.0,0.0,-0.29780491068959236,-0.2850811444222927,-0.2787274792790413,-0.29126366786658764,-0.2778184600174427,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.35878315567970276,-0.35878315567970276,1.4315863365454915,-0.3260170817375183,-0.3260170817375183,1.385439034376593,-0.33101797103881836,-0.33101797103881836,1.3923848146849094,-0.3314390778541565,-0.3314390778541565,1.3929712808937387,-0.3294084966182709,-0.3294084966182709,1.3901456093973028,-0.3277997374534607,-0.3277997374534607,1.387910997865606
22,adam,0.001,-1.477768637239933,0.019024224719032645,0.0,0.0,0.0,0.0,-0.31085458770394325,-0.3027063421905041,-0.2854447793215513,-0.3053613230586052,-0.2924258355051279,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.3705780506134033,-0.3705780506134033,1.448571720466828,-0.34099406003952026,-0.34099406003952026,1.406344887204308,-0.3460087478160858,-0.3460087478160858,1.4134149800578955,-0.34633249044418335,-0.34633249044418335,1.4138726368156354,-0.3444027900695801,-0.3444027900695801,1.4111469170158137,-0.3426175117492676,-0.3426175117492676,1.4086298744973396
23,adam,0.001,-1.6293968632817268,-0.04510944278445095,0.0,0.0,0.0,0.0,-0.32377156615257263,-0.3130553048104048,-0.3161059692502022,-0.3224166613072157,-0.30893793515861034,0.0,0.6569260358810425,0.6227824687957764,0.0,0.0,0.0,0.0,-0.01594381406903267,0.005326154176145792,0.0151259396225214,0.020268911495804787,0.009366367012262344,0.0,0,0,0,-0.38308843970298767,-0.38308843970298767,1.466807748373796,-0.35592159628868103,-0.35592159628868103,1.4274956229214926,-0.36091020703315735,-0.36091020703315735,1.4346346349946018,-0.36124303936958313,-0.36124303936958313,1.4351122072634228,-0.35940226912498474,-0.35940226912498474,1.4324729253157236,-0.35741138458251953,-0.35741138458251953,1.4296238741182539
