check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,4409,0.13458075150331186,0.13585083753105887,,,,,,,,
nonnegative_price,non_hard,price,32626,4378,0.1341874578556979,0.13585083753105887,,,,,,,,
nonnegative_price,short_maturity,price,905,31,0.03425414364640884,0.13509564166838955,,,,,,,,
nonnegative_price,atm,price,4887,513,0.10497237569060773,0.13585083753105887,,,,,,,,
nonnegative_price,hard,price,135,31,0.22962962962962963,0.13509564166838955,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,23901,0.729556484844785,42.57734580114151,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,32626,23816,0.7299699626065101,13.235347659378757,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,470,0.5193370165745856,42.57734580114151,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,4779,0.9779005524861878,42.57734580114151,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,85,0.6296296296296297,42.57734580114151,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,5572,0.17008027837978085,118.66518255832746,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,32626,5527,0.16940476920247655,37.0218376667045,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,61,0.06740331491712707,118.66518255832746,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,102,0.020871700429711478,118.66518255832746,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,45,0.3333333333333333,118.66518255832746,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,28912,0.882512743811239,25091.69093433693,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,32626,28797,0.8826396125789248,2854.7617019427253,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,885,0.9779005524861878,25091.69093433693,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,4730,0.9678739512993657,25091.69093433693,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,115,0.8518518518518519,25091.69093433693,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0032016227395957656,0.011774837398522349,0.03116514105844805,0.25197696230831024,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.001696654028816243,0.005418604156958327,0.018149304687066145,0.41011298974773297,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.17975199078376228,0.4667426778681715,2.1543012262969117,113.40130411879386,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.10817224094847193,0.21447959289233728,1.2429678480045134,112.07056413148885,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,24.65295363207503,28.01561177996151,248.66956052041704,89551.85098269809,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,18.29040456668905,13.02131851811201,146.75129731258622,61540.78630732416,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.17742787366020327,0.6995943401701767,1.6234332856590787,7.496625584866683,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.09187609981901511,0.3547780676820011,0.8413215049385786,11.640989005827052,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.02577450226872971,0.04314500791622493,0.24989255276160188,48.392012004989006,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.019799933944147252,0.019805013527809893,0.15414710284376593,79.04658561962002,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.0026460845448567478,0.009619905292831481,0.02621943712368851,0.197431304850275,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.0013518261884594802,0.004619968831909383,0.013849148440905241,0.19385147869163505,,,
terminal_payoff_boundary,terminal,price,181,181,1.0,0.4588244973082043,,,,,,0.2580996578362503,0.19542470204542597,0.454824811354624
lower_spot_boundary,lower_spot,price,181,181,1.0,0.4889201115328659,,,,,,0.4790564304411625,0.4790221870081068,0.4887211661825709
