tau,moneyness,v,rho,kappa,gamma,bar_v,r,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.005,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.3956103301956213,0.19992304650387993,0.19568728369174138,0.19568728369174138,0.07932560801082099,,,-0.2931853300733646,-1.0014030064976613,0.7082176764242967,0.7082176764242967,0.35386060384891516,0.009565873003383064,1.6854709242667951,-1.6759050512634122,1.6759050512634122,0.6240637484172273,0.731620892042551,0.002586849474208437,0.7290340425683426,0.7290340425683426,0.7271530071940137,-0.07349637528120438,-0.009733796882760309,-0.06376257839844407,0.06376257839844407,0.06314790947405272,12.015971588223746,-0.005005227258510046,12.020976815482255,12.020976815482255,11.96110874793509
0.07150000000000001,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.4004826970683742,0.19928524095808087,0.20119745611029333,0.20119745611029333,0.07893283674933155,,,-0.29419722505345314,-0.999999793453414,0.7058025683999609,0.7058025683999609,0.352901320645262,0.009476588243640354,9.418465033950553e-06,0.009467169778606403,0.009467169778606403,0.009467080613238674,0.7369751201502758,1.1214918471822704e-07,0.7369750080010911,0.7369750080010911,0.7369749253499539,-0.07303039448094463,0.00999279462104269,-0.08302318910198732,0.08302318910198732,0.08220176375925363,12.079033426310923,-0.07144888291403809,12.150482309224962,12.150482309224962,11.340235174056167
0.138,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.4053219595356291,0.19862165699473922,0.2067003025408899,0.2067003025408899,0.07847760247704451,,,-0.2951647658972601,-0.9999258275580346,0.7047610616607745,0.7047610616607745,0.35239359977730145,0.00937635947260023,0.00721347275146067,0.0021628867211395605,0.0021628867211395605,0.0021473965347495634,0.7420615293127858,0.000163401213192629,0.7418981280995932,0.7418981280995932,0.7417769208508079,-0.07250066918717213,0.009940635028535587,-0.08244130421570772,0.08244130421570772,0.08162985165299183,12.139511622472796,-0.13780160002768108,12.277313222500476,12.277313222500476,10.790381400590213
0.20450000000000002,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.4101238635231166,0.1979705979756502,0.21215326554746639,0.21215326554746639,0.0779594410019126,,,-0.2960864046731755,-0.9990032888145342,0.7029168841413587,0.7029168841413587,0.3516336806820405,0.00926529262093156,0.06831998785265947,-0.05905469523172791,0.05905469523172791,0.055278096359901316,0.7468657311167543,0.0021160487812628553,0.7447496823354914,0.7447496823354914,0.7431770833739555,-0.07190677459751368,0.009560373358155697,-0.08146714795566938,0.08146714795566938,0.08069566724838928,12.197292665649176,-0.20392192533607825,12.401214590985255,12.401214590985255,10.300680077342575
0.271,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.4148841324195728,0.1973610471052487,0.21752308531432407,0.21752308531432407,0.07737805234927009,,,-0.29696060478290004,-0.9960482873188999,0.699087682536,0.699087682536,0.35023585700675475,0.009143534523642246,0.21153674540584433,-0.20239321088220208,0.20239321088220208,0.16705495037577567,0.7513736665257386,0.008047817739565755,0.7433258487861728,0.7433258487861728,0.7373914567396195,-0.071248458694165,0.008697647626607118,-0.07994610632077212,0.07994610632077212,0.07925675895931704,12.25226538523318,-0.2694281124562599,12.52169349768944,12.52169349768944,9.864043008674818
0.3375,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.4195984787515954,0.19682180154603812,0.22277667720555727,0.22277667720555727,0.07673330577893732,,,-0.29778584624222265,-0.9905798786152913,0.6927940323730686,0.6927940323730686,0.34803628822722626,0.009011273961559773,0.4159851995125958,-0.40697392555103606,0.40697392555103606,0.28741396851543566,0.7555716811123361,0.018362928101252618,0.7372087530110835,0.7372087530110835,0.7239155439265805,-0.0705256476205288,0.007474878379401698,-0.0780005259999305,0.0780005259999305,0.07742180740565974,12.304321465556278,-0.33388392524791655,12.638205390804194,12.638205390804194,9.474741506053645
0.404,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.4242626161798525,0.19637119632644295,0.22789141985340955,0.22789141985340955,0.07602524375569139,,,-0.2985606312719546,-0.9827397411485751,0.6841791098766206,0.6841791098766206,0.3450675324035643,0.008868742497313531,0.6496504204298326,-0.6407816779325191,0.6407816779325191,0.38843482837142984,0.759446600638729,0.03215806571044355,0.7272885349282855,0.7272885349282855,0.704629028333646,-0.06973844995881523,0.006056063109059732,-0.07579451306787496,0.07579451306787496,0.07533825981192718,12.353355966559526,-0.3969554476551024,12.750311414214629,12.750311414214629,9.127214068005541
0.47050000000000003,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.42887227174164844,0.19601797506089813,0.2328542966807503,0.2328542966807503,0.07525408482570015,,,-0.2992834901773639,-0.97293165725934,0.6736481670819762,0.6736481670819762,0.3414452622336455,0.008716215086090282,0.8869473344913814,-0.8782311194052911,0.8782311194052911,0.4654242878707659,0.7629858063432503,0.04816171351885168,0.7148240928243986,0.7148240928243986,0.6819788240734498,-0.06888715985384951,0.004562297164715906,-0.07344945701856541,0.07344945701856541,0.07311588064360937,12.39926784627064,-0.4584379330585683,12.857705779329208,12.857705779329208,8.816080196408926
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.4334231982617343,0.19576430065570039,0.23765889760603393,0.23765889760603393,0.07442022536701069,,,-0.29995298748934346,-0.9616210128142522,0.6616680253249088,0.6616680253249088,0.33730675854437475,0.008554010441671749,1.111080030909811,-1.1025260204681393,1.1025260204681393,0.5222568563603835,0.7661773092705414,0.06519639003583211,0.7009809192347093,0.7009809192347093,0.6580766943935371,-0.06797225894408303,0.003072553154980999,-0.07104481209906402,0.07104481209906402,0.07082719178747897,12.441960480440398,-0.518237816557114,12.960198296997513,12.960198296997513,8.53634269655275
0.6035,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.437911186851196,0.19560811496400632,0.2423030718871897,0.2423030718871897,0.0735242401981402,,,-0.3005677283353409,-0.9492487909355571,0.6486810626002162,0.6486810626002162,0.3327851558080878,0.008382491138684622,1.3125460049122957,-1.304163513773611,1.304163513773611,0.5639513812928759,0.7690098229712062,0.08233227494031414,0.6866775480308921,0.6866775480308921,0.6344424572100645,-0.06699441707715678,0.0016367865217947267,-0.0686312035989515,0.0686312035989515,0.06851905253727235,12.48134217448766,-0.5763468136444649,13.057688988132124,13.057688988132124,8.283512787356198
