check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,961,924,0.9614984391259105,0.3675514551441747,,,,,,,,
nonnegative_price,non_hard,price,956,919,0.9612970711297071,0.3675514551441747,,,,,,,,
nonnegative_price,short_maturity,price,31,18,0.5806451612903226,0.038364246038658664,,,,,,,,
nonnegative_price,atm,price,155,155,1.0,0.3398358706799718,,,,,,,,
nonnegative_price,hard,price,5,5,1.0,0.03645597958791289,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,961,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,956,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,155,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,5,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,961,465,0.4838709677419355,0.2502564171731913,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,956,463,0.48430962343096234,0.2502564171731913,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,31,15,0.4838709677419355,0.012006712421840976,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,155,62,0.4,0.24386694798670233,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,5,2,0.4,0.011473477437242413,,,,,,,,
convexity_gamma_ge_0,full,gamma,961,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,956,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,31,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,155,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,5,0,0.0,0.0,,,,,,,,
finite_values,full,price,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,31,0,0.0,0.0,,,,,,,,
finite_values,atm,price,155,0,0.0,0.0,,,,,,,,
finite_values,hard,price,5,0,0.0,0.0,,,,,,,,
finite_values,full,delta,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,155,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,5,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,31,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,155,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,5,0,0.0,0.0,,,,,,,,
finite_values,full,vega,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,31,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,155,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,5,0,0.0,0.0,,,,,,,,
finite_values,full,theta,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,155,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,5,0,0.0,0.0,,,,,,,,
finite_values,full,rho,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,31,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,155,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,5,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,930,0,,,surface_x,0.008795604377997701,0.01628315837900487,0.01661501761281089,0.0166671069810318,,,
