tau,moneyness,v,rho,kappa,gamma,bar_v,r,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.005,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1661869775496957,0.19992304650387993,-0.03373606895418424,0.03373606895418424,-3.4077923814194193,,,-1.012006722421841,-1.0014030064976613,-0.010603715924179635,0.010603715924179635,0.005298141298755977,0.0029319951987252213,1.6854709242667951,-1.68253892906807,1.68253892906807,0.6265340331426034,0.016386317891854713,0.002586849474208437,0.013799468417646276,0.013799468417646276,0.013763863374911808,3.4173462512109323,-0.009733796882760309,3.4270800480936927,3.4270800480936927,3.394043121735391,0.37912606411053784,-0.005005227258510046,0.3841312913690479,0.3841312913690479,0.3822182024036783
0.07150000000000001,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.07381206742625673,0.19928524095808087,-0.12547317353182413,0.12547317353182413,-0.8317309781122233,,,-1.0460286015550924,-0.999999793453414,-0.04602880810167831,0.04602880810167831,0.023014406427612693,0.01116383400327145,9.418465033950553e-06,0.011154415538237499,0.011154415538237499,0.01115431048175425,0.06409389695794358,1.1214918471822704e-07,0.06409378480875887,0.06409378480875887,0.06409377762069396,0.8400583387175627,0.00999279462104269,0.83006554409652,0.83006554409652,0.8218529364934402,1.4533827125836252,-0.07144888291403809,1.5248315954976632,1.5248315954976632,1.4231491766089226
0.138,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.028763255939596888,0.19862165699473922,-0.16985840105514233,0.16985840105514233,-0.5498939488855678,,,-1.0642162243564308,-0.9999258275580346,-0.06429039679839621,0.06429039679839621,0.03214639058734322,0.015457562492033474,0.00721347275146067,0.008244089740572804,0.008244089740572804,0.008185047126158834,0.09118651379053042,0.000163401213192629,0.09102311257733779,0.09102311257733779,0.09100824172023018,0.5576139110344206,0.009940635028535587,0.547673276005885,0.547673276005885,0.5422826421776866,2.027591319533966,-0.13780160002768108,2.165392919561647,2.165392919561647,1.9031375237202743
0.20450000000000002,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,-0.003290810374818348,0.1979705979756502,-0.20126140835046855,0.20126140835046855,-0.41118666540515364,,,-1.0784496086966313,-0.9990032888145342,-0.07944631988209716,0.07944631988209716,0.03974296607046159,0.01872646817183554,0.06831998785265947,-0.04959351968082393,0.04959351968082393,0.046421971174112085,0.1135382188498021,0.0021160487812628553,0.11142217006853924,0.11142217006853924,0.11118689317873598,0.4184678896006161,0.009560373358155697,0.4089075162424604,0.4089075162424604,0.4050352282373059,2.4768697777384694,-0.20392192533607825,2.6807917030745476,2.6807917030745476,2.226715575701636
0.271,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,-0.027945299395278372,0.1973610471052487,-0.22530634650052708,0.22530634650052708,-0.3213964598417695,,,-1.09060184090168,-0.9960482873188999,-0.09455355358278006,0.09455355358278006,0.047370373844905715,0.02143006725285059,0.21153674540584433,-0.19010667815299373,0.19010667815299373,0.15691367090092773,0.13357515783526197,0.008047817739565755,0.12552734009569622,0.12552734009569622,0.12452518410999312,0.32833489899496426,0.008697647626607118,0.31963725136835713,0.31963725136835713,0.31688113095181747,2.860371095706725,-0.2694281124562599,3.129799208162985,3.129799208162985,2.4655190612621847
0.3375,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,-0.04747796837734261,0.19682180154603812,-0.24429976992338073,0.24429976992338073,-0.255349055205139,,,-1.1014161464859338,-0.9905798786152913,-0.11083626787064249,0.11083626787064249,0.05568039196083084,0.02374990958291852,0.4159851995125958,-0.3922352899296773,0.3922352899296773,0.2770052187442996,0.15223285950255488,0.018362928101252618,0.13386993140130227,0.13386993140130227,0.1314560140665215,0.2620113542755139,0.007474878379401698,0.2545364758961122,0.2545364758961122,0.25264796309914256,3.2015821356013237,-0.33388392524791655,3.5354660608492403,3.5354660608492403,2.6505050356552844
0.404,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,-0.06309449534008255,0.19637119632644295,-0.2594656916665255,0.2594656916665255,-0.20301151549578617,,,-1.1112762075102407,-0.9827397411485751,-0.1285364663616656,0.1285364663616656,0.06482770466244153,0.02577904182885423,0.6496504204298326,-0.6238713786009783,0.6238713786009783,0.378183990301668,0.16997878308743333,0.03215806571044355,0.13782071737698978,0.13782071737698978,0.13352675520888027,0.20944898083183114,0.006056063109059732,0.2033929177227714,0.2033929177227714,0.20216857209151667,3.5126452135213397,-0.3969554476551024,3.9096006611764422,3.9096006611764422,2.798658087299068
0.47050000000000003,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,-0.07552922501588188,0.19601797506089813,-0.27154720007678,0.27154720007678,-0.15947521036639606,,,-1.1204097323584954,-0.97293165725934,-0.14747807509915534,0.14747807509915534,0.07475072669472071,0.02757218381859238,0.8869473344913814,-0.859375150672789,0.859375150672789,0.4554314447278572,0.18707971765002665,0.04816171351885168,0.13891800413117497,0.13891800413117497,0.13253489641861113,0.16572992466911587,0.004562297164715906,0.16116762750439997,0.16116762750439997,0.16043567229158479,3.80078483797188,-0.4584379330585683,4.259222771030449,4.259222771030449,2.92040043287835
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,-0.08527123856868635,0.19576430065570039,-0.28103553922438673,0.28103553922438673,-0.12201165094629772,,,-1.1289642056779081,-0.9616210128142522,-0.16734319286365595,0.16734319286365595,0.08530862575925202,0.029164434720713082,1.111080030909811,-1.0819155961890978,1.0819155961890978,0.5124938800746579,0.20370031480258488,0.06519639003583211,0.13850392476675277,0.13850392476675277,0.13002665617566883,0.12811963916412217,0.003072553154980999,0.12504708600914116,0.12504708600914116,0.12466404909179149,4.070698737980375,-0.518237816557114,4.588936554537488,4.588936554537488,3.022541333441261
0.6035,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,-0.09266734330432469,0.19560811496400632,-0.288275458268331,0.288275458268331,-0.08896531805559106,,,-1.137041033599025,-0.9492487909355571,-0.18779224266346795,0.18779224266346795,0.09634082808553936,0.030579720366857792,1.3125460049122957,-1.2819662845454378,1.2819662845454378,0.5543527704193962,0.21994708966901566,0.08233227494031414,0.13761481472870152,0.13761481472870152,0.1271465500151424,0.094958372456363,0.0016367865217947267,0.09332158593456827,0.09332158593456827,0.0931690880270377,4.325635336231592,-0.5763468136444649,4.901982149876057,4.901982149876057,3.109710444075962
