check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,961,23,0.023933402705515087,0.9578309444619536,,,,,,,,
nonnegative_price,non_hard,price,956,23,0.02405857740585774,0.9578309444619536,,,,,,,,
nonnegative_price,short_maturity,price,31,13,0.41935483870967744,0.9578309444619536,,,,,,,,
nonnegative_price,atm,price,155,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,5,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,961,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,956,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,155,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,5,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,961,914,0.951092611862643,16.278937249567644,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,956,909,0.950836820083682,13.51062363206132,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,31,28,0.9032258064516129,16.278937249567644,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,155,152,0.9806451612903225,16.278937249567644,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,5,5,1.0,16.278937249567644,,,,,,,,
convexity_gamma_ge_0,full,gamma,961,447,0.46514047866805414,190.64387558322449,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,956,443,0.46338912133891214,145.12300366316853,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,31,17,0.5483870967741935,190.64387558322449,,,,,,,,
convexity_gamma_ge_0,atm,gamma,155,67,0.432258064516129,190.64387558322449,,,,,,,,
convexity_gamma_ge_0,hard,gamma,5,4,0.8,190.64387558322449,,,,,,,,
finite_values,full,price,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,31,0,0.0,0.0,,,,,,,,
finite_values,atm,price,155,0,0.0,0.0,,,,,,,,
finite_values,hard,price,5,0,0.0,0.0,,,,,,,,
finite_values,full,delta,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,155,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,5,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,31,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,155,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,5,0,0.0,0.0,,,,,,,,
finite_values,full,vega,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,31,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,155,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,5,0,0.0,0.0,,,,,,,,
finite_values,full,theta,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,155,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,5,0,0.0,0.0,,,,,,,,
finite_values,full,rho,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,31,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,155,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,5,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,930,0,,,surface_x,0.02242364255853944,0.03275912777007415,0.10519267676747127,0.22752404302765772,,,
smoothness_neighbor_jump,full,price,930,0,,,surface_y,0.028205054526650983,0.03568669684541398,0.6721322526669049,0.7784895078998706,,,
smoothness_neighbor_jump,full,delta,930,0,,,surface_x,0.04973081645468936,0.0495646979165192,1.466245567356073,2.496113528637286,,,
smoothness_neighbor_jump,full,delta,930,0,,,surface_y,0.21150189797752494,0.2926825723537099,3.4717789384604885,12.759896967266176,,,
smoothness_neighbor_jump,full,gamma,930,0,,,surface_x,0.8962711782829074,0.2771199089215089,19.93835776833763,130.51189168598074,,,
smoothness_neighbor_jump,full,gamma,930,0,,,surface_y,2.6598749144061307,1.1109361807966822,108.59849228383763,184.25030822406077,,,
smoothness_neighbor_jump,full,vega,930,0,,,surface_x,0.21596390602817264,0.33391389113634334,0.7397879680266497,2.850020367866923,,,
smoothness_neighbor_jump,full,vega,930,0,,,surface_y,0.18707939451746247,0.34094503580461466,3.319357777667111,5.096987803899763,,,
smoothness_neighbor_jump,full,theta,930,0,,,surface_x,0.21113550665460643,0.06996922507172758,5.029188718457724,22.902501244740925,,,
smoothness_neighbor_jump,full,theta,930,0,,,surface_y,1.0919943646205081,0.23569918067902584,36.55384101936054,63.08765567920878,,,
smoothness_neighbor_jump,full,rho,930,0,,,surface_x,0.00034189162997801435,0.000780698855344733,0.004289980366448421,0.007347171767570524,,,
smoothness_neighbor_jump,full,rho,930,0,,,surface_y,0.0010261831929059845,0.0006713335384951699,0.02816858849355365,0.031181491007651843,,,
terminal_payoff_boundary,terminal,price,31,31,1.0,1.5207690412042671,,,,,,1.2334681772223515,1.2105306850419162,1.5170664593181729
lower_spot_boundary,lower_spot,price,31,31,1.0,0.7445708975806418,,,,,,0.7168500635094239,0.7165692655183118,0.7438772099353789
