tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,moneyness,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.005,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.523667272080766,0.19992304650387993,1.323744225576886,1.323744225576886,-8.095714619458446,,,-0.5407186284270289,-1.0014030064976613,0.46068437807063245,0.46068437807063245,0.23018071651486288,-8.308696487879955,1.6854709242667951,-9.99416741214675,9.99416741214675,3.7215697708123288,-0.9548195819097364,0.002586849474208437,-0.9574064313839448,0.9574064313839448,0.9549361552927231,8.137405426701358,-0.009733796882760309,8.147139223584118,8.147139223584118,8.06860109935498,0.015197206808030439,-0.005005227258510046,0.020202434066540487,0.020202434066540487,0.020101819889682987
0.07150000000000001,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.1902053522535627,0.19928524095808087,0.9909201112954819,0.9909201112954819,-2.6593137799567286,,,-2.236460095847356,-0.999999793453414,-1.236460302393942,1.236460302393942,0.6182302150436412,-9.947318317226697,9.418465033950553e-06,-9.947327735691731,9.947327735691731,9.947234048015666,-4.538813720827864,1.1214918471822704e-07,-4.538813832977049,4.538813832977049,4.5388133239528345,2.6006572958287952,0.00999279462104269,2.5906645012077525,2.5906645012077525,2.565032656673348,-0.005373936547986527,-0.07144888291403809,0.06607494636605156,0.06607494636605156,0.0616687808627383
0.138,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.0710288079039245,0.19862165699473922,0.8724071509091853,0.8724071509091853,-1.3308815084356085,,,-2.146055124930285,-0.9999258275580346,-1.14612929737225,1.14612929737225,0.5730859022765389,-5.732542606463359,0.00721347275146067,-5.7397560792148195,5.7397560792148195,5.698649029718805,-4.277530867558775,0.000163401213192629,-4.277694268771968,4.277694268771968,4.276995402534374,1.2504777489589174,0.009940635028535587,1.2405371139303818,1.2405371139303818,1.2283267658552335,-0.012759844236265448,-0.13780160002768108,0.12504175579141563,0.12504175579141563,0.10989767969070666
0.20450000000000002,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.0064901884634851,0.1979705979756502,0.808519590487835,0.808519590487835,-0.8388716437882368,,,-2.0064759040458133,-0.9990032888145342,-1.0074726152312792,1.0074726152312792,0.5039874725912727,-3.9116238376963173,0.06831998785265947,-3.9799438255489767,3.9799438255489767,3.725422973269206,-3.939190956463745,0.0021160487812628553,-3.941307005245008,3.941307005245008,3.932984617937496,0.755747744518414,0.009560373358155697,0.7461873711602582,0.7461873711602582,0.7391210975111617,-0.016371544498094356,-0.20392192533607825,0.1875503808379839,0.1875503808379839,0.15578284346439547
0.271,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.965237734528659,0.1973610471052487,0.7678766874234103,0.7678766874234103,-0.590863057357906,,,-1.885094019030943,-0.9960482873188999,-0.8890457317120432,0.8890457317120432,0.44540291803572196,-2.9276563033077463,0.21153674540584433,-3.1391930487135906,3.1391930487135906,2.591083646961128,-3.653280333200518,0.008047817739565755,-3.6613281509400837,3.6613281509400837,3.6320976907129285,0.5092990846928057,0.008697647626607118,0.5006014370661986,0.5006014370661986,0.4962849256604075,-0.01850702486159768,-0.2694281124562599,0.25092108759466225,0.25092108759466225,0.19766466894225815
0.3375,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.9365391586959408,0.19682180154603812,0.7397173571499027,0.7397173571499027,-0.4441221955342369,,,-1.783735922681401,-0.9905798786152913,-0.7931560440661096,0.7931560440661096,0.3984547681743138,-2.3195770988239977,0.4159851995125958,-2.7355622983365935,2.7355622983365935,1.9319144714776797,-3.4175816015936418,0.018362928101252618,-3.4359445296948943,3.4359445296948943,3.3739882264776133,0.3652558763170497,0.007474878379401698,0.357780997937648,0.357780997937648,0.3551264707594152,-0.019918389491958698,-0.33388392524791655,0.31396553575595787,0.31396553575595787,0.23537695433101796
0.404,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.9155419479841692,0.19637119632644295,0.7191707516577263,0.7191707516577263,-0.3483615130408877,,,-1.6985623038732778,-0.9827397411485751,-0.7158225627247027,0.7158225627247027,0.36102699102103847,-1.9101119627772263,0.6496504204298326,-2.559762383207059,2.559762383207059,1.5516998944176839,-3.2210262429713583,0.03215806571044355,-3.253184308681802,3.253184308681802,3.1518276286903846,0.27242601289248153,0.006056063109059732,0.2663699497834218,0.2663699497834218,0.26476650710721517,-0.0209207747527048,-0.3969554476551024,0.37603467290239756,0.37603467290239756,0.2691815787923665
0.47050000000000003,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8996723176759397,0.19601797506089813,0.7036543426150416,0.7036543426150416,-0.28161215065574297,,,-1.626007387418088,-0.97293165725934,-0.653075730158748,0.653075730158748,0.3310179183124648,-1.617345866669775,0.8869473344913814,-2.5042932011611567,2.5042932011611567,1.327166453130595,-3.0544764549738583,0.04816171351885168,-3.1026381684927102,3.1026381684927102,2.960075843713698,0.20854102341279424,0.004562297164715906,0.20397872624807833,0.20397872624807833,0.20305234112786177,-0.021669212602144286,-0.4584379330585683,0.436768720456424,0.436768720456424,0.2994770710197128
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8874146740949382,0.19576430065570039,0.6916503734392379,0.6916503734392379,-0.23283728257011393,,,-1.5633429931101617,-0.9616210128142522,-0.6017219802959095,0.6017219802959095,0.30674731579911313,-1.3984107559492474,1.111080030909811,-2.5094907868590584,2.5094907868590584,1.188723662824637,-2.911217067334563,0.06519639003583211,-2.976413457370395,2.976413457370395,2.794239151777703,0.1624637910622132,0.003072553154980999,0.1593912379072322,0.1593912379072322,0.15890299999326696,-0.02224887633987883,-0.518237816557114,0.49598894021723516,0.49598894021723516,0.32668725202879095
0.6035,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8778078823853254,0.19560811496400632,0.682199767421319,0.682199767421319,-0.19591717486638852,,,-1.5085400455030982,-0.9492487909355571,-0.559291254567541,0.559291254567541,0.2869265622574042,-1.2287949193098078,1.3125460049122957,-2.5413409242221032,2.5413409242221032,1.0989363752434775,-2.7863570970430267,0.08233227494031414,-2.868689371983341,2.868689371983341,2.6504701360231877,0.12804782958916078,0.0016367865217947267,0.12641104306736606,0.12641104306736606,0.1262044732865005,-0.022710476688065032,-0.5763468136444649,0.5536363369563999,0.5536363369563999,0.35121480385170434
