tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.9492136416715258,-0.9492136706299912,-2.8958465403405853e-08,1.0651419274365637,1.0651417618911088,-1.655454548998847e-07,0.06800603223000579,0.06800603262984425,3.998384678904898e-10,-0.0004891380235572118,-0.0004891385183366929,-4.947794810580136e-10,-0.40861017102017394,-0.4086101933498834,-2.232970947035895e-08
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.9216051131966108,-0.9216051435588954,-3.036228468644708e-08,1.3886563954290665,1.388656386914178,-8.514888572008772e-09,0.09311380978649364,0.09311381088131726,1.094823620650942e-09,-0.004358263767795245,-0.004358263878886001,-1.1109075551823944e-10,-0.49784783520009923,-0.4978478891850242,-5.3984924974770365e-08
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.9130394628284466,-0.9130394922666334,-2.943818677714205e-08,1.4767208567079138,1.4767208627405757,6.0326619255590685e-09,0.09963237656840374,0.09963237779373109,1.2253273534712505e-09,-0.005253061020060734,-0.005253061078841158,-5.878042410450979e-11,-0.5244611774664343,-0.5244612412156341,-6.374919980789429e-08
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.8554642355415587,-0.85546424985145,-1.4309891271935271e-08,1.7677416142003466,1.767741704091292,8.989094535394315e-08,0.133050945686497,0.13305094725453362,1.568036617216606e-09,-0.010394835026072968,-0.010394835125138164,-9.906519528313229e-11,-0.6973307452469435,-0.6973308716697858,-1.264228423059066e-07
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.8032919424118268,-0.8032919524796226,-1.0067795819246328e-08,1.7303237759280776,1.7303238288186369,5.289055926560593e-08,0.15341717593583826,0.15341717728913215,1.3532938936133831e-09,-0.013236017493145624,-0.013236017550208298,-5.7062674030383675e-11,-0.8866130841907183,-0.8866132646398488,-1.8044913052683853e-07
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.7924163579117738,-0.7924163676192475,-9.70747371376035e-09,1.7232130333777462,1.7232130370885816,3.7108354167258994e-09,0.15653493689926634,0.15653493818269928,1.2834329432553915e-09,-0.013489240071745678,-0.013489240113272849,-4.1527170591137974e-11,-0.9343252521536172,-0.9343254435495695,-1.9139595230921458e-07
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.7551384889845081,-0.7551384954917428,-6.507234751040869e-09,1.7091102977317973,1.7091103420843041,4.4352506778366774e-08,0.16398811835155458,0.16398811943416366,1.0826090857118942e-09,-0.013656290381580671,-0.01365629039407863,-1.2497959264723413e-11,-1.1171033538243114,-1.117103579964962,-2.2614065064985311e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.7351201529177953,-0.7351201572026923,-4.284896992778897e-09,1.6883424186486806,1.688342464862686,4.62140052892579e-08,0.16607136910998244,0.16607137012057363,1.0105911940616608e-09,-0.013403922715371497,-0.013403922723079146,-7.707648755350682e-12,-1.224942599648421,-1.2249428423749023,-2.4272648135870156e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.732595291897814,-0.7325952959248597,-4.02704569690826e-09,1.6846225053823716,1.6846225742628587,6.888048709186023e-08,0.1662471900353013,0.16624719103863428,1.0033329722602957e-09,-0.013357465550312142,-0.013357465559432622,-9.120480412572185e-12,-1.2389975041728063,-1.2389977489146264,-2.447418201434459e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.7252030415852428,-0.7252030449011678,-3.31592497904154e-09,1.6723780082994466,1.6723780069197327,-1.3797138986859636e-09,0.16665446869901235,0.1666544696824291,9.834167646882719e-10,-0.013204309319697627,-0.013204309326116279,-6.41865206818526e-12,-1.2807622584831702,-1.2807625090605437,-2.5057737351730225e-07
1.6453333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,148,-0.7239965027998341,-0.7239965060056667,-3.2058325993844505e-09,1.6701964505871914,1.670196473545382,2.2958190681876545e-08,0.16670594891909918,0.1667059499012607,9.82161518781055e-10,-0.01317702460215675,-0.013177024606285868,-4.1291171870572185e-12,-1.287668207973769,-1.2876684594941228,-2.515203538777655e-07
1.734,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,156,-0.7145886583814764,-0.714588660799717,-2.418240496737667e-09,1.6515814327267009,1.651581439719343,6.9926420209753815e-09,0.16696638276594844,0.16696638372892603,9.629775865604984e-10,-0.012945115411971964,-0.012945115415553765,-3.58180152204568e-12,-1.3424125013945798,-1.342412760265466,-2.58870886282736e-07
1.90025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,171,-0.6979923628963602,-0.6979923641861734,-1.2898131451777317e-09,1.6128620550226458,1.6128620818678296,2.6845183853652088e-08,0.1668390951301002,0.16683909607564834,9.455481397857568e-10,-0.012480420480132093,-0.012480420477749953,2.3821396244461113e-12,-1.4431113655202776,-1.4431116375789685,-2.720586909088496e-07
1.9224166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,173,-0.6958700604023371,-0.6958700615660117,-1.1636746011234322e-09,1.6074589437309328,1.6074589760255658,3.229463296783308e-08,0.16677104852563795,0.1667710494704799,9.448419546753684e-10,-0.012419188123724556,-0.012419188119040274,4.684282475797552e-12,-1.4563926859241516,-1.456392959729001,-2.7380484945993544e-07
1.9335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,174,-0.6948161778404238,-0.694816178944682,-1.104258129380753e-09,1.6047421252940453,1.6047421304609166,5.1668713751951145e-09,0.16673303306444232,0.16673303400911124,9.446689264169805e-10,-0.012388867042523177,-0.012388867039514077,3.009099913686697e-12,-1.4630233929591174,-1.4630236676350714,-2.7467595398178446e-07
0.3264166666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,210,-0.9714711781318164,-0.9714712054214089,-2.7289592474666335e-08,0.7636567017632601,0.7636565935903326,-1.0817292750431307e-07,0.04239082000909167,0.04239081936546673,-6.436249380681325e-10,0.0054076307519357325,0.005407630278269176,-4.736665564983311e-10,-0.32776697828265644,-0.3277669713037232,6.978933264623066e-09
0.5148333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,227,-0.9242387730931667,-0.9242388038496747,-3.07565080071015e-08,1.3674694210319416,1.367469406203275,-1.4828666516919498e-08,0.09120021523839617,0.0912002163226928,1.0842966385871122e-09,-0.004290987843241778,-0.00429098800372519,-1.604834121496368e-10,-0.47833799698276946,-0.47833804433934785,-4.735657838095264e-08
0.5480833333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,230,-0.915569028551444,-0.9155690586665206,-3.011507665462432e-08,1.4589712715729064,1.4589713213589282,4.978602174965374e-08,0.09803079257852954,0.09803079380680346,1.2282739270119691e-09,-0.005240169536208095,-0.005240169628513179,-9.230508458274445e-11,-0.5049265931240943,-0.5049266502301678,-5.710607353659469e-08
0.6589166666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,240,-0.8859267570721086,-0.8859267802468787,-2.3174770102940556e-08,1.6929513624308612,1.6929514943264419,1.3189558067949747e-07,0.11770240879130367,0.11770241031256228,1.52125860519714e-09,-0.008074282906861407,-0.00807428295091508,-4.40536721685314e-11,-0.5924421599412533,-0.5924422497155842,-8.97743309691279e-08
0.7808333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,251,-0.8542286218216066,-0.8542286363111995,-1.4489592858879519e-08,1.7850383393636093,1.785038416571981,7.720837169600259e-08,0.13431070227429287,0.13431070387865157,1.6043587014458183e-09,-0.010731255264545547,-0.010731255365442494,-1.0089694704729091e-10,-0.686324860369042,-0.6863249836253863,-1.2325634435317312e-07
0.8251666666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,255,-0.8435960184471902,-0.8435960310749981,-1.2627807910448041e-08,1.7870001089992371,1.7870001607200487,5.1720811633515495e-08,0.1391439710365927,0.13914397262452424,1.5879315362621327e-09,-0.011500346328296995,-0.011500346434944119,-1.066471234240085e-10,-0.7198834298335899,-0.719883564100774,-1.34267184148662e-07
0.936,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,265,-0.8197359214055788,-0.8197359319738038,-1.0568224961815531e-08,1.7656761414075461,1.7656762188625053,7.745495911315459e-08,0.1487728923907361,0.14877289388077086,1.490034762241521e-09,-0.01288243564365188,-0.012882435734253196,-9.060131637983471e-11,-0.8025538045462743,-0.8025539633497851,-1.588035107857877e-07
0.9803333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,269,-0.811235048520792,-0.8112350588082164,-1.0287424467847472e-08,1.7556073567126518,1.7556074016624592,4.494980743174892e-08,0.15177823077527908,0.15177823221574058,1.4404615000795928e-09,-0.013240099305533715,-0.013240099381765801,-7.623208661544645e-11,-0.8351281860022319,-0.8351283534929019,-1.674906699999923e-07
1.202,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,289,-0.7752321559438557,-0.7752321646350788,-8.691223074563936e-09,1.7301490989884982,1.7301491894266416,9.043814341858081e-08,0.16171202224954384,0.16171202345707347,1.207529631841453e-09,-0.013980243014632965,-0.013980243039489151,-2.4856186553456894e-11,-0.9931617680927762,-0.993161971143006,-2.0305022974120845e-07
1.4901666666666666,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,315,-0.737795752827064,-0.7377957575636425,-4.736578462782859e-09,1.703203078573523,1.703203157449131,7.88756080449815e-08,0.16718417829117427,0.1671841793278894,1.0367151304091493e-09,-0.013770847206440173,-0.013770847214736651,-8.296478087865822e-12,-1.185239783369485,-1.185240018905333,-2.3553584793667426e-07
1.5566666666666666,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,321,-0.730099961096381,-0.7300999650287421,-3.932361103409221e-09,1.691899406686126,1.6918994448765532,3.8190427265050175e-08,0.16775017609216292,0.16775017710455606,1.0123931415417786e-09,-0.013633696999831857,-0.01363369700900002,-9.16816275675636e-12,-1.2275747150221339,-1.227574956661334,-2.4163920020470187e-07
1.7561666666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,339,-0.7086386194854466,-0.7086386215702442,-2.0847975568116794e-09,1.6495414756345639,1.6495415095406234,3.390605951558712e-08,0.16841068642747814,0.1684106873936524,9.661742517153016e-10,-0.013111822566996834,-0.013111822569946596,-2.9497619624674343e-12,-1.3511339352305363,-1.3511341934613181,-2.5823078186881787e-07
0.271,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,386,-0.9820169928952127,-0.9820170203256469,-2.7430434146324956e-08,0.5365765470832784,0.536576337346521,-2.097367574060982e-07,0.026596605193357492,0.02659660370000586,-1.4933516333248686e-09,0.009680124145733382,0.00968012543422867,1.2884952878960965e-09,-0.2831504157740916,-0.28315039345911686,2.2314974756909578e-08
0.28208333333333335,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,387,-0.9798525981628836,-0.9798526257264537,-2.756357009303656e-08,0.5965678534503027,0.5965676803546851,-1.730956176171361e-07,0.03029534029599934,0.030295339018685214,-1.2773141259969645e-09,0.00876576632544146,0.00876576704404703,7.186055708818806e-10,-0.2918394088258225,-0.2918393889621,1.9863722500179648e-08
0.34858333333333336,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,393,-0.9642121708137996,-0.9642121990070911,-2.8193291479183813e-08,0.8858437400283137,0.8858435984043972,-1.4162391648309125e-07,0.0515136647324943,0.05151366454354212,-1.8895218029113536e-10,0.003086083146253138,0.003086082451678125,-6.945750129563888e-10,-0.34395611594226216,-0.3439561146218353,1.3204268789479556e-09
0.8695,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,440,-0.8296084182105035,-0.8296084295242319,-1.1313728398576473e-08,1.7960099296665533,1.7960099657207445,3.605419118812847e-08,0.14579151584662164,0.14579151742130653,1.574684882488242e-09,-0.012629622328230727,-0.012629622432570244,-1.0433951619370774e-10,-0.7503427216162817,-0.750342865626157,-1.440098753580088e-07
0.9803333333333334,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,450,-0.8073184944745737,-0.8073185046903373,-1.0215763568410807e-08,1.7692754816778233,1.7692754930285575,1.1350734130388673e-08,0.15400053024430815,0.15400053169327715,1.4489690003394173e-09,-0.01365219243265603,-0.013652192507400454,-7.474442419164173e-11,-0.8320593828137213,-0.832059549439648,-1.6662592672300747e-07
1.1465833333333333,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,465,-0.7795688023917724,-0.7795688114912754,-9.099503039955437e-09,1.745731453839383,1.7457314430435966,-1.079578648699453e-08,0.16186094558237607,0.16186094684589106,1.2635149870821039e-09,-0.014246992655064794,-0.014246992686801558,-3.173676425827221e-11,-0.9510202234676302,-0.9510204174400345,-1.9397240436092034e-07
1.5455833333333333,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,501,-0.7275918979939011,-0.7275919018374724,-3.843571239059429e-09,1.6991765078300247,1.6991765211094496,1.3279424893042346e-08,0.16925993524458116,0.16925993626362976,1.019048595507499e-09,-0.013911604835742386,-0.013911604845503826,-9.761439920263904e-12,-1.216163657064978,-1.2161638956167766,-2.3855179853704556e-07
1.7118333333333333,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,516,-0.7095246750277173,-0.7095246772872651,-2.2595477711107037e-09,1.6628874888180434,1.662887557102374,6.828433063432726e-08,0.16982527018927218,0.1698252711665484,9.772762321613726e-10,-0.013469038901148256,-0.013469038903265125,-2.11686917994669e-12,-1.3192960343433313,-1.3192962866698488,-2.523265174581013e-07
0.12691666666666668,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,554,-0.9855800549130045,-0.9855800574221563,-2.5091517752429127e-09,0.011492817808544942,0.011492660631742015,-1.571768029270948e-07,-0.014699131758444395,-0.014699134078980526,-2.320536131306117e-09,0.002215633107260917,0.0022156320982673803,-1.0089935367253722e-09,-0.15368872746945872,-0.15368870157815406,2.5891304655800695e-08
0.23775000000000002,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,564,-0.9861693791753112,-0.9861694060057983,-2.6830487054319008e-08,0.37092577620523315,0.3709255265140211,-2.4969121203977096e-07,0.017273883557572534,0.017273881528416232,-2.0291563013197234e-09,0.011401453077763968,0.011401456363891699,3.286127731039201e-09,-0.25574405312298043,-0.2557440242479444,2.887503602888586e-08
0.3596666666666667,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,575,-0.959302455815908,-0.9593024848309631,-2.9015055136305534e-08,0.9640675563415968,0.9640673752846716,-1.8105692523029404e-07,0.05729129489762119,0.057291294981482416,8.38612235209979e-11,0.0016922328266444353,0.0016922320919968337,-7.346476016498876e-10,-0.3513438102707711,-0.3513438115298032,-1.2590321007976968e-09
0.41508333333333336,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,580,-0.9446591588976871,-0.9446591892545761,-3.0356889002547405e-08,1.1492556406533794,1.149255539680401,-1.0097297842293074e-07,0.07288569879096429,0.07288569944331175,6.523474538333573e-10,-0.0016544601072476794,-0.001654460652327316,-5.450796365918248e-10,-0.39529039363134233,-0.3952904113661466,-1.7734804291791306e-08
0.5591666666666667,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,593,-0.9058604371219026,-0.9058604664573537,-2.9335451179335337e-08,1.5667081437742425,1.566708232988897,8.921465455280497e-08,0.10568470263580543,0.10568470406457223,1.42876679931625e-09,-0.006740090217616235,-0.0067400902981382994,-8.0522064710431e-11,-0.5099427425582503,-0.5099428027237081,-6.016545772702386e-08
1.0246666666666666,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,635,-0.7954262262914458,-0.7954262361796419,-9.888196150775741e-09,1.773803001703378,1.7738029777307194,-2.3972658524940016e-08,0.15869127733006416,0.15869127873341163,1.4033474660113399e-09,-0.014283273489790194,-0.014283273543803533,-5.401333894039517e-11,-0.86103968585452,-0.8610398594776726,-1.7362315263280692e-07
1.10225,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,642,-0.7825488150491056,-0.7825488243842991,-9.335193507098438e-09,1.762402926375195,1.7624029230058278,-3.369367229666409e-09,0.1622197176068263,0.16221971892295858,1.316132286488525e-09,-0.014515915827267856,-0.014515915864305309,-3.7037452965682505e-11,-0.9163924510752208,-0.9163926372429172,-1.8616769636992103e-07
