check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,142,0.004334422026189676,0.0007772515229710289,,,,,,,,
nonnegative_price,non_hard,price,32626,142,0.004352357015876908,0.0007772515229710289,,,,,,,,
nonnegative_price,short_maturity,price,905,86,0.09502762430939227,0.0007772515229710289,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,74,0.0022587833094227894,0.03591080154945441,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,32626,74,0.002268129712499234,0.03591080154945441,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,74,0.08176795580110498,0.03591080154945441,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,184,0.005616434174780989,0.6772209101432701,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,32626,184,0.005639673879727824,0.6772209101432701,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,169,0.1867403314917127,0.6772209101432701,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
