tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.9434029455618331,-0.9434029678113909,-2.2249557751763405e-08,0.8011431795740265,0.8011430126341004,-1.669399261050586e-07,0.09503435640476066,0.09503435315976609,-3.244994564721715e-09,-0.0029085470641676547,-0.002908547531494447,-4.673267922812585e-10,-0.5177312057912109,-0.5177310702626583,1.3552855260279273e-07
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.927373274302451,-0.9273732990331532,-2.4730702263831006e-08,0.9514936699650534,0.9514935568989562,-1.1306609715155957e-07,0.11609797781350628,0.11609797417883774,-3.634668538365915e-09,-0.0024479214057182563,-0.0024479214862339316,-8.05156752901881e-11,-0.599749239506564,-0.5997491147544609,1.247521030922627e-07
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.9228576998820959,-0.9228577254615188,-2.5579422913146743e-08,1.0027763341913243,1.0027762243270395,-1.098642847807696e-07,0.12092597542992523,0.12092597168432534,-3.745599885807138e-09,-0.0020455410855435563,-0.0020455410531685686,3.2374987673361444e-11,-0.6238753136947328,-0.6238751954178391,1.1827689372356787e-07
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.8914428805512076,-0.8914429075248239,-2.6973616340519868e-08,1.3755057703956908,1.3755056998249071,-7.057078366123903e-08,0.14390396959759744,0.14390396574673497,-3.850862462240201e-09,-0.0016865449549430256,-0.0016865447822050775,1.7273794807731724e-10,-0.7818032246612039,-0.7818031712219403,5.3439263569821094e-08
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.8502242206714916,-0.850224242439846,-2.1768354341311635e-08,1.6727105811575882,1.6727106564071936,7.524960543570103e-08,0.16163997284240894,0.16163997004619537,-2.796213566247374e-09,-0.0063309595106642025,-0.0063309595572695635,-4.660536106343427e-11,-0.9540695704249313,-0.9540696137088713,-4.328393998775937e-08
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.83933168848499,-0.8393317085639573,-2.007896737765691e-08,1.7176648048344845,1.7176648771613496,7.232686516367437e-08,0.16523073736146587,0.16523073489827458,-2.463191289825417e-09,-0.0075420096863620945,-0.007542009758151881,-7.178978678884507e-11,-0.9976922678336941,-0.9976923384785122,-7.064481810648005e-08
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.7984364028827684,-0.7984364166718799,-1.3789111519280084e-08,1.8015422403871995,1.8015422521507525,1.1763553020571749e-08,0.17525975403193117,0.17525975272432057,-1.307610603129561e-09,-0.010333220336611326,-0.010333220407310205,-7.069887904276317e-11,-1.1710355885373447,-1.1710357729267271,-1.8438938242937297e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.7759075803590032,-0.7759075909653651,-1.0606361899867522e-08,1.804548455108801,1.804548512616256,5.750745502020038e-08,0.1784321488172702,0.1784321479891866,-8.280836016894e-10,-0.010524482671192548,-0.010524482708512741,-3.732019381030849e-11,-1.2803785646206545,-1.2803788205640363,-2.559433818216661e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.7730875118625025,-0.7730875220917891,-1.0229286639962254e-08,1.8032583259941504,1.8032584331687074,1.0717455700692824e-07,0.17871134900121488,0.17871134822176646,-7.794484224721288e-10,-0.010488614982512301,-0.010488615020180038,-3.766773698510306e-11,-1.2950616032016138,-1.295061868575263,-2.653736492774783e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.76487357377239,-0.7648735829381355,-9.165745495920419e-09,1.7976578198242166,1.7976579026439472,8.2819730629069e-08,0.17937789958344386,0.17937789893773484,-6.457090140354893e-10,-0.010321007343633282,-0.010321007371384807,-2.7751525036312508e-11,-1.3392550307408935,-1.3392553241761898,-2.934352962835618e-07
1.6453333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,148,-0.7635394213219293,-0.7635394303183278,-8.99639851503764e-09,1.7965023718646833,1.7965024154320484,4.356736504895764e-08,0.17946580603833695,0.17946580541213192,-6.262050322725088e-10,-0.010285732741505127,-0.01028573276777501,-2.626988383769291e-11,-1.346640642862218,-1.346640940937784,-2.980755660075829e-07
1.734,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,156,-0.7532035320191588,-0.7532035397550267,-7.735867946223607e-09,1.7854171224795934,1.7854171887865726,6.630697924059348e-08,0.1799591687350055,0.17995916824527797,-4.897275363013875e-10,-0.00995016984431385,-0.009950169856884883,-1.257103275642546e-11,-1.405906075066382,-1.4059064097917882,-3.347254060592775e-07
1.90025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,171,-0.7352589116113584,-0.7352589173567802,-5.745421804981277e-09,1.7583337064142057,1.7583338045804966,9.816629087389117e-08,0.18007033924266613,0.1800703389211704,-3.2149574669126935e-10,-0.009204431204723473,-0.009204431199702868,5.0206054591495075e-12,-1.517608365873696,-1.5176087667109486,-4.0083725250106284e-07
1.9224166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,173,-0.7329883240615731,-0.732988329572549,-5.51097589784888e-09,1.7542971658679463,1.7542972447932617,7.892531539432923e-08,0.18002191760790875,0.18002191730059225,-3.0731650557669354e-10,-0.009105120815228185,-0.009105120811069126,4.159058514252578e-12,-1.5325237259038171,-1.5325241352568824,-4.093530652227173e-07
1.9335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,174,-0.7318625551044899,-0.7318625605011874,-5.396697422277441e-09,1.75225036702642,1.7522504473796596,8.035323961763652e-08,0.1799930251024373,0.1799930248040115,-2.984258118399197e-10,-0.00905605563400469,-0.009056055629209823,4.794865893220646e-12,-1.5399807699324752,-1.5399811835152357,-4.135827604834219e-07
0.3264166666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,210,-0.9574227275577218,-0.9574227508568977,-2.329917581089802e-08,0.6651148354297476,0.6651146846553379,-1.5077440973509937e-07,0.07005996617862054,0.07005996316885285,-3.0097676850804334e-09,-0.0012433130153199912,-0.001243312926226169,8.909382216357176e-11,-0.4368835978915686,-0.4368834698445076,1.2804706100988383e-07
0.5148333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,227,-0.9283527875893205,-0.9283528124415457,-2.485222516668273e-08,0.951902576207253,0.9519024270655332,-1.491417198629108e-07,0.11502137926056033,0.11502137571837198,-3.5421883481934202e-09,-0.0030042666840368604,-0.0030042668468926374,-1.6285577704097665e-10,-0.5827258499797872,-0.5827257224969224,1.274828647090942e-07
0.5480833333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,230,-0.9236719677765959,-0.9236719934772082,-2.570061230500187e-08,1.0020248242259555,1.0020246463530678,-1.7787288775217291e-07,0.12026773693690762,0.12026773327605446,-3.660853162279487e-09,-0.0026218822306300904,-0.0026218822617941136,-3.116402318495415e-11,-0.6067939816216394,-0.6067938597626945,1.2185894493477178e-07
0.6589166666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,240,-0.9082047376338109,-0.9082047652307926,-2.7596981699851142e-08,1.1885324113780626,1.1885323238499483,-8.752811431200769e-08,0.13412659966335894,0.13412659575062813,-3.912730806021614e-09,-0.001536349776565249,-0.001536349572733328,2.038319209599071e-10,-0.686273310733232,-0.6862732157961604,9.49370715375153e-08
0.7808333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,251,-0.8900744895110058,-0.8900745168048164,-2.7293810656026096e-08,1.394337700855175,1.3943375949080132,-1.0594716171041796e-07,0.14556908456600515,0.1455690807336959,-3.832309247719934e-09,-0.0019079658016007972,-0.0019079656235248019,1.780759953558253e-10,-0.7720763509962147,-0.7720762947219999,5.627421484355466e-08
0.8251666666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,255,-0.8830885028800195,-0.883088529548727,-2.6668707464594377e-08,1.4612876270136965,1.461287624641033,-2.372663621130755e-09,0.14917491093974222,0.14917490722458768,-3.7151545451141743e-09,-0.002470037541724146,-0.0024700374044723254,1.372518205859652e-10,-0.8026833190201421,-0.802683278232184,4.078795812212377e-08
0.936,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,265,-0.864965932403372,-0.8649659567959643,-2.43925922793764e-08,1.601501475878564,1.6015015125735232,3.6694959293370744e-08,0.15727868658860222,0.15727868331397368,-3.274628540550495e-09,-0.0044681784529265745,-0.004468178423710873,2.921570103897597e-11,-0.8777159069164875,-0.8777159071674787,-2.509912278014781e-10
0.9803333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,269,-0.8575734713589522,-0.857573494665121,-2.3306168772663227e-08,1.6462031626751639,1.6462031361285756,-2.6546588260956128e-08,0.16018462728181748,0.16018462421991464,-3.0619028423828354e-09,-0.0053705560414119,-0.005370556048197656,-6.785755984894948e-12,-0.9071941101201908,-0.9071941275725768,-1.7452385980831764e-08
1.202,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,289,-0.8211878742171719,-0.8211878918085845,-1.7591412659889727e-08,1.7841442739863211,1.7841443206007266,4.661440544673212e-08,0.17178824259403425,0.17178824063244139,-1.9615928603666788e-09,-0.009212431889421557,-0.009212431974190988,-8.476943105795165e-11,-1.0518383447870316,-1.0518384531130405,-1.0832600882970667e-07
1.4901666666666666,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,315,-0.7791129556533605,-0.7791129669370985,-1.1283738055034576e-08,1.8215197516990855,1.8215197781221617,2.6423076171511184e-08,0.17982166819183187,0.17982166727641571,-9.154161595414934e-10,-0.010855183698310622,-0.010855183747400483,-4.9089860648665606e-11,-1.2393100665089585,-1.23931029824306,-2.3173410146348772e-07
1.5566666666666666,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,321,-0.7704682620723879,-0.7704682721799252,-1.0107537251613508e-08,1.8176274818593186,1.8176275011822476,1.93229290346153e-08,0.18074118243380233,0.18074118167708597,-7.567163562427481e-10,-0.010790509496344525,-0.010790509534427204,-3.808267937110976e-11,-1.2830910194309986,-1.283091279415557,-2.599845583262095e-07
1.7561666666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,339,-0.7467372532361793,-0.7467372603909128,-7.15473347234763e-09,1.7919431244406425,1.791943214182921,8.974227849734007e-08,0.18201300961598332,0.18201300918004165,-4.359416716503972e-10,-0.010103549156065261,-0.01010354916374342,-7.678158456259077e-12,-1.4157208873635807,-1.415721229888521,-3.425249401889374e-07
0.271,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,386,-0.9635615856327939,-0.9635616098805405,-2.424774658837947e-08,0.5537609454320247,0.5537607550712327,-1.9036079201839584e-07,0.0538913588628287,0.05389135595996973,-2.902858967090971e-09,-0.00034509900978529906,-0.0003450979575242922,1.05226100684426e-09,-0.3857555527418677,-0.38575543375842963,1.1898343804661593e-07
0.28208333333333335,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,387,-0.9622206225746999,-0.9622206469126319,-2.4337932003071217e-08,0.5855639556573422,0.5855638307655144,-1.2489182776853625e-07,0.05766124906853021,0.05766124614106911,-2.927461099921924e-09,-0.0005003052722107881,-0.000500304433811225,8.383995630991542e-10,-0.39654664520119565,-0.3965465245856674,1.2061552823183774e-07
0.34858333333333336,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,393,-0.952385650621751,-0.9523856743534244,-2.3731673404192577e-08,0.7417752106997355,0.741775079563771,-1.311359645317367e-07,0.0790617583723563,0.07906175533993824,-3.0324180527729894e-09,-0.002202598461398253,-0.0022025986823638374,-2.2096558437156855e-10,-0.45582647796749143,-0.45582634824051893,1.2972697249757914e-07
0.8695,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,440,-0.8725094169376169,-0.8725094428183992,-2.5880782295040206e-08,1.5567267752647496,1.5567268180601783,4.279542875629261e-08,0.15517634149808668,0.1551763379953714,-3.502715284486868e-09,-0.003559570084799013,-0.00355956999540242,8.93965929928131e-11,-0.8305157594812318,-0.8305157356630541,2.3818177652401573e-08
0.9803333333333334,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,450,-0.8538807709559948,-0.853880794139861,-2.318386616018131e-08,1.6771993072151048,1.6771994493150133,1.4209990850666543e-07,0.16277123919647418,0.16277123619938158,-2.9970926018751953e-09,-0.005744070063207207,-0.005744070072046558,-8.839351126055384e-12,-0.9042994831741369,-0.9042995013952367,-1.822109985116782e-08
1.1465833333333333,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,465,-0.82612436554233,-0.8261243842841597,-1.87418296437869e-08,1.7865082108103891,1.786508292117965,8.130757578328485e-08,0.1718548980077228,0.1718548958530724,-2.1546504025415913e-09,-0.008800696445349088,-0.008800696524728589,-7.93795012360432e-11,-1.0124099352333549,-1.0124100206578381,-8.542448326487317e-08
1.5455833333333333,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,501,-0.7678257330044624,-0.767825742986127,-9.981664605973606e-09,1.8320047229236636,1.8320048189137905,9.599012695815645e-08,0.18278148088787805,0.18278148015027254,-7.376055044527874e-10,-0.011093470084072576,-0.011093470121717495,-3.764491843250006e-11,-1.2711389979848386,-1.2711392525853578,-2.546005191117473e-07
1.7118333333333333,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,516,-0.7477378377078459,-0.7477378451548076,-7.44696171395276e-09,1.8091122405694549,1.8091123241250853,8.355563041462233e-08,0.18391142317955578,0.18391142272113822,-4.584175539168456e-10,-0.010550629902378317,-0.010550629915419898,-1.3041581703454597e-11,-1.3811136124264323,-1.3811139358052387,-3.233788063994325e-07
0.12691666666666668,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,554,-0.9722070104509206,-0.9722070242352268,-1.3784306140962599e-08,0.2400184218043222,0.2400182114968439,-2.1030747829331453e-07,0.010429478371348777,0.010429476744404736,-1.6269440412941538e-09,-0.005628535618279473,-0.005628539491560185,-3.873280711788607e-09,-0.2239162461870059,-0.22391613749108014,1.0869592576012721e-07
0.23775000000000002,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,564,-0.9657924934977635,-0.9657925177238905,-2.422612699337634e-08,0.48486408221748434,0.48486386376697177,-2.184505125679692e-07,0.04430786620712723,0.0443078633988358,-2.8082914327320907e-09,-0.0005886262684218213,-0.0005886247039700352,1.5644517861084298e-09,-0.3522666317275214,-0.35226651857993757,1.1314758380231993e-07
0.3596666666666667,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,575,-0.9488500372743791,-0.9488500616040878,-2.432970869215012e-08,0.7939768092990462,0.7939766137501773,-1.955488689864282e-07,0.08464900856985924,0.08464900553671532,-3.0331439165864893e-09,-0.0028614486052847,-0.0028614489498169945,-3.445322946209195e-10,-0.4648270064568083,-0.4648268765259529,1.2993085540813354e-07
0.41508333333333336,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,580,-0.9395723648318588,-0.9395723891583629,-2.4326504144411842e-08,0.8791698508092693,0.8791696092070945,-2.4160217482194213e-07,0.09959657219130169,0.09959656903126461,-3.1600370792306265e-09,-0.0038711037426975015,-0.0038711042429989805,-5.003014790644356e-10,-0.5079751743579386,-0.5079750413570524,1.3300088619327965e-07
0.5591666666666667,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,593,-0.917441638349642,-0.9174416656060879,-2.7256445878087732e-08,1.090473397691305,1.090473214831056,-1.8286024894287323e-07,0.12698970485502947,0.126989701199113,-3.6559164862115523e-09,-0.0031190396229674455,-0.0031190396053864733,1.7580972268282924e-11,-0.6125786523999976,-0.6125785345322114,1.1786778619793381e-07
1.0246666666666666,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,635,-0.8425506132332672,-0.842550635046442,-2.181317482197187e-08,1.7433119975374112,1.7433119907573933,-6.7800178804588995e-09,0.16805201824496296,0.16805201554372096,-2.701242007852045e-09,-0.007014461216731105,-0.007014461256960811,-4.022970585132457e-11,-0.9302331439876854,-0.9302331803767144,-3.63890290122626e-08
1.10225,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,642,-0.8294611310857847,-0.8294611507574298,-1.967164509064645e-08,1.7911107930146386,1.7911108573214272,6.430678856084171e-08,0.17224994503017843,0.17224994272590566,-2.3042727725908208e-09,-0.008451693417899087,-0.008451693489554515,-7.165542811882197e-11,-0.9803542768155316,-0.9803543444293571,-6.761382553843731e-08
1.5345,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,681,-0.7651597804597676,-0.7651597903097879,-9.850020243895585e-09,1.846387703841046,1.8463877594046565,5.5563610601438995e-08,0.18483198003571566,0.1848319793206715,-7.150441627690185e-10,-0.011397397305795698,-0.011397397347168433,-4.137273509896566e-11,-1.2592062434356455,-1.2592064926699478,-2.4923430230749943e-07
1.6675,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,693,-0.7488282441078797,-0.7488282518681181,-7.760238340814851e-09,1.8268886015082586,1.8268886732468055,7.173854688069525e-08,0.18580298622256075,0.1858029857346617,-4.878990544909811e-10,-0.010995124244128629,-0.010995124262647173,-1.8518544336876275e-11,-1.3467235557068635,-1.346723859918379,-3.042115155338365e-07
1.7561666666666667,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,701,-0.7387317925645898,-0.7387317991402347,-6.575644917461432e-09,1.8102573468015137,1.8102573988307993,5.202928554659536e-08,0.18596189397215857,0.1859618935911689,-3.8098965648991623e-10,-0.010597099436432389,-0.010597099445545217,-9.112828547319651e-12,-1.4055335498856791,-1.4055338898216065,-3.3993592740699796e-07
1.9224166666666667,0.8066666666666668,0.04,-0.7,2.0,0.3,0.04,0.01,716,-0.7212229677071302,-0.7212229724407574,-4.733627156916498e-09,1.7747908226395381,1.7747908331890052,1.0549467077680674e-08,0.18549870677564417,0.1854987065179176,-2.577265623138203e-10,-0.009779769433032603,-0.009779769426552544,6.480059544511363e-12,-1.5163816060721758,-1.5163820103715044,-4.0429932868235596e-07
