check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,79,0.0024114038033027077,0.001070451928491917,,,,,,,,
nonnegative_price,non_hard,price,32626,79,0.0024213817201005332,0.001070451928491917,,,,,,,,
nonnegative_price,short_maturity,price,905,71,0.07845303867403315,0.001070451928491917,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,32,0.0009767711608314764,0.145109556783777,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,32626,32,0.0009808128486483174,0.145109556783777,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,32,0.03535911602209945,0.145109556783777,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0010122158602807931,0.001806985975740375,0.002148319242097989,0.0022049358055279134,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0003097921975486091,0.00048468887599271445,0.0008897876984476079,0.001490050178604263,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.004020062710040037,0.006394147840009089,0.00954246415005165,0.012776032557673345,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.001274451842443503,0.00269483097582588,0.007314416195816226,0.01342430324508237,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.01893386861582989,0.04113154402403104,0.08123710420073041,0.13084363754827777,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.012539097189414714,0.02788321071281798,0.10180961012063593,0.2443464743108743,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.0012635903940985398,0.0026467934193496194,0.0031390377416149985,0.0032016450038420963,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.0020659081772639557,0.005936765261359546,0.018745814516882467,0.025954839625217236,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.0002588631369506164,0.0005450268708762158,0.001557668311451447,0.002819500565563765,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.0003557968464314532,0.00045978051936815625,0.006426426286063871,0.010608906573280119,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.003401496867566947,0.005232054235865037,0.00580290755484222,0.005945429802035385,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.005578310801988579,0.0073334823060175365,0.012894998393920505,0.014532162617111266,,,
terminal_payoff_boundary,terminal,price,181,179,0.988950276243094,0.029653095889386805,,,,,,0.011063034047948244,0.008133374899842711,0.028553625887565187
lower_spot_boundary,lower_spot,price,181,181,1.0,0.003574349583660874,,,,,,0.0019674308598117084,0.001858555954967834,0.0035570367637769214
