epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count
1,adam,0.001,0.7045890772715211,0.02732752647716552,0.0,0.0,0.0,0.0,0.10383125254884362,0.22590209683403373,0.2827399580273777,0.021179398463573307,0.04360884842753876,0.0,0.1932847499847412,0.012449187226593494,0.0,0.0,0.0,0.0,0.08546090871095657,0.05685245618224144,0.02740052528679371,0.006521998904645443,0.00459967739880085,0.0,1,0,0
2,adam,0.001,0.1441956479102373,0.014564897865056992,0.0,0.0,0.0,0.0,0.0801217237021774,0.024271217349451035,0.018237126583699137,0.004687523207394406,0.0023131604975787923,0.0,0.11085063219070435,0.011469641700387001,0.0,0.0,0.0,0.0,0.057348888367414474,0.02227078378200531,0.013164051808416843,0.004921982064843178,0.0016752862138673663,0.0,1,0,0
3,adam,0.001,0.11110948212444782,0.009889388165902346,0.0,0.0,0.0,0.0,0.05924080591648817,0.02334182453341782,0.013465604046359658,0.003220051890821196,0.0019518092522048391,0.0,0.10705582797527313,0.012162886559963226,0.0,0.0,0.0,0.0,0.06258127838373184,0.014674543403089046,0.012727862223982811,0.003348402213305235,0.0015608483226969838,0.0,1,0,0
4,adam,0.001,0.10296551091596484,0.01101097505306825,0.0,0.0,0.0,0.0,0.06100886105559766,0.015491269179619849,0.01021143706748262,0.0035219639830756932,0.001721005275612697,0.0,0.09973654896020889,0.010979798622429371,0.0,0.0,0.0,0.0,0.055309418588876724,0.015918860211968422,0.01226117368787527,0.003391680773347616,0.0018756192876026034,0.0,1,0,0
5,adam,0.001,0.09736223984509706,0.010325893061235547,0.0,0.0,0.0,0.0,0.05553258862346411,0.015497705375310034,0.01042656198842451,0.003346664903801866,0.0022328266059048474,0.0,0.0951991006731987,0.008882404305040836,0.0,0.0,0.0,0.0,0.06055788695812225,0.011731607839465141,0.008634563535451889,0.0029285799246281385,0.0024640585761517286,0.0,1,0,0
6,adam,0.001,0.0910619581118226,0.010939954780042171,0.0,0.0,0.0,0.0,0.05209359689615667,0.012765131890773773,0.00838685710914433,0.0034547397372080013,0.003421679080929607,0.0,0.086946502327919,0.012674507685005665,0.0,0.0,0.0,0.0,0.04577871784567833,0.0129579221829772,0.007260452024638653,0.0036458675749599934,0.004629040136933327,0.0,1,0,0
7,adam,0.001,0.08368403278291225,0.012258698116056621,0.0,0.0,0.0,0.0,0.04448044206947088,0.010758280113805085,0.006397319899406284,0.003644452037406154,0.006144841492641717,0.0,0.07957953959703445,0.012162362225353718,0.0,0.0,0.0,0.0,0.04222799092531204,0.00970470905303955,0.004083504434674978,0.0035725755151361227,0.007828393951058388,0.0,1,0,0
8,adam,0.001,0.07603112887591124,0.012202637386508286,0.0,0.0,0.0,0.0,0.03795777028426528,0.009070316940778866,0.004353892640210688,0.003647102537797764,0.00879940902814269,0.0,0.07310806959867477,0.014594923704862595,0.0,0.0,0.0,0.0,0.029192836955189705,0.0077710747718811035,0.007674418389797211,0.00420025922358036,0.009674553759396076,0.0,1,0,0
9,adam,0.001,0.06839891895651817,0.011203644331544638,0.0,0.0,0.0,0.0,0.03247463214211166,0.007625840051332489,0.004492534208111465,0.003422539753955789,0.009179727116134018,0.0,0.06511470675468445,0.012740995734930038,0.0,0.0,0.0,0.0,0.024489838629961014,0.007593988906592131,0.007190405391156673,0.0037261811085045338,0.009373295120894909,0.0,1,0,0
10,adam,0.001,0.05925711034797132,0.009997922054026276,0.0,0.0,0.0,0.0,0.026818315032869577,0.006642233667662367,0.004019932879600674,0.0030301858496386558,0.008748520107474178,0.0,0.05252762511372566,0.008808201178908348,0.0,0.0,0.0,0.0,0.02319595403969288,0.005970595870167017,0.003913502208888531,0.002573182340711355,0.008066187612712383,0.0,1,0,0
