tau,moneyness,v,rho,kappa,gamma,bar_v,r,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.005,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.30823823267959516,0.19992304650387993,0.10831518617571523,0.10831518617571523,0.0726865452063625,,,-0.405959449971482,-1.0014030064976613,0.5954435565261793,0.5954435565261793,0.29751307187659864,0.000402287749625972,1.6854709242667951,-1.6850686365171692,1.6850686365171692,0.6274760308481976,0.16870408489976838,0.002586849474208437,0.16611723542555995,0.16611723542555995,0.16568862389595237,-0.0668814969050944,-0.009733796882760309,-0.05714770002233409,0.05714770002233409,0.056596798283626716,11.129354580041715,-0.005005227258510046,11.134359807300225,11.134359807300225,11.078907358196474
0.07150000000000001,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.3127133685316744,0.19928524095808087,0.11342812757359355,0.11342812757359355,0.07356102254429658,,,-0.4075629327982287,-0.999999793453414,0.5924368606551853,0.5924368606551853,0.2962184609190486,0.00022635557763501214,9.418465033950553e-06,0.00021693711260106159,0.00021693711260106159,0.00021693506940569576,0.1700646496554404,1.1214918471822704e-07,0.1700645375062557,0.1700645375062557,0.17006451843365858,-0.06770018205236543,0.00999279462104269,-0.07769297667340812,0.07769297667340812,0.07692428806144022,11.174650355330195,-0.07144888291403809,11.246099238244234,11.246099238244234,10.49616030926088
0.138,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.3172411486487914,0.19862165699473922,0.11861949165405217,0.11861949165405217,0.0743826531925727,,,-0.40910279977313546,-0.9999258275580346,0.5908230277848991,0.5908230277848991,0.2954224699954551,3.595665411508403e-05,0.00721347275146067,-0.007177516097345586,0.007177516097345586,0.007126112082018092,0.17130456434032912,0.000163401213192629,0.17114116312713648,0.17114116312713648,0.1711132030221694,-0.06846436595646525,0.009940635028535587,-0.07840500098500083,0.07840500098500083,0.0776332769131381,11.218503112950414,-0.13780160002768108,11.356304712978094,11.356304712978094,9.980918213422981
0.20450000000000002,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.32181786752900565,0.1979705979756502,0.12384726955335545,0.12384726955335545,0.07514898044787026,,,-0.41057668372861256,-0.9990032888145342,0.5884266050859216,0.5884266050859216,0.2943599984944874,-0.00016870795239486041,0.06831998785265947,-0.06848869580505433,0.06848869580505433,0.06410878443144898,0.1724185908430269,0.0021160487812628553,0.17030254206176404,0.17030254206176404,0.16994293452228393,-0.06917163870380247,0.009560373358155697,-0.07873201206195816,0.07873201206195816,0.0779864326489634,11.26085848621216,-0.20392192533607825,11.464780411548238,11.464780411548238,9.522860386771187
0.271,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.32643966581490824,0.1973610471052487,0.12907861870965953,0.12907861870965953,0.07585773460475312,,,-0.4119822667544306,-0.9960482873188999,0.5840660205644693,0.5840660205644693,0.29261116791367264,-0.0003873710862599373,0.21153674540584433,-0.21192411649210427,0.21192411649210427,0.17492174075257888,0.17340168413952597,0.008047817739565755,0.16535386639996022,0.16535386639996022,0.16403375265545214,-0.06981978542520831,0.008697647626607118,-0.07851743305181542,0.07851743305181542,0.07784040464113431,11.301661157787976,-0.2694281124562599,11.571089270244237,11.571089270244237,9.115198534444728
0.3375,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.3311025437370003,0.19682180154603812,0.1342807421909622,0.1342807421909622,0.07650684699300775,,,-0.41331728980623617,-0.9905798786152913,0.5772625888090551,0.5772625888090551,0.2899971988115427,-0.0006196991605205302,0.4159851995125958,-0.41660489867311634,0.41660489867311634,0.2942155742987414,0.17424902699617478,0.018362928101252618,0.15588609889492216,0.15588609889492216,0.15307519018349705,-0.0704068002780745,0.007474878379401698,-0.0778816786574762,0.0778816786574762,0.07730384184145085,11.340855057116153,-0.33388392524791655,11.674738982364069,11.674738982364069,8.75243996976288
0.404,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.33580237543731684,0.19637119632644295,0.13943117911087388,0.13943117911087388,0.07709446256229126,,,-0.4145795623534613,-0.9827397411485751,0.5681601787951138,0.5681601787951138,0.2865530795615092,-0.000865292343568661,0.6496504204298326,-0.6505157127734013,0.6505157127734013,0.39433549357924147,0.1749560644029812,0.03215806571044355,0.14279799869253765,0.14279799869253765,0.13834896362917873,-0.0709308989165049,0.006056063109059732,-0.07698696202556464,0.07698696202556464,0.07652353069435157,11.378383578163511,-0.3969554476551024,11.775339025818614,11.775339025818614,8.42928745192585
0.47050000000000003,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.3405349240686585,0.19601797506089813,0.14451694900776035,0.14451694900776035,0.07761895089415237,,,-0.415766971986829,-0.97293165725934,0.5571646852725111,0.5571646852725111,0.28240445289751476,-0.0011236852970239093,0.8869473344913814,-0.8880710197884053,0.8880710197884053,0.4706390070117039,0.17551853739082882,0.04816171351885168,0.12735682387197714,0.12735682387197714,0.12150493786347079,-0.07139052932870417,0.004562297164715906,-0.07595282649342007,0.07595282649342007,0.07560788087288353,11.414189815590124,-0.4584379330585683,11.872627748648693,11.872627748648693,8.140646564060475
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.3452958575573426,0.19576430065570039,0.14953155690164222,0.14953155690164222,0.0780789155404226,,,-0.41687749390345946,-0.9616210128142522,0.5447435189107928,0.5447435189107928,0.27770069516602136,-0.001394348478503567,1.111080030909811,-1.1124743793883145,1.1124743793883145,0.5269693062791523,0.17593251588129896,0.06519639003583211,0.11073612584546685,0.11073612584546685,0.10395841262824952,-0.07178438094033489,0.003072553154980999,-0.07485693409531588,0.07485693409531588,0.07462763671467942,11.448216817073213,-0.518237816557114,11.966454633630327,11.966454633630327,7.8818051448398805
0.6035,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.35008076491138806,0.19560811496400632,0.15447264994738175,0.15447264994738175,0.07847320160677888,,,-0.41790920018644456,-0.9492487909355571,0.5313395907491125,0.5313395907491125,0.2725868515193958,-0.001676690015765136,1.3125460049122957,-1.3142226949280609,1.3142226949280609,0.5683012109321922,0.176194430217316,0.08233227494031414,0.09386215527700187,0.09386215527700187,0.0867221254047681,-0.07211139190301684,0.0016367865217947267,-0.07374817842481157,0.07374817842481157,0.07362766565403783,11.480407849306484,-0.5763468136444649,12.056754662950949,12.056754662950949,7.648541906254821
