tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.9267924883654688,-0.9267925138401415,-2.5474672704639545e-08,1.2221282763569263,1.2221282823268098,5.969883476453219e-09,0.1021902377884576,0.1021902392459043,1.4574467049888185e-09,-0.007112024938416006,-0.00711202506353714,-1.251211339398095e-10,-0.3657664477232925,-0.3657665126524617,-6.492916920786129e-08
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.9000065946127012,-0.900006617051529,-2.2438827795845384e-08,1.4539816850511755,1.4539816899391278,4.887952265164586e-09,0.12413949062095586,0.12413949218876033,1.567804469582157e-09,-0.009254939920266825,-0.009254940012865505,-9.259868045952135e-11,-0.4546609866343254,-0.4546610705452386,-8.391091316228838e-08
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.8916449318008279,-0.891644953035371,-2.1234543012838003e-08,1.5036823564074098,1.5036823619737516,5.566341831908517e-09,0.12958315188549285,0.12958315350054792,1.6150550619098425e-09,-0.00975225406735225,-0.00975225414586474,-7.851248991219695e-11,-0.4807328640638042,-0.4807329523767765,-8.831297226841173e-08
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.8389201386027612,-0.8389201526714587,-1.4068697540281505e-08,1.6685776316194278,1.6685776514852828,1.9865854961054197e-08,0.1556867330992917,0.15568673491414295,1.8148512415105955e-09,-0.012001684215334762,-0.012001684262289009,-4.695424604683751e-11,-0.6470733278507446,-0.6470734388802344,-1.1102948982433247e-07
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.7914697374919455,-0.7914697459802031,-8.488257652317088e-09,1.6890083276432932,1.6890084374105894,1.0976729614142755e-07,0.1700348290170628,0.17003483076337192,1.746309125083556e-09,-0.012953982160834876,-0.012953982188809143,-2.7974267000074882e-11,-0.8255936581566536,-0.8255937924191531,-1.342624994515873e-07
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.7812801397105718,-0.7812801470815129,-7.370941190742997e-09,1.682591244112075,1.6825913205294387,7.641736377017594e-08,0.17192139928207117,0.17192140098093525,1.6988640771931074e-09,-0.012990694010228676,-0.012990694031036787,-2.0808110443026884e-11,-0.870665404351656,-0.8706655452496463,-1.4089799038607964e-07
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.7468663088047722,-0.7468663129762726,-4.171500367355918e-09,1.6320988838192108,1.632098879233268,-4.585942736667903e-09,0.17462508194454607,0.17462508344794922,1.503403151970062e-09,-0.012753181184432805,-0.01275318118816553,-3.732725933902614e-12,-1.0470634548256919,-1.0470636267515399,-1.7192584800262978e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.7291470473849704,-0.7291470507140945,-3.3291240875144013e-09,1.5899087879578389,1.5899087857778493,-2.1799895222329724e-09,0.1737246958302685,0.1737246972449697,1.4147011895282446e-09,-0.012513463018282156,-0.012513463019518582,-1.2364258922259452e-12,-1.1549844342423343,-1.1549846297225146,-1.9548018026505076e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.726954371951527,-0.7269543752377712,-3.2862441656789088e-09,1.5842874068194845,1.5842873704313032,-3.6388181356983296e-08,0.17350714348218776,0.17350714488298236,1.4007945914329412e-09,-0.012481136848485619,-0.012481136850358737,-1.8731179801667608e-12,-1.16926291358177,-1.1692631124444475,-1.988626774362956e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.7205860481682147,-0.7205860514261183,-3.257903613551605e-09,1.568022051090523,1.5680220575459987,6.455475709543634e-09,0.17274688147661532,0.17274688284950868,1.3728933545564814e-09,-0.012383820324757266,-0.01238382032574291,-9.856438581978821e-13,-1.211949577498428,-1.2119497868297275,-2.093312996276353e-07
1.6453333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,148,-0.7195535840015532,-0.7195535872673318,-3.2657785364875735e-09,1.5654324725389301,1.5654323492668107,-1.2327211940110772e-07,0.1726059024129145,0.17260590378342955,1.3705150347931294e-09,-0.012367517521760796,-0.012367517518889405,2.871390625269754e-12,-1.219042520888558,-1.2190427320083463,-2.1111978831811484e-07
1.734,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,156,-0.7115624280518151,-0.7115624314767893,-3.424974193144692e-09,1.5464990177349591,1.5464989381664926,-7.956846648227156e-08,0.17135261656253675,0.17135261790000259,1.337465832529361e-09,-0.012235606935140364,-0.012235606933174423,1.9659412986428038e-12,-1.2755654713236808,-1.2755656971892935,-2.2586561265747207e-07
1.90025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,171,-0.6976308233183626,-0.6976308273220724,-4.0037098081313616e-09,1.5225182836697826,1.5225183158821443,3.2212361666950073e-08,0.16852890274532406,0.16852890403651521,1.2911911539958965e-09,-0.01198015271625108,-0.01198015271582598,4.251009266820205e-13,-1.3804577484879954,-1.380458003700201,-2.5521220559099334e-07
1.9224166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,173,-0.695851768895972,-0.6958517729726655,-4.076693538301868e-09,1.5206149783786316,1.5206150180537576,3.967512607339074e-08,0.16811609326011778,0.16811609454536458,1.2852467978774484e-09,-0.011945763333798265,-0.011945763333729948,6.831687993091862e-14,-1.394329982027931,-1.3943302412807688,-2.5925283786421005e-07
1.9335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,174,-0.6949675419920531,-0.6949675461016603,-4.109607210089905e-09,1.5197767933017303,1.519776817235586,2.3933855786140157e-08,0.16790700000379744,0.16790700128272426,1.2789268255541941e-09,-0.011928610032241327,-0.01192861002942626,2.815067623451739e-12,-1.401255527869183,-1.401255789149502,-2.6128031915817473e-07
0.3264166666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,210,-0.9458925163527421,-0.9458925417763714,-2.5423629312903984e-08,0.9785230015157964,0.9785229530470736,-4.8468722813055365e-08,0.07791225737407981,0.07791225899189147,1.61781166241326e-09,-0.004794688100856481,-0.004794688434549484,-3.3369300291713477e-10,-0.28195629583713244,-0.2819563343387082,-3.8501575760907514e-08
0.5148333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,227,-0.9023624361939597,-0.9023624593451592,-2.3151199513016252e-08,1.4467755382607805,1.4467755658892887,2.762850814796991e-08,0.12256987131281649,0.12256987293478792,1.6219714321641376e-09,-0.009446845835037188,-0.00944684594575657,-1.1071938157969363e-10,-0.4345433143587707,-0.43454339448899715,-8.01302264541448e-08
0.5480833333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,230,-0.8939209430416928,-0.8939209649811667,-2.193947390427553e-08,1.500841434465272,1.5008414592306942,2.4765422157457806e-08,0.12834840533243463,0.12834840699786368,1.665429044672706e-09,-0.009989450068803585,-0.009989450166942321,-9.813873672048778e-11,-0.46070756616167774,-0.4607076509482243,-8.47865465614106e-08
0.6589166666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,240,-0.8660037612370775,-0.866003779144508,-1.790743053842192e-08,1.622444995019734,1.6224450322081319,3.7188397916665394e-08,0.1443002033399421,0.1443002051445464,1.8046042993269396e-09,-0.011385694426713222,-0.011385694486531478,-5.98182562511207e-11,-0.545802410094054,-0.5458025077028149,-9.760876096276405e-08
0.7808333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,251,-0.8376040221250158,-0.8376040362722097,-1.4147193860836182e-08,1.684038836158308,1.6840389551219133,1.1896360518903748e-07,0.1569781987656449,0.15697820064963505,1.8839901583245222e-09,-0.012409854014683308,-0.012409854059125407,-4.4442099306207794e-11,-0.6357739520387873,-0.6357740612545597,-1.0921577242584135e-07
0.8251666666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,255,-0.8281344851920891,-0.8281344981621114,-1.2970022278402382e-08,1.6948215553203028,1.694821681891119,1.2657081627232003e-07,0.16054538887921854,0.16054539076600047,1.8867819251422446e-09,-0.012677424872098442,-0.012677424912994338,-4.0895896044612634e-11,-0.6676528964336126,-0.6676530096239524,-1.1319033976775472e-07
0.936,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,265,-0.8065472530796591,-0.8065472634765833,-1.0396924210454017e-08,1.705210889157982,1.7052108776691477,-1.1488834328332587e-08,0.16745805517859313,0.16745805703950897,1.8609158380922253e-09,-0.013126888975811823,-0.01312688901355022,-3.773839574172655e-11,-0.7457180491296511,-0.7457181722288305,-1.2309917940545034e-07
0.9803333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,269,-0.7987038904785915,-0.7987038999719265,-9.493335006993675e-09,1.7046324851666128,1.7046325970855256,1.119189128040432e-07,0.16952879012016586,0.16952879195538428,1.835218421675222e-09,-0.01322744739074011,-0.01322744742461536,-3.3875249827453047e-11,-0.776382517944374,-0.7763826451094433,-1.2716506936349958e-07
1.202,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,289,-0.7650769982647798,-0.7650770041360926,-5.871312769301085e-09,1.677515137910035,1.6775151014485432,-3.646149182578995e-08,0.1753912307470018,0.17539123242278726,1.67578545484659e-09,-0.013257018689760702,-0.013257018701189983,-1.1429281132624425e-11,-0.9261165234744628,-0.9261166730927849,-1.4961832206505932e-07
1.4901666666666666,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,315,-0.7312237805970345,-0.7312237840214143,-3.4243797797373077e-09,1.6087695786648482,1.608769623868468,4.520361973625597e-08,0.17575689428173114,0.17575689576265568,1.4809245496572032e-09,-0.012824859044191506,-0.012824859044166794,2.4711135915289617e-14,-1.1146951479348854,-1.1146953344480004,-1.8651311495254674e-07
1.5566666666666666,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,321,-0.7245144175963003,-0.7245144208531561,-3.2568557850609636e-09,1.5914652540249818,1.5914652124357307,-4.1589251154050544e-08,0.1751511033756814,0.17515110482248308,1.4468016784618953e-09,-0.012716487587938197,-0.012716487587751424,1.867724724879949e-13,-1.1575131986429898,-1.157513395050108,-1.9640711812485279e-07
1.7561666666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,339,-0.706200515787625,-0.7062005192935934,-3.5059684044824735e-09,1.547022632220063,1.5470225448355306,-8.738453249890199e-08,0.1724217377160886,0.1724217390838355,1.3677469157258315e-09,-0.012393831696488888,-0.012393831698950163,-2.4612742399732213e-12,-1.2846148664699686,-1.2846150953529492,-2.288829805685566e-07
0.271,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,386,-0.9554899429332908,-0.9554899675318453,-2.459855452663362e-08,0.8441466442521417,0.8441465099036427,-1.343484989924093e-07,0.06108561474288399,0.061085616552268296,1.809384309048312e-09,-0.002873518649970652,-0.002873519708140034,-1.0581693819788907e-09,-0.2347425435539341,-0.2347425625991188,-1.9045184707078278e-08
0.28208333333333335,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,387,-0.9531294486915531,-0.9531294735747583,-2.4883205163028776e-08,0.8786019495277131,0.8786018131971133,-1.3633059980922013e-07,0.06514876618055054,0.06514876796830603,1.7877554853162891e-09,-0.003452236258527641,-0.0034522371032844603,-8.447568191835564e-10,-0.24374597288490119,-0.24374599607401135,-2.318911015986025e-08
0.34858333333333336,0.8044444444444445,0.04,-0.7,2.0,0.3,0.04,0.01,393,-0.9388927743239628,-0.9388928004387265,-2.61147636848591e-08,1.078058115000502,1.0780581067303912,-8.270110818386911e-09,0.08660747239874755,0.08660747405743122,1.658683662641991e-09,-0.005996037620026318,-0.005996037828003321,-2.0797700367447547e-10,-0.29802679259310905,-0.2980268377976508,-4.5204541776477924e-08
