epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count
1,adam,5e-05,0.0008211363365262514,0.00014864943383940954,0.0,0.0,0.0,0.0,0.00010496185982589168,9.714215475753463e-05,0.0,0.0,0.0004703828822130163,0.0,0.00031827541533857584,0.00011271827679593116,0.0,0.0,0.0,0.0,9.334091009804979e-05,2.343582127650734e-05,0.0,0.0,8.878040534909815e-05,0.0,1,0,0
2,adam,5e-05,0.0002018819332079147,9.513036093267146e-05,0.0,0.0,0.0,0.0,5.289020157306368e-05,1.523941213577018e-05,0.0,0.0,3.862195535475621e-05,0.0,0.00016339076682925224,6.410512287402526e-05,0.0,0.0,0.0,0.0,3.254185139667243e-05,6.910785486979876e-06,0.0,0.0,5.983300070511177e-05,0.0,1,0,0
3,adam,5e-05,9.269153224522597e-05,4.335298513069574e-05,0.0,0.0,0.0,0.0,1.5020126170384174e-05,5.849105050970138e-06,0.0,0.0,2.8469316703194636e-05,0.0,0.0001256881805602461,4.904529851046391e-05,0.0,0.0,0.0,0.0,1.3602863873529714e-05,2.838762156898156e-06,0.0,0.0,6.020126602379605e-05,0.0,1,0,0
4,adam,5e-05,6.023875812388724e-05,2.7208229198549816e-05,0.0,0.0,0.0,0.0,1.0080959640390574e-05,2.694203303121867e-06,0.0,0.0,2.0255366564470023e-05,0.0,0.0001065440010279417,3.722922338056378e-05,0.0,0.0,0.0,0.0,1.3856928489985876e-05,1.9039977132706554e-06,0.0,0.0,5.3553849284071475e-05,0.0,1,0,0
5,adam,5e-05,4.9213934516956215e-05,2.0031811459375604e-05,0.0,0.0,0.0,0.0,9.628146102613755e-06,1.9527665244822856e-06,0.0,0.0,1.760121097049705e-05,0.0,9.920500451698899e-05,3.250398731324822e-05,0.0,0.0,0.0,0.0,1.1408386853872798e-05,1.4851570995233487e-06,0.0,0.0,5.380746733862907e-05,0.0,1,0,0
6,adam,5e-05,4.3633976247292594e-05,1.6971520153674646e-05,0.0,0.0,0.0,0.0,7.957778933587178e-06,1.5699260558221795e-06,0.0,0.0,1.713475182896218e-05,0.0,9.542248881189153e-05,2.9966322472319007e-05,0.0,0.0,0.0,0.0,1.0023516551882494e-05,1.3087883417028934e-06,0.0,0.0,5.412386235548183e-05,0.0,1,0,0
7,adam,5e-05,4.2421711896167835e-05,1.6538934801246796e-05,0.0,0.0,0.0,0.0,8.782779843841126e-06,1.4110015769119855e-06,0.0,0.0,1.5688996143126133e-05,0.0,9.785759903024882e-05,3.0446768505498767e-05,0.0,0.0,0.0,0.0,1.0845173164852895e-05,1.2400950026858482e-06,0.0,0.0,5.5325563153019175e-05,0.0,1,0,0
8,adam,5e-05,3.811761462202412e-05,1.4605831950120773e-05,0.0,0.0,0.0,0.0,7.977633600830814e-06,1.2551149310979781e-06,0.0,0.0,1.427903401918229e-05,0.0,8.651775715406984e-05,2.9915207051089965e-05,0.0,0.0,0.0,0.0,1.1119878763565794e-05,1.2163073961346527e-06,0.0,0.0,4.426636587595567e-05,0.0,1,0,0
9,adam,5e-05,3.503061702758714e-05,1.3732690888446086e-05,0.0,0.0,0.0,0.0,7.5205190341876005e-06,1.2189856235522711e-06,0.0,0.0,1.2558422042729944e-05,0.0,8.495411020703614e-05,2.7704005333362147e-05,0.0,0.0,0.0,0.0,9.584641702531371e-06,1.1588465440581786e-06,0.0,0.0,4.650662231142633e-05,0.0,1,0,0
10,adam,5e-05,3.2639998948980065e-05,1.2929456090660096e-05,0.0,0.0,0.0,0.0,6.744556657167777e-06,1.0778991352822231e-06,0.0,0.0,1.18880867887583e-05,0.0,8.72657255968079e-05,2.60534361586906e-05,0.0,0.0,0.0,0.0,9.128537385549862e-06,9.432584420210333e-07,0.0,0.0,5.1140497816959396e-05,0.0,1,0,0
