epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count
1,adam,5e-05,0.000894455017260043,0.0001248210386251003,0.0,0.0,0.0,0.0,0.00012447381205049624,0.00015584223811515585,0.0,0.0,0.0004893179252576374,0.0,0.00038840994238853455,0.00011547160829650238,0.0,0.0,0.0,0.0,0.00011402536620153114,7.086770347086713e-05,0.0,0.0,8.804525714367628e-05,0.0,1,0,0
2,adam,5e-05,0.0002021937225435977,8.290306254821189e-05,0.0,0.0,0.0,0.0,5.0255978180757666e-05,2.732633618052205e-05,0.0,0.0,4.170834552041924e-05,0.0,0.00018436097889207304,6.393317016772926e-05,0.0,0.0,0.0,0.0,2.2506581444758922e-05,1.672169310040772e-05,0.0,0.0,8.119954145513475e-05,0.0,1,0,0
3,adam,5e-05,0.00010105066485266434,4.416877777657646e-05,0.0,0.0,0.0,0.0,1.8354653263941145e-05,9.113840746977075e-06,0.0,0.0,2.9413394031507778e-05,0.0,0.00011626890045590699,3.904984987457283e-05,0.0,0.0,0.0,0.0,1.91565395653015e-05,3.929877493646927e-06,0.0,0.0,5.413263716036454e-05,0.0,1,0,0
4,adam,5e-05,6.301608300418593e-05,2.6316423031857994e-05,0.0,0.0,0.0,0.0,1.2625543291733266e-05,3.478736417150685e-06,0.0,0.0,2.0595380192389712e-05,0.0,0.00010380339517723769,2.8760434361174703e-05,0.0,0.0,0.0,0.0,1.6106907423818484e-05,2.959110815936583e-06,0.0,0.0,5.597694689640775e-05,0.0,1,0,0
5,adam,5e-05,5.076753154753533e-05,1.823254302735222e-05,0.0,0.0,0.0,0.0,1.051537350349463e-05,2.7838310501238084e-06,0.0,0.0,1.9235783781823557e-05,0.0,0.0001007929677143693,2.3778069589752704e-05,0.0,0.0,0.0,0.0,1.385854102409212e-05,2.3263228285941295e-06,0.0,0.0,6.083003245294094e-05,0.0,1,0,0
6,adam,5e-05,4.6550553179258713e-05,1.5412440347972733e-05,0.0,0.0,0.0,0.0,9.106827036475806e-06,2.185227145901081e-06,0.0,0.0,1.984605887628277e-05,0.0,9.507343202130869e-05,2.1303878384060226e-05,0.0,0.0,0.0,0.0,1.3413328815659042e-05,1.7887388139570248e-06,0.0,0.0,5.8567486121319234e-05,0.0,1,0,0
7,adam,5e-05,4.805627122550504e-05,1.546804037388938e-05,0.0,0.0,0.0,0.0,1.1732392124486068e-05,2.150962657765376e-06,0.0,0.0,1.8704876310948748e-05,0.0,9.45029896683991e-05,2.242414302600082e-05,0.0,0.0,0.0,0.0,1.5629064364475198e-05,2.227707454949268e-06,0.0,0.0,5.422207323135808e-05,0.0,1,0,0
8,adam,5e-05,4.078010101693508e-05,1.3426400414573436e-05,0.0,0.0,0.0,0.0,9.84553250304998e-06,1.8990383026107338e-06,0.0,0.0,1.5609129832228064e-05,0.0,9.131211845669895e-05,2.2344016542774625e-05,0.0,0.0,0.0,0.0,1.1518816791067366e-05,1.8496160691938712e-06,0.0,0.0,5.559967030421831e-05,0.0,1,0,0
9,adam,5e-05,3.5821135611513455e-05,1.242474399987259e-05,0.0,0.0,0.0,0.0,8.272506647699629e-06,1.8168247635230728e-06,0.0,0.0,1.3307060271472437e-05,0.0,8.292899292428046e-05,2.0015568225062452e-05,0.0,0.0,0.0,0.0,1.1657801223918796e-05,1.7038232726918068e-06,0.0,0.0,4.955179974786006e-05,0.0,1,0,0
10,adam,5e-05,3.401174035388976e-05,1.1715105813436821e-05,0.0,0.0,0.0,0.0,7.729416381607734e-06,1.5160264936753265e-06,0.0,0.0,1.3051191842805565e-05,0.0,8.638249710202217e-05,1.916251130751334e-05,0.0,0.0,0.0,0.0,1.0877614840865135e-05,1.377516241518606e-06,0.0,0.0,5.496485027833842e-05,0.0,1,0,0
11,adam,5e-05,3.299635989151284e-05,1.1063237536745874e-05,0.0,0.0,0.0,0.0,7.293010298781155e-06,1.5500835317538986e-06,0.0,0.0,1.3090027948692295e-05,0.0,9.0506233391352e-05,1.8951073798234574e-05,0.0,0.0,0.0,0.0,1.3362544450501446e-05,1.2892990071122767e-06,0.0,0.0,5.690331454388797e-05,0.0,1,0,0
