tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.9228695470889225,-0.9228695727131618,-2.5624239285981787e-08,1.3207064830655924,1.3207065443315742,6.12659818433059e-08,0.1076004599828706,0.10760046128041367,1.2975430729866844e-09,-0.011212201820876011,-0.011212201942160044,-1.2128403316380432e-10,-0.38808014747648834,-0.3880802441327697,-9.665628136756865e-08
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.889911368752716,-0.8899113884328473,-1.9680131302379777e-08,1.519187875498318,1.5191879670809596,9.15826416925114e-08,0.12852818356501317,0.1285281849291636,1.3641504315042852e-09,-0.014821827783728647,-0.01482182803827446,-2.5454581324690917e-10,-0.4774357332942847,-0.4774358512318729,-1.179375881954492e-07
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.8801674489042344,-0.8801674669739094,-1.8069674978526962e-08,1.550364009395011,1.5503641105234414,1.0112843029652652e-07,0.13357601434837996,0.13357601572819636,1.3798164000267121e-09,-0.015550892172033759,-0.015550892401320184,-2.2928642491593099e-10,-0.50342272778503,-0.5034228503178702,-1.2253284009666743e-07
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.8235077066173768,-0.8235077174251854,-1.0807808537016683e-08,1.610365490956056,1.6103655387700413,4.781398521558344e-08,0.15635032096950052,0.15635032227595452,1.306454000538082e-09,-0.01755505716544148,-0.017555057223495315,-5.805383604395864e-11,-0.6704013539263198,-0.6704014984093696,-1.4448304974656878e-07
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.7766523612687259,-0.776652367021933,-5.753207021896856e-09,1.573507130148144,1.5735071651017607,3.495361666772112e-08,0.1669736455980897,0.1669736466201031,1.022013418339185e-09,-0.017429852905981313,-0.017429852919167568,-1.318625417190411e-11,-0.854297835684581,-0.8542980021424064,-1.6645782541235832e-07
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.7668893857670778,-0.7668893905669174,-4.799839636859815e-09,1.55718868910526,1.5571887952346843,1.0612942435983541e-07,0.16804938199471708,0.16804938294694055,9.52223466743618e-10,-0.01725435713473278,-0.017254357141153937,-6.421158743608046e-12,-0.9014150476505112,-0.9014152204871679,-1.7283665676437465e-07
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.734642217365411,-0.7346422199903702,-2.6249591389415627e-09,1.4794785507810104,1.4794785650378948,1.4256884339758358e-08,0.168217737111509,0.16821773785838356,7.468745621963535e-10,-0.016414893555249943,-0.016414893555522933,-2.729899639675182e-13,-1.0875483197658742,-1.0875485228404174,-2.0307454318135854e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.7184582721339594,-0.7184582748495578,-2.7155984128057753e-09,1.4323295272067327,1.4323294947604839,-3.2446248798834176e-08,0.16624476895432672,0.1662447696336048,6.792780782305385e-10,-0.01590441991800029,-0.015904419918095488,-9.519815491465522e-14,-1.2023544678360643,-1.2023546943036265,-2.2646756225874753e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.7164686084676353,-0.7164686112701748,-2.8025395337749615e-09,1.4268933479222312,1.4268933327745543,-1.5147676890592265e-08,0.16590998209442542,0.16590998277055413,6.761287085765844e-10,-0.015838678101287584,-0.01583867809764111,3.646475482677047e-12,-1.2175823260165974,-1.217582555871741,-2.2985514358531134e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.7106946408921844,-0.7106946440542173,-3.1620329687953586e-09,1.4124111491486957,1.4124111624000575,1.3251361785648896e-08,0.1648308564683454,0.1648308571298843,6.615389069875022e-10,-0.01564378973500924,-0.01564378973544512,-4.3588049836174036e-13,-1.2631542765448311,-1.2631545169228156,-2.4037798440623703e-07
1.6453333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,148,-0.709758358496404,-0.7097583617300902,-3.233686207693154e-09,1.410294603321205,1.410294578952031,-2.4369174012051076e-08,0.16464130503185403,0.16464130568981886,6.579648215154776e-10,-0.015611591361042176,-0.015611591360548701,4.934750524876463e-13,-1.270733194825846,-1.2707334370112373,-2.421853912970562e-07
1.734,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,156,-0.7024946662231857,-0.7024946700950023,-3.8718166450735225e-09,1.3968333156810786,1.396833238227068,-7.745401053860235e-08,0.16304256278354412,0.16304256343423887,6.506947480833247e-10,-0.015356230619323341,-0.015356230620030912,-7.075711544457519e-13,-1.331191396314324,-1.3311916534417416,-2.5712741757999424e-07
1.90025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,171,-0.6896443034878907,-0.6896443085232231,-5.035332373282131e-09,1.3893469097414624,1.389346814362345,-9.537911727086623e-08,0.15974656325440373,0.15974656390215314,6.47749409665721e-10,-0.01488936307386668,-0.014889363069948985,3.917694293975593e-12,-1.443656466932064,-1.4436567540915093,-2.871594453335291e-07
