epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde
1,adam,5e-05,0.0007836424192646518,0.00011115483559365202,0.0,0.0,0.0,0.0,0.00010496195054798818,9.714231232749171e-05,0.0,0.0,0.00047038331763360475,0.0,0.00023828979465179145,3.2731764804339036e-05,0.0,0.0,0.0,0.0,9.334153583040461e-05,2.343583219044376e-05,0.0,0.0,8.878067455952987e-05,0.0,1,0,0,-7.999875379027799e-05,-7.999875379027799e-05,1.0000800019537759
2,adam,5e-05,8.440490285011037e-05,-2.2348038349662147e-05,0.0,0.0,0.0,0.0,5.2891070481564384e-05,1.5239407815670347e-05,0.0,0.0,3.8622462056991935e-05,0.0,3.423418093007058e-06,-9.586197847966105e-05,0.0,0.0,0.0,0.0,3.254208786529489e-05,6.911181571922498e-06,0.0,0.0,5.983213122817688e-05,0.0,1,0,0,-0.00015999595052562654,-0.00015999595052562654,1.0001600087505604
3,adam,5e-05,-0.00010475716567270865,-0.00015409717207148788,0.0,0.0,0.0,0.0,1.502046967516435e-05,5.849153694725828e-06,0.0,0.0,2.847038388154033e-05,0.0,-0.00011423372779972851,-0.00019087950931861997,0.0,0.0,0.0,0.0,1.360281112283701e-05,2.838603677446372e-06,0.0,0.0,6.020437285769731e-05,0.0,1,0,0,-0.0002399900695309043,-0.0002399900695309043,1.0002400188694516
4,adam,5e-05,-0.0002171639625885291,-0.0002501962053429452,0.0,0.0,0.0,0.0,1.0081395913630331e-05,2.6942709894228756e-06,0.0,0.0,2.025657829562988e-05,0.0,-0.0002133219677489251,-0.0002826378040481359,0.0,0.0,0.0,0.0,1.3856721125193872e-05,1.904063992697047e-06,0.0,0.0,5.3555064368993044e-05,0.0,1,0,0,-0.000319978833431378,-0.000319978833431378,1.000320030032119
5,adam,5e-05,-0.00030812309159955475,-0.0003373073304828722,0.0,0.0,0.0,0.0,9.628612616552346e-06,1.9528463610640756e-06,0.0,0.0,1.7602777063530084e-05,0.0,-0.00030058686388656497,-0.0003672890306916088,0.0,0.0,0.0,0.0,1.1409433682274539e-05,1.4852981848889613e-06,0.0,0.0,5.380746006267145e-05,0.0,1,0,0,-0.0003999614273197949,-0.0003999614273197949,1.000400041422556
6,adam,5e-05,-0.0003936187167710159,-0.0004202835843898356,0.0,0.0,0.0,0.0,7.958179480738181e-06,1.569980746296551e-06,0.0,0.0,1.7136705082521075e-05,0.0,-0.00038426945684477687,-0.00044973011245019734,0.0,0.0,0.0,0.0,1.0024449693446513e-05,1.3087754950902308e-06,0.0,0.0,5.4127463954500854e-05,0.0,1,0,0,-0.00047993744374252856,-0.00047993744374252856,1.0004800526321445
7,adam,5e-05,-0.00047472675214521587,-0.0005006122319173301,0.0,0.0,0.0,0.0,8.783351290730934e-06,1.4111136579231243e-06,0.0,0.0,1.5691022326791426e-05,0.0,-0.00046171824214980006,-0.000529133656527847,0.0,0.0,0.0,0.0,1.0845787983271293e-05,1.2400550986058079e-06,0.0,0.0,5.53295758436434e-05,0.0,1,0,0,-0.0005599069409072399,-0.0005599069409072399,1.0005600637180574
8,adam,5e-05,-0.0005589072716247756,-0.0005824221334478352,0.0,0.0,0.0,0.0,7.978684379850165e-06,1.2552881756278111e-06,0.0,0.0,1.428089223054485e-05,0.0,-0.000552928657270968,-0.0006095319986343384,0.0,0.0,0.0,0.0,1.1121100214950275e-05,1.2164556437710417e-06,0.0,0.0,4.426574378157966e-05,0.0,1,0,0,-0.0006398698897100985,-0.0006398698897100985,1.000640074650119
9,adam,5e-05,-0.0006418516422854736,-0.0006631528012803756,0.0,0.0,0.0,0.0,7.5211077330550324e-06,1.2191987934784265e-06,0.0,0.0,1.2560857499011036e-05,0.0,-0.0006343386485241354,-0.0006915914709679782,0.0,0.0,0.0,0.0,9.585658517607953e-06,1.1593938324949704e-06,0.0,0.0,4.6507811930496246e-05,0.0,1,0,0,-0.0007198265520855784,-0.0007198265520855784,1.0007200856893923
10,adam,5e-05,-0.0007240815393743105,-0.0007437951790052466,0.0,0.0,0.0,0.0,6.7456110457442264e-06,1.0780896637641035e-06,0.0,0.0,1.188994306744462e-05,0.0,-0.0007118501816876233,-0.0007730688084848225,0.0,0.0,0.0,0.0,9.129817044595256e-06,9.433102263756155e-07,0.0,0.0,5.11455255036708e-05,0.0,1,0,0,-0.0007997768116183579,-0.0007997768116183579,1.0008000967183714
