tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.9307100495102583,-0.9307100748629578,-2.5352699495329034e-08,1.150610626221571,1.150610593787514,-3.243405699571156e-08,0.0997457108264932,0.09974571227092124,1.4444280493908224e-09,-0.004616515878047567,-0.004616515978734312,-1.0068674539953637e-10,-0.37423885498155673,-0.3742389124311723,-5.744961556475303e-08
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.9063699500702627,-0.9063699732489907,-2.3178728048023345e-08,1.3952078992129913,1.3952079005570661,1.3440748514170764e-09,0.12188535604917838,0.12188535760376328,1.5545848913722793e-09,-0.006769669887995988,-0.0067696699471140025,-5.911801430336094e-11,-0.4620658814530332,-0.4620659563126489,-7.485961572850641e-08
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.8985215056894758,-0.898521527798481,-2.21090052932027e-08,1.4508965695547715,1.4508965409104764,-2.864429515803124e-08,0.12739871628891786,0.12739871789898846,1.6100706046184854e-09,-0.0073233375108561205,-0.007323337561447804,-5.059168362020472e-11,-0.48776407982870085,-0.48776415881284213,-7.898414128293396e-08
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.8472710687759677,-0.8472710838710324,-1.509506475372291e-08,1.6510095124377955,1.651009589710341,7.727254547340578e-08,0.15409400168309162,0.1540940035365408,1.8534491719179869e-09,-0.01019961211129461,-0.010199612162939195,-5.1644586177013174e-11,-0.651936900903094,-0.6519370021232612,-1.0122016724789518e-07
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.7996029049184283,-0.799602914331739,-9.413310686490206e-09,1.6947750314244558,1.6947751177061996,8.628174374969433e-08,0.16910835148709058,0.16910835329405655,1.8069659657449222e-09,-0.011712532146379573,-0.011712532180567167,-3.4187593728196575e-11,-0.8292535433082615,-0.8292536686917766,-1.2538351512603185e-07
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.7892386874036594,-0.7892386956581569,-8.2544974189247e-09,1.692805506881001,1.6928055539035691,4.702256806154992e-08,0.17114046904687097,0.17114047080767505,1.7608040858707596e-09,-0.01184100114015596,-0.011841001165278968,-2.512300784074384e-11,-0.8742048375351419,-0.8742049698962431,-1.323611011905257e-07
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.7538839504248052,-0.7538839552058757,-4.7810705394724096e-09,1.6555836979126326,1.6555837469347734,4.902214079116618e-08,0.17431468474993217,0.17431468632832672,1.5783945539471489e-09,-0.011843593583082956,-0.011843593585877357,-2.7944001279589514e-12,-1.0506606537752372,-1.0506608187309188,-1.649556815586095e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.7354425093661354,-0.7354425130669184,-3.7007830133717334e-09,1.6174590056206029,1.6174589308219023,-7.479870056670279e-08,0.1736361416043719,0.17363614309240763,1.4880357224189567e-09,-0.011709144734084465,-0.011709144734135743,-5.127842594987442e-14,-1.158916581874836,-1.1589167714307813,-1.8955594538461185e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.7331494491230606,-0.7331494527440442,-3.6209836240530535e-09,1.6120908497008202,1.6120908906344924,4.093367222957056e-08,0.17344491563459075,0.17344491711549676,1.480906008932692e-09,-0.011690142114606505,-0.011690142114306508,2.999978737650011e-13,-1.1732509368375665,-1.173251129920043,-1.93082476451778e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.7264780527502235,-0.7264780562392825,-3.4890590416836176e-09,1.5961627852778548,1.5961628733675781,8.808972329354958e-08,0.17275975382813336,0.1727597552728767,1.444743352729816e-09,-0.011632410375772562,-0.011632410376396793,-6.242315692128741e-13,-1.2161170994981485,-1.216117303467334,-2.0396918554155263e-07
1.6453333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,148,-0.725395040344079,-0.725395043824762,-3.4806830750966355e-09,1.5935679109624346,1.5935679978171795,8.685474495173651e-08,0.17263076622420215,0.1726307676714274,1.4472252563013654e-09,-0.011622663725618931,-0.01162266372614881,-5.298782246310196e-13,-1.2232414928092794,-1.2232416986399253,-2.058306458607717e-07
1.734,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,156,-0.7170034359371691,-0.7170034394546905,-3.517521385276723e-09,1.5739838432615727,1.5739839153640125,7.210243979649533e-08,0.17146869838752243,0.1714686997995744,1.412051975346884e-09,-0.01154283963994418,-0.011542839640015833,-7.165275317522202e-14,-1.280028781116549,-1.2800290022555962,-2.211390472961483e-07
1.90025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,171,-0.7023719789706062,-0.7023719829036821,-3.933075864992475e-09,1.5462789271225574,1.5462789662233256,3.910076817881247e-08,0.16879848301537548,0.16879848438001865,1.3646431762381894e-09,-0.011381923674946837,-0.011381923678658984,-3.712146909307101e-12,-1.3854591479919853,-1.3854593995364644,-2.515444790240906e-07
1.9224166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,173,-0.7005075950272666,-0.700507599024272,-3.997005393330255e-09,1.5436954825531757,1.5436955179061327,3.535295700629604e-08,0.16840488955810473,0.16840489091673375,1.3586290148470681e-09,-0.01135959167425371,-0.01135959167148681,2.766901291417767e-12,-1.3994057780042368,-1.3994060337326322,-2.557283953485978e-07
1.9335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,174,-0.6995815610749689,-0.6995815650989169,-4.023947952624951e-09,1.5425062116491972,1.5425061579859027,-5.366329447475948e-08,0.16820532052819193,0.16820532188367773,1.3554858069309006e-09,-0.011348400768551592,-0.011348400771087466,-2.535874288334128e-12,-1.406368678835146,-1.4063689366598537,-2.57824707805554e-07
0.3264166666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,210,-0.9471963534533889,-0.9471963777898377,-2.4336448745110317e-08,0.9182200749746627,0.9182199703671122,-1.0460755051067139e-07,0.07525439400107858,0.07525439561124894,1.610170358157248e-09,-0.0023352874446713745,-0.0023352878788737968,-4.342024222808716e-10,-0.2907952278562165,-0.2907952612252582,-3.3369041696484913e-08
0.5148333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,227,-0.9084646595519663,-0.9084646833785918,-2.382662545041825e-08,1.3851444990997663,1.3851445177894655,1.8689699121665626e-08,0.1202780301390316,0.12027803175021128,1.6111796757867225e-09,-0.006894637588905628,-0.0068946376622146645,-7.330903679242384e-11,-0.44213719890828784,-0.4421372702293936,-7.13211057434826e-08
0.5480833333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,230,-0.9005915993098856,-0.9005916220854608,-2.2775575203581866e-08,1.445110797693161,1.4451108033999152,5.7067541803235144e-09,0.12612388395227825,0.1261238856133898,1.6611115538633925e-09,-0.007485657904093834,-0.007485657964927175,-6.083334096879112e-11,-0.46792254924821197,-0.4679226248968321,-7.564862014586282e-08
0.6589166666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,240,-0.8738885218509407,-0.8738885408083862,-1.895744550228784e-08,1.5869735248141836,1.5869735754416887,5.062750507711655e-08,0.14234831873960463,0.14234832055780278,1.8181981475962061e-09,-0.009167298830881077,-0.009167298880694135,-4.981305819218296e-11,-0.5517692552553521,-0.5517693431105777,-8.785522553900194e-08
