check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,0,0.0,0.0,,,,,,,,
nonnegative_price,non_hard,price,32626,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,905,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,5,0.0001526204938799182,0.00032074402560209627,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,32626,5,0.00015325200760129957,0.00032074402560209627,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,5,0.0055248618784530384,0.00032074402560209627,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,28,0.0008546747657275418,0.014315799163743198,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,32626,28,0.0008582112425672777,0.014315799163743198,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,28,0.030939226519337018,0.014315799163743198,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,176,0.005372241384573121,0.43601285954579705,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,32626,176,0.005394470667565745,0.43601285954579705,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,176,0.19447513812154696,0.43601285954579705,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
