epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde,loss_log_var_no_arbitrage,loss_log_var_clamped_no_arbitrage,loss_weight_no_arbitrage
1,adam,5e-05,0.000746144876757171,0.00011115542267248202,0.0,0.0,0.0,0.0,0.00010496252921399218,9.714235746116628e-05,0.0,0.0,0.00043288456214440885,0.0,0.00015828917094040662,3.2733241823734716e-05,0.0,0.0,0.0,0.0,9.334172500530258e-05,2.3435741240973584e-05,0.0,0.0,8.77845650393283e-06,0.0,1,0,0,-7.999875379027799e-05,-7.999875379027799e-05,1.0000800019537759,-8.001309470273554e-05,-8.001309470273554e-05,1.0000800162958359
2,adam,5e-05,-3.3095055869125645e-05,-2.2346463104838676e-05,0.0,0.0,0.0,0.0,5.289177363465569e-05,1.5239432940461484e-05,0.0,0.0,-7.887979893439478e-05,0.0,-0.00015656680625397712,-9.586117084836587e-05,0.0,0.0,0.0,0.0,3.254305192967877e-05,6.911237960594008e-06,0.0,0.0,-0.00010015993029810488,0.0,1,0,0,-0.00015999595052562654,-0.00015999595052562654,1.0001600087505604,-0.00016002444317564368,-0.00016002444317564368,1.00016003724777
3,adam,5e-05,-0.0003022394193976652,-0.000154095880134264,0.0,0.0,0.0,0.0,1.5021378601431934e-05,5.849248609024471e-06,0.0,0.0,-0.00016901416529435664,0.0,-0.00035419175401329994,-0.0001908785488922149,0.0,0.0,0.0,0.0,1.3604249033960514e-05,2.8386982648953563e-06,0.0,0.0,-0.0001797561562852934,0.0,1,0,0,-0.0002399900695309043,-0.0002399900695309043,1.0002400188694516,-0.00024002800637390465,-0.00024002800637390465,1.0002400568154008
4,adam,5e-05,-0.0004946075096086133,-0.0002501950966689037,0.0,0.0,0.0,0.0,1.0082561232138687e-05,2.6943738902218684e-06,0.0,0.0,-0.0002571893519416335,0.0,-0.0005332267610356212,-0.0002826363197527826,0.0,0.0,0.0,0.0,1.3858542843081523e-05,1.904067289615341e-06,0.0,0.0,-0.00026635301765054464,0.0,1,0,0,-0.000319978833431378,-0.000319978833431378,1.000320030032119,-0.0003200230421498418,-0.0003200230421498418,1.0003200742549865
5,adam,5e-05,-0.0006655060933553614,-0.00033730582435964607,0.0,0.0,0.0,0.0,9.630041688524216e-06,1.9529469241774677e-06,0.0,0.0,-0.00033978325336647686,0.0,-0.0007004173239693046,-0.0003672869934234768,0.0,0.0,0.0,0.0,1.1411322702770121e-05,1.4853519587632036e-06,0.0,0.0,-0.00034602696541696787,0.0,1,0,0,-0.0003999614273197949,-0.0003999614273197949,1.000400041422556,-0.00040001014713197947,-0.00040001014713197947,1.0004000901618595
6,adam,5e-05,-0.0008309212134918198,-0.0004202818527119234,0.0,0.0,0.0,0.0,7.959929405387811e-06,1.570144412710306e-06,0.0,0.0,-0.0004201694391667843,0.0,-0.0008640080923214555,-0.00044972877367399633,0.0,0.0,0.0,0.0,1.0026558811659925e-05,1.3089886579109589e-06,0.0,0.0,-0.00042561491136439145,0.0,1,0,0,-0.00047993744374252856,-0.00047993744374252856,1.0004800526321445,-0.00047998956870287657,-0.00047998956870287657,1.000480104782129
7,adam,5e-05,-0.0009919273143168539,-0.0005006098272133386,0.0,0.0,0.0,0.0,8.785806102196148e-06,1.4112445683167607e-06,0.0,0.0,-0.0005015145361539908,0.0,-0.0010213381610810757,-0.0005291306297294796,0.0,0.0,0.0,0.0,1.084828454622766e-05,1.2399841580190696e-06,0.0,0.0,-0.0005042958073318005,0.0,1,0,0,-0.0005599069409072399,-0.0005599069409072399,1.0005600637180574,-0.0005599617725238204,-0.0005599617725238204,1.0005601185803845
8,adam,5e-05,-0.0011559883496374823,-0.0005824195577588398,0.0,0.0,0.0,0.0,7.980762120496365e-06,1.2554387964769376e-06,0.0,0.0,-0.00058280500525143,0.0,-0.0011924203718081117,-0.0006095285061746836,0.0,0.0,0.0,0.0,1.1123525837319903e-05,1.2165872931291233e-06,0.0,0.0,-0.000595232006162405,0.0,1,0,0,-0.0006398698897100985,-0.0006398698897100985,1.000640074650119,-0.0006399271660484374,-0.0006399271660484374,1.0006401319631202
9,adam,5e-05,-0.0013187928270781413,-0.000663150549371494,0.0,0.0,0.0,0.0,7.522882384591867e-06,1.2193226837098337e-06,0.0,0.0,-0.0006643844826612622,0.0,-0.0013536771293729544,-0.0006915886187925935,0.0,0.0,0.0,0.0,9.588375178282149e-06,1.1594823945415555e-06,0.0,0.0,-0.0006728363805450499,0.0,1,0,0,-0.0007198265520855784,-0.0007198265520855784,1.0007200856893923,-0.0007198858074843884,-0.0007198858074843884,1.0007201449874619
10,adam,5e-05,-0.0014808631531195715,-0.0007437926578859333,0.0,0.0,0.0,0.0,6.747996081912788e-06,1.078239986185281e-06,0.0,0.0,-0.0007448967480740976,0.0,-0.0015110151143744588,-0.0007730669458396733,0.0,0.0,0.0,0.0,9.13218900677748e-06,9.434504022465262e-07,0.0,0.0,-0.0007480237982235849,0.0,1,0,0,-0.0007997768116183579,-0.0007997768116183579,1.0008000967183714,-0.000799837987869978,-0.000799837987869978,1.000800157943572
