tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.6285217226248418,-0.6285170736006905,4.649024151315295e-06,-38.551258507713015,-38.551083767901304,0.0001747398117117882,-3.015343552599803,-3.0147814897988354,0.0005620628009674888,0.08586306805058452,0.08586301359848882,-5.44520957074246e-08,-0.40613759743290956,-0.4061375973105427,1.2236683888389166e-10
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-3.330113034533122,-3.3300936323930697,1.9402140052360295e-05,-206.54433672273598,-206.54400379742174,0.00033292531423967375,-17.842150319000716,-17.839616980640095,0.0025333383606209736,0.7153244108243362,0.715324269128304,-1.416960321298788e-07,-0.5211162683932402,-0.5211162681453549,2.4788526786778675e-10
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-5.087536691704697,-5.087516320150153,2.037155454370776e-05,-287.11325479324756,-287.1133321171523,-7.732390474757267e-05,-27.669908283321497,-27.667404072325688,0.0025042109958093306,1.082700801169345,1.0827006925081353,-1.0866120980779215e-07,-0.5579599011718006,-0.5579599008766065,2.951940913931139e-10
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-10.411772179904077,-10.411787394455057,-1.5214550980857666e-05,223.54109828759405,223.54227292875993,0.0011746411658748457,-57.73527069288797,-57.737290910580064,-0.002020217692091819,1.8411183680688836,1.8411184083834407,4.031455702602216e-08,-0.7941517720241875,-0.7941517712339307,7.902568599504889e-10
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-2.35109210516643,-2.351087786469329,4.318697101268754e-06,58.19456586064753,58.194477656982365,-8.820366516459899e-05,-8.735032129381093,-8.733675203586778,0.0013569257943153445,0.2462076715431527,0.24620764276173834,-2.8781414362910596e-08,-1.021399025475378,-1.0213990236178612,1.8575168070356085e-09
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-1.8162768419249797,-1.8162743587222199,2.4832027598620243e-06,33.52970582848336,33.5296504159159,-5.5412567455448425e-05,-5.354673461441666,-5.353869287494268,0.0008041739473982901,0.150400498360459,0.1504004830239906,-1.5336468400795056e-08,-1.0846530514813102,-1.0846530492459965,2.2353137119068833e-09
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-1.153102543939022,-1.153102248892416,2.9504660581380904e-07,4.802933334380199,4.802927252851076,-6.081529123846963e-06,-1.0646144624011644,-1.064503505230707,0.00011095717045739306,0.03531992928407224,0.03531992775872165,-1.5253505888934704e-09,-1.3416640346057551,-1.3416640303529543,4.252800778203891e-09
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-1.0680623514308651,-1.0680622559533897,9.547747548133145e-08,1.798033782973718,1.798032031906949,-1.7510667691400528e-06,-0.4913582978482989,-0.49131881734044097,3.9480507857903024e-05,0.02112107962720655,0.021121079162081228,-4.651253236731545e-10,-1.502763861187112,-1.5027638552054314,5.981680484268281e-09
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-1.0617447092688137,-1.0617446261550978,8.31137159096329e-08,1.5956937743366595,1.5956922707850747,-1.5035515847916514e-06,-0.448041035200214,-0.4480062359135802,3.479928663380205e-05,0.020075992729490233,0.020075992326985398,-4.0250483501758083e-10,-1.5242226300181405,-1.524222623775353,6.242787620180934e-09
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-1.0466984236362498,-1.0466983679682904,5.566795935330049e-08,1.1317556503076531,1.1317546897306712,-9.605769819565069e-07,-0.34419524781684196,-0.3441710588277237,2.4188989118267834e-05,0.017593058399267836,0.01759305813429571,-2.6497212410325766e-10,-1.5885572977335227,-1.5885572906632206,7.070302121547911e-09
1.6453333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,148,-1.044653851730859,-1.0446537995484861,5.2182372867193294e-08,1.0709533759811762,1.0709524769754324,-8.990057438484911e-07,-0.3299963367654757,-0.32997352273523783,2.281403023784989e-05,0.01725631261190186,0.017256312364256662,-2.4764519601649937e-10,-1.599273268930862,-1.5992732617155734,7.2152885888243645e-09
1.734,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,156,-1.0317333565437736,-1.0317333247876086,3.1756165030927264e-08,0.7019942016572855,0.7019936842017565,-5.174555290921035e-07,-0.23963285020522918,-0.23961827442557038,1.4575779658798638e-05,0.015131416870733938,0.015131416722678821,-1.480551167776234e-10,-1.6849293996099024,-1.68492939116695,8.442952337262e-09
1.90025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,171,-1.0179029844703535,-1.0179029707916647,1.3678688848273168e-08,0.3452704289141906,0.34527022268430146,-2.0622988911034312e-07,-0.14116451951678988,-0.14115765689558202,6.8626212078592985e-06,0.012859254856639746,0.012859254794428315,-6.22114304515975e-11,-1.8451678859582321,-1.845167874854356,1.110387604086327e-08
1.9224166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,173,-1.0166817919406157,-1.0166817796186658,1.2321949904858798e-08,0.3163553835561217,0.3163551983406747,-1.852154469794698e-07,-0.1323386476415056,-0.13233239330870522,6.254332800381679e-06,0.012658276187377249,0.012658276131387066,-5.599018297608449e-11,-1.866495300626575,-1.8664952891305024,1.1496072538363933e-08
1.9335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,174,-1.0161099216891845,-1.0161099099869562,1.1702228297494344e-08,0.3029936496146135,0.3029934730455273,-1.7656908618546296e-07,-0.1281957175464088,-0.1281897431336848,5.9744127239858e-06,0.012564104250739616,0.012564104197531683,-5.320793285135128e-11,-1.8771556158764247,-1.877155604181255,1.1695169721548382e-08
0.3264166666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,210,-0.17693528119422375,-0.17693450093711008,7.802571136694691e-07,-6.875981650722451,-6.875951848806276,2.980191617574235e-05,-0.5770342341010481,-0.5769564614825842,7.77726184639782e-05,-0.08522947301914385,-0.08522947740276299,-4.383619134351591e-09,-0.30668053549176566,-0.3066805354375249,5.424077853533049e-11
