check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,0,0.0,0.0,,,,,,,,
nonnegative_price,non_hard,price,32626,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,905,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,129,0.003937608742101889,1.8756103974123153e-05,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,32626,129,0.003953901796113529,1.8756103974123153e-05,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,129,0.1425414364640884,1.8756103974123153e-05,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,14286,0.43606727511370225,38.50072562816862,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,32626,14224,0.43597131122417704,36.39126103091396,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,105,0.11602209944751381,38.50072562816862,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,1629,0.3333333333333333,38.50072562816862,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,62,0.45925925925925926,38.50072562816862,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,2342,0.07148743933335368,6171.285699505655,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,32626,2331,0.07144608594372587,4226.944075865996,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,368,0.4066298342541437,6171.285699505655,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,11,0.0022508696541845715,6171.285699505655,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,11,0.08148148148148149,6171.285699505655,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
