epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count
1,adam,0.001,786103347.1737199,1.0543334931135178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786103346.4361428,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,1,0,0
2,adam,0.001,15750995437.54202,1.3237420748919249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15750995436.299778,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
3,adam,0.001,275567108.92143065,1.061947736889124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275567107.86891353,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
4,adam,0.001,26459356.022929393,1.6135605834424496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26459354.574660264,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
5,adam,0.001,8624990.582223468,1.783931314945221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8624988.963473998,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
6,adam,0.001,4853373.523419008,1.9843367412686348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4853371.75315656,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
7,adam,0.001,3930396.7064330876,1.8916750252246857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3930394.72130266,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
8,adam,0.001,3745569.2478215694,1.994583297520876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3745567.137778409,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
9,adam,0.001,2984947.3271753117,1.9981965571641922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2984945.3540285737,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
10,adam,0.001,2716293.475573197,2.0364862084388733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2716291.319593473,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
11,adam,0.001,2394007.3361869045,1.8685623817145824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2394005.3571009645,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
12,adam,0.001,2342979.839076087,1.8432262167334557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2342977.8943821127,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
13,adam,0.001,1974098.0707102865,2.182027332484722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974095.930840988,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
14,adam,0.001,1814451.889963001,2.170026559382677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1814449.744825482,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
15,adam,0.001,1752101.226360947,1.9759455360472202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752099.1969181327,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
16,adam,0.001,1531626.622899726,1.9290050715208054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1531624.6926815324,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
17,adam,0.001,1424866.4772982895,1.931561216711998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424864.5518098958,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
18,adam,0.001,1329750.5139809698,2.1613394916057587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1329748.332611924,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
19,adam,0.001,1272428.1722284406,2.0957493260502815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272426.089290345,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
20,adam,0.001,1155615.0408583432,2.1783722043037415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155612.8283756683,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
21,adam,0.001,1080934.0887900218,2.0883713252842426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080931.982923827,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
22,adam,0.001,1024896.1237324327,2.0243148021399975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024894.0718495359,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
23,adam,0.001,964263.5177561566,2.179561212658882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964261.3116961364,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
24,adam,0.001,920415.4778438583,2.0634486973285675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920413.4036211381,0.0,0.0,12456292352.0,1.331834316253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12456292352.0,0.0,0.0,0,0,0
25,adam,0.001,870561.3980450183,2.209256064146757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870559.2042314145,0.0,0.0,10444919.0,3.853586435317993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10444915.0,0.0,0.0,1,0,0
26,adam,0.001,819505.7741542906,2.1583977714180946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819503.585772058,0.0,0.0,10444919.0,3.853586435317993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10444915.0,0.0,0.0,0,0,0
27,adam,0.001,776212.9069434404,2.349370889365673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776210.5298932791,0.0,0.0,10444919.0,3.853586435317993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10444915.0,0.0,0.0,0,0,0
