check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,961,0,0.0,0.0,,,,,,,,
nonnegative_price,non_hard,price,956,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,31,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,155,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,5,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,961,465,0.4838709677419355,0.0457113300820687,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,956,463,0.48430962343096234,0.0457113300820687,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,31,15,0.4838709677419355,0.0457113300820687,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,155,62,0.4,0.0026877111202201855,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,5,2,0.4,0.0026877111202201855,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,961,48,0.04994797086368366,0.005732967412007401,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,956,46,0.04811715481171548,0.005732967412007401,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,31,15,0.4838709677419355,0.005732967412007401,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,155,2,0.012903225806451613,0.0017819656158174994,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,5,2,0.4,0.0017819656158174994,,,,,,,,
convexity_gamma_ge_0,full,gamma,961,10,0.01040582726326743,0.14107646925303444,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,956,10,0.010460251046025104,0.14107646925303444,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,31,10,0.3225806451612903,0.14107646925303444,,,,,,,,
convexity_gamma_ge_0,atm,gamma,155,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,5,0,0.0,0.0,,,,,,,,
finite_values,full,price,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,31,0,0.0,0.0,,,,,,,,
finite_values,atm,price,155,0,0.0,0.0,,,,,,,,
finite_values,hard,price,5,0,0.0,0.0,,,,,,,,
finite_values,full,delta,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
