epoch,optimizer_phase,lr,lambda_g1_effective,lambda_g2_effective,loss_total,loss_base,loss_g1,loss_g2,loss_base_pde,loss_base_term,loss_base_low
1,adam,0.0001,0.0003125,0.0003125,5.052017058915226e-06,5.007049367122818e-06,6.751680484740064e-05,7.63802308938466e-05,1.7844881767814513e-06,3.2048251341620926e-06,1.7735931834295116e-08
2,adam,0.0001,0.000625,0.000625,0.0019989991560578346,0.001990783028304577,0.0027041686698794365,0.010441431775689125,0.00015581575280521065,0.0010936285834759474,0.0007413388229906559
3,adam,0.0001,0.0009375,0.0009375,0.00020687990763690323,0.0002033050695899874,0.0009819605620577931,0.0028312017675489187,4.039132909383625e-05,5.8093119150726125e-05,0.0001048206104314886
4,adam,0.0001,0.00125,0.00125,0.0011547990143299103,0.0011538855032995343,0.00022509490372613072,0.0005057498347014189,1.4042611837794539e-05,0.00041260768193751574,0.0007272352231666446
5,adam,0.0001,0.0015625,0.0015625,0.0009261518134735525,0.0009241574443876743,0.0007113318424671888,0.0005650388193316758,1.9425286154728383e-05,0.0006040217122063041,0.00030071043875068426
6,adam,0.0001,0.001875,0.001875,0.00034301273990422487,0.0003366580931469798,0.0015164483338594437,0.0018727058777585626,1.7298629245487973e-05,0.00031456659780815244,4.792885192728136e-06
7,adam,0.0001,0.0021875,0.0021875,0.0004429306136444211,0.0004356871941126883,0.0018067358760163188,0.0015045406762510538,4.109518340555951e-05,0.00010441691119922325,0.00029017511405982077
8,adam,0.0001,0.0025,0.0025,0.0006060533341951668,0.0006007615011185408,0.0015894518001005054,0.00052729866001755,1.7207035853061825e-05,0.00010078864579554647,0.00048276581219397485
9,adam,0.0001,0.0028125,0.0028125,0.00043421785812824965,0.0004306151531636715,0.0010790227679535747,0.00020194494572933763,1.4477034710580483e-05,0.00015269206778611988,0.00026344606885686517
10,adam,0.0001,0.003125,0.003125,0.0001710853393888101,0.00016656698426231742,0.0008611083030700684,0.0005847613210789859,1.0771569577627815e-05,0.00013545773981604725,2.0337665773695335e-05
11,adam,0.0001,0.0034375,0.0034375,0.00023427067208103836,0.00022826212807558477,0.0006439706194214523,0.001103968359529972,8.400140359299257e-06,0.00012796337250620127,9.189862612402067e-05
12,adam,0.0001,0.00375,0.00375,0.00044254082604311407,0.0004307186754886061,0.0011056095827370882,0.002046964131295681,1.0435082003823482e-05,0.00011807739792857319,0.00030220620101317763
13,adam,0.0001,0.0040625,0.0040625,0.0004086011031176895,0.00039828731678426266,0.0012163015780970454,0.0013224753784015775,8.99196311365813e-06,7.731851655989885e-05,0.00031197682255879045
14,adam,0.0001,0.004375,0.004375,0.0001685006427578628,0.00016249800682999194,0.0009373164502903819,0.0004347153881099075,1.3095911526761483e-05,2.0877569113508798e-05,0.00012852452346123755
15,adam,0.0001,0.0046875,0.0046875,2.706347731873393e-05,2.0362951545394026e-05,0.0007545418338850141,0.000674903392791748,1.0204757927567698e-05,6.423626928153681e-06,3.734567144419998e-06
16,adam,0.0001,0.005,0.005,0.00011467847798485309,0.00010766433842945844,0.0007019853219389915,0.0007008416578173637,9.425999451195821e-06,2.6167130272369832e-05,7.20712123438716e-05
17,adam,0.0001,0.0053125,0.0053125,0.00027021177811548114,0.0002603237226139754,0.000707606493961066,0.001153675839304924,8.919820174924098e-06,5.277414311422035e-05,0.00019862975750584155
18,adam,0.0001,0.005625,0.005625,0.000276543025393039,0.0002706982777453959,0.0005397312925197184,0.0004993313923478127,1.057793360814685e-05,6.376444798661396e-05,0.00019635588978417218
19,adam,0.0001,0.0059375,0.0059375,0.00013729908096138388,0.00013412308180704713,0.0003292395267635584,0.00020566504099406302,8.621969755040482e-06,4.1961589886341244e-05,8.35395185276866e-05
20,adam,0.0001,0.00625,0.00625,4.7316771087935194e-05,4.439628537511453e-05,0.00022975901083555073,0.00023751861590426415,9.355486326967366e-06,3.0159873858792707e-05,4.880923370365053e-06
21,adam,0.0001,0.0065625,0.0065625,7.622778502991423e-05,6.629762356169522e-05,0.00037686811992898583,0.001136298757046461,1.2809227882826235e-05,2.2046711819712073e-05,3.14416793116834e-05
22,adam,0.0001,0.006875,0.006875,0.00013180241512600332,0.0001252017536899075,0.0004822672053705901,0.0004778290167450905,1.0508925697649829e-05,2.5512101274216548e-05,8.918072853703052e-05
