model,region,variable,n,rmse,mae,p90_abs,p99_abs
PINN_baseline,full_grid,price,961,0.004215678336762745,0.0036675225650842787,0.006436741786076117,0.006684562077459844
PINN_baseline,full_grid,delta,961,0.03587235588654374,0.029122086062439264,0.05969598072607951,0.0786414293771856
PINN_baseline,full_grid,gamma,961,1.0074125922857982,0.3996938415322122,0.7153525862882582,3.960724046998683
PINN_baseline,full_grid,vega,961,0.06395163647507399,0.055852216712243344,0.0972677999117233,0.11678679385663468
PINN_baseline,full_grid,theta,961,0.019504594504815925,0.005529430019302829,0.007970464934576916,0.089229615620003
PINN_baseline,full_grid,rho,961,0.08305203382320424,0.07082294260052935,0.13040275296109127,0.1669142215001253
PINN_baseline,hard_grid,price,441,0.004672047301963634,0.004616351890819619,0.005223921323884162,0.006446771144700052
PINN_baseline,hard_grid,delta,441,0.07515314933914516,0.059007136280956156,0.12801185542759047,0.20419496114805383
PINN_baseline,hard_grid,gamma,441,4.106598724018961,2.967492074785501,5.842741168246416,14.882000939394555
PINN_baseline,hard_grid,vega,441,0.08377078059390967,0.07982848860840598,0.10799246319615591,0.11437481330519604
PINN_baseline,hard_grid,theta,441,0.06146439941388222,0.03485335830212751,0.09015833695646766,0.2537542185613352
PINN_baseline,hard_grid,rho,441,0.12680802309191735,0.12470167299944693,0.1549556711137015,0.16299714390959616
ANN_BS_MIX_v09,full_grid,price,961,0.012627794053137855,0.0018599320219165952,0.0019439791640464832,0.0026925822707022816
ANN_BS_MIX_v09,full_grid,delta,961,0.07269677604151335,0.011363729859008895,0.012314816343503815,0.02565976087955824
ANN_BS_MIX_v09,full_grid,gamma,961,0.9317194645423652,0.18024234555234092,0.1382450155271282,3.682069348613943
ANN_BS_MIX_v09,full_grid,vega,961,0.029539005495714848,0.02222087593529357,0.04802540189848453,0.07676839138924799
ANN_BS_MIX_v09,full_grid,theta,961,0.014908234402738727,0.006503361403011123,0.01183824248703284,0.07276302023506037
ANN_BS_MIX_v09,full_grid,rho,961,0.00754959403375124,0.006102241704051898,0.011796211801043066,0.01774395388350964
ANN_BS_MIX_v09,hard_grid,price,441,0.00044484984154549755,0.0002511314642204457,0.00036795017011254094,0.002004754977678295
ANN_BS_MIX_v09,hard_grid,delta,441,0.024272439537388727,0.010821090420083057,0.03558724954937109,0.11081535200953467
ANN_BS_MIX_v09,hard_grid,gamma,441,2.467880175024781,0.7311427098654748,1.700799807477992,10.451311319288475
ANN_BS_MIX_v09,hard_grid,vega,441,0.06816561317389036,0.026100167428950764,0.014791658329113805,0.33660627316020814
ANN_BS_MIX_v09,hard_grid,theta,441,0.10226003985286417,0.029731584702606895,0.05683633178977529,0.5894599987500578
ANN_BS_MIX_v09,hard_grid,rho,441,0.005319477380677644,0.0029116554643213747,0.0022308581313089278,0.024539052383217224
ANN_BS_MIX_v04,full_grid,price,961,0.008848014347764275,0.0009391443129446993,0.001073463783176909,0.0014565555249964055
ANN_BS_MIX_v04,full_grid,delta,961,0.046453237293997175,0.008334700465553804,0.013127672976730287,0.02265885558466419
ANN_BS_MIX_v04,full_grid,gamma,961,0.5166272534198098,0.15137764096318956,0.18788727502843017,3.3142620604240074
ANN_BS_MIX_v04,full_grid,vega,961,0.037289684679311076,0.02702944664000876,0.0622743803215757,0.11111973441723688
ANN_BS_MIX_v04,full_grid,theta,961,0.010211433628979479,0.003757158596014367,0.005592861730298798,0.06046849850440116
ANN_BS_MIX_v04,full_grid,rho,961,0.015853749225432718,0.012205418486312153,0.02604589172437788,0.041676574177351926
ANN_BS_MIX_v04,hard_grid,price,441,0.00041350971592723167,0.0003722297778097465,0.0006255903134805285,0.0007698983072123247
ANN_BS_MIX_v04,hard_grid,delta,441,0.008223949276225537,0.006991179682200615,0.010340269539790448,0.02679916650407721
ANN_BS_MIX_v04,hard_grid,gamma,441,0.7519882820040326,0.4278233642664921,0.6838644153853508,3.76764822769252
ANN_BS_MIX_v04,hard_grid,vega,441,0.04034401312726703,0.0375937753428595,0.056768310577515385,0.06903882790172465
ANN_BS_MIX_v04,hard_grid,theta,441,0.01872041967831459,0.014428165989630122,0.022903554805965926,0.07639157946603799
ANN_BS_MIX_v04,hard_grid,rho,441,0.0010646557516864631,0.0007604968004125846,0.001953991109101865,0.00268069484202133
ANN_BS_Liu_like_tanh_1M_v01,full_grid,price,961,0.014626954629835771,0.0013708994895101985,0.00018577910534001152,0.0010425455670534203
ANN_BS_Liu_like_tanh_1M_v01,full_grid,delta,961,0.09110748988912697,0.009720029871033726,0.0023565574153292567,0.04493794717504793
ANN_BS_Liu_like_tanh_1M_v01,full_grid,gamma,961,0.602939302790952,0.10338334459601223,0.04138171156164683,3.3411490846906227
ANN_BS_Liu_like_tanh_1M_v01,full_grid,vega,961,0.009997902209470807,0.007962702336003448,0.011659662081321964,0.03249765009784061
ANN_BS_Liu_like_tanh_1M_v01,full_grid,theta,961,0.01561970276789719,0.0026826858050484088,0.0006172403888613162,0.07217418487437274
ANN_BS_Liu_like_tanh_1M_v01,full_grid,rho,961,0.0039862422279133055,0.002105575804432731,0.0029251292777722204,0.006224418378585689
ANN_BS_Liu_like_tanh_1M_v01,hard_grid,price,441,0.0019000761207055609,0.0017837875650118695,0.002542738464871408,0.0026911585292711316
ANN_BS_Liu_like_tanh_1M_v01,hard_grid,delta,441,0.03448703934515908,0.028584606157007295,0.05490600093725828,0.07385766339332636
