model,region,variable,n,rmse,mae,p90_abs,p99_abs
PINN_baseline,full_grid,price,961,0.0042156783367627,0.0036675225650842,0.0064367417860761,0.0066845620774598
PINN_baseline,full_grid,delta,961,0.0358723558865437,0.0291220860624392,0.0596959807260795,0.0786414293771856
PINN_baseline,full_grid,gamma,961,1.0074125922857982,0.3996938415322122,0.7153525862882582,3.960724046998683
PINN_baseline,full_grid,vega,961,0.0639516364750739,0.0558522167122433,0.0972677999117233,0.1167867938566346
PINN_baseline,full_grid,theta,961,0.0195045945048159,0.0055294300193028,0.0079704649345769,0.089229615620003
PINN_baseline,full_grid,rho,961,0.0830520338232042,0.0708229426005293,0.1304027529610912,0.1669142215001253
PINN_baseline,hard_grid,price,441,0.0046720473019636,0.0046163518908196,0.0052239213238841,0.0064467711447
PINN_baseline,hard_grid,delta,441,0.0751531493391451,0.0590071362809561,0.1280118554275904,0.2041949611480538
PINN_baseline,hard_grid,gamma,441,4.106598724018961,2.967492074785501,5.842741168246416,14.882000939394556
PINN_baseline,hard_grid,vega,441,0.0837707805939096,0.0798284886084059,0.1079924631961559,0.114374813305196
PINN_baseline,hard_grid,theta,441,0.0614643994138822,0.0348533583021275,0.0901583369564676,0.2537542185613352
PINN_baseline,hard_grid,rho,441,0.1268080230919173,0.1247016729994469,0.1549556711137015,0.1629971439095961
ANN_BS_MIX_v09,full_grid,price,961,0.0126277940531378,0.0018599320219165,0.0019439791640464,0.0026925822707022
ANN_BS_MIX_v09,full_grid,delta,961,0.0726967760415133,0.0113637298590088,0.0123148163435038,0.0256597608795582
ANN_BS_MIX_v09,full_grid,gamma,961,0.9317194645423652,0.1802423455523409,0.1382450155271282,3.682069348613943
ANN_BS_MIX_v09,full_grid,vega,961,0.0295390054957148,0.0222208759352935,0.0480254018984845,0.0767683913892479
ANN_BS_MIX_v09,full_grid,theta,961,0.0149082344027387,0.0065033614030111,0.0118382424870328,0.0727630202350603
ANN_BS_MIX_v09,full_grid,rho,961,0.0075495940337512,0.0061022417040518,0.011796211801043,0.0177439538835096
ANN_BS_MIX_v09,hard_grid,price,441,0.0004448498415454,0.0002511314642204,0.0003679501701125,0.0020047549776782
ANN_BS_MIX_v09,hard_grid,delta,441,0.0242724395373887,0.010821090420083,0.035587249549371,0.1108153520095346
ANN_BS_MIX_v09,hard_grid,gamma,441,2.467880175024781,0.7311427098654748,1.700799807477992,10.451311319288475
ANN_BS_MIX_v09,hard_grid,vega,441,0.0681656131738903,0.0261001674289507,0.0147916583291138,0.3366062731602081
ANN_BS_MIX_v09,hard_grid,theta,441,0.1022600398528641,0.0297315847026068,0.0568363317897752,0.5894599987500578
ANN_BS_MIX_v09,hard_grid,rho,441,0.0053194773806776,0.0029116554643213,0.0022308581313089,0.0245390523832172
ANN_BS_MIX_v04,full_grid,price,961,0.0088480143477642,0.0009391443129446,0.0010734637831769,0.0014565555249964
ANN_BS_MIX_v04,full_grid,delta,961,0.0464532372939971,0.0083347004655538,0.0131276729767302,0.0226588555846641
ANN_BS_MIX_v04,full_grid,gamma,961,0.5166272534198098,0.1513776409631895,0.1878872750284301,3.3142620604240074
ANN_BS_MIX_v04,full_grid,vega,961,0.037289684679311,0.0270294466400087,0.0622743803215757,0.1111197344172368
ANN_BS_MIX_v04,full_grid,theta,961,0.0102114336289794,0.0037571585960143,0.0055928617302987,0.0604684985044011
ANN_BS_MIX_v04,full_grid,rho,961,0.0158537492254327,0.0122054184863121,0.0260458917243778,0.0416765741773519
ANN_BS_MIX_v04,hard_grid,price,441,0.0004135097159272,0.0003722297778097,0.0006255903134805,0.0007698983072123
ANN_BS_MIX_v04,hard_grid,delta,441,0.0082239492762255,0.0069911796822006,0.0103402695397904,0.0267991665040772
ANN_BS_MIX_v04,hard_grid,gamma,441,0.7519882820040326,0.4278233642664921,0.6838644153853508,3.76764822769252
ANN_BS_MIX_v04,hard_grid,vega,441,0.040344013127267,0.0375937753428595,0.0567683105775153,0.0690388279017246
ANN_BS_MIX_v04,hard_grid,theta,441,0.0187204196783145,0.0144281659896301,0.0229035548059659,0.0763915794660379
ANN_BS_MIX_v04,hard_grid,rho,441,0.0010646557516864,0.0007604968004125,0.0019539911091018,0.0026806948420213
ANN_BS_Liu_like_tanh_1M_v01,full_grid,price,961,0.0146269546298357,0.0013708994895101,0.00018577910534,0.0010425455670534
ANN_BS_Liu_like_tanh_1M_v01,full_grid,delta,961,0.0911074898891269,0.0097200298710337,0.0023565574153292,0.0449379471750479
ANN_BS_Liu_like_tanh_1M_v01,full_grid,gamma,961,0.602939302790952,0.1033833445960122,0.0413817115616468,3.3411490846906227
ANN_BS_Liu_like_tanh_1M_v01,full_grid,vega,961,0.0099979022094708,0.0079627023360034,0.0116596620813219,0.0324976500978406
ANN_BS_Liu_like_tanh_1M_v01,full_grid,theta,961,0.0156197027678971,0.0026826858050484,0.0006172403888613,0.0721741848743727
ANN_BS_Liu_like_tanh_1M_v01,full_grid,rho,961,0.0039862422279133,0.0021055758044327,0.0029251292777722,0.0062244183785856
ANN_BS_Liu_like_tanh_1M_v01,hard_grid,price,441,0.0019000761207055,0.0017837875650118,0.0025427384648714,0.0026911585292711
ANN_BS_Liu_like_tanh_1M_v01,hard_grid,delta,441,0.034487039345159,0.0285846061570072,0.0549060009372582,0.0738576633933263
ANN_BS_Liu_like_tanh_1M_v01,hard_grid,gamma,441,2.1595629572879815,1.562186099696792,3.3651341744473537,6.688233645667837
ANN_BS_Liu_like_tanh_1M_v01,hard_grid,vega,441,0.1898537468494017,0.1689102334170138,0.2846762250285367,0.3122361673140851
ANN_BS_Liu_like_tanh_1M_v01,hard_grid,theta,441,0.0993981373484797,0.0807507943120384,0.1656341403109612,0.2297950053328714
ANN_BS_Liu_like_tanh_1M_v01,hard_grid,rho,441,0.0039607651950741,0.0031568402267395,0.0066503126278772,0.0094691618518733
PINN_Sobolev_mix_v02,full_grid,price,961,0.013595393968345195,0.011770987518255378,0.021343006251383377,0.024248284712320052
PINN_Sobolev_mix_v02,full_grid,delta,961,0.023426086064366584,0.016681128810425955,0.03282651269780461,0.06724153568568064
PINN_Sobolev_mix_v02,full_grid,gamma,961,0.9398579890469025,0.24991649476561056,0.366976003291009,3.8044928762973584
PINN_Sobolev_mix_v02,full_grid,vega,961,0.03836246134019876,0.030702343401000774,0.06501468917164116,0.09717376010727966
PINN_Sobolev_mix_v02,full_grid,theta,961,0.028346586139911308,0.020872052262318433,0.028931520832620655,0.10039022346815628
PINN_Sobolev_mix_v02,full_grid,rho,961,0.3275474594669213,0.3254471582491893,0.3702946737310986,0.3857258737444081
PINN_Sobolev_mix_v02,hard_grid,price,441,0.01455257600997725,0.014517896092108198,0.015738457068335626,0.01620257976083739
PINN_Sobolev_mix_v02,hard_grid,delta,441,0.07594077336510864,0.06258395972257476,0.12033821386163679,0.18823416219617775
PINN_Sobolev_mix_v02,hard_grid,gamma,441,3.8091480258928114,2.6358061199450877,5.339966111791291,14.287181789834264
PINN_Sobolev_mix_v02,hard_grid,vega,441,0.05868231274848505,0.053987799776772635,0.08106598927482653,0.08683117064662305
PINN_Sobolev_mix_v02,hard_grid,theta,441,0.06456421323284665,0.045007951663143766,0.0984170816600376,0.22590191625988687
PINN_Sobolev_mix_v02,hard_grid,rho,441,0.259641334566755,0.25864258941786,0.2909857188840165,0.31544128209836836
PINN_ACV_control_variate,full_grid,price,961,0.004174822359170033,0.003596667541941911,0.006421216463314644,0.006681481568674532
PINN_ACV_control_variate,full_grid,delta,961,0.03301228500797203,0.02778449830900793,0.05797595086881935,0.07728775488256152
PINN_ACV_control_variate,full_grid,gamma,961,0.6339926184257174,0.3583732932281716,0.7155112576597115,2.821659883975779
PINN_ACV_control_variate,full_grid,vega,961,0.06304334681635122,0.05466218537427804,0.09567296933380698,0.11602923778381438
PINN_ACV_control_variate,full_grid,theta,961,0.011316996414987904,0.004631966607419846,0.0077493894168253336,0.06156363821124788
PINN_ACV_control_variate,full_grid,rho,961,0.08086329288726861,0.06837792376686974,0.12847022472951927,0.1581575984349884
PINN_ACV_control_variate,hard_grid,price,441,0.00027141656563994115,0.00021651735764528443,0.0004643288005922626,0.0007077023552089101
PINN_ACV_control_variate,hard_grid,delta,441,0.013016651595805158,0.011397080643342281,0.01989444890014569,0.022807746436278458
PINN_ACV_control_variate,hard_grid,gamma,441,0.7922634579588208,0.6065703630805187,0.7907494392748546,3.3338568168166796
PINN_ACV_control_variate,hard_grid,vega,441,0.004273843243463949,0.003416593387116168,0.007659802404405752,0.009190173032610122
PINN_ACV_control_variate,hard_grid,theta,441,0.014691758262069893,0.010108074476465258,0.017429614470690108,0.05959148499095702
PINN_ACV_control_variate,hard_grid,rho,441,0.0020126123673064934,0.0015310331805882568,0.0035700326456401567,0.005278216447123656
