region,model,n,price,delta,gamma,vega,theta,rho
general,PINN_ACV_log_learned_weights,961,0.04395364629690818,0.06718428840300122,2.202793601646534,0.09540805700506975,0.041025270659647145,0.04031852176706234
kink,PINN_ACV_log_learned_weights,441,0.0013455113174424508,0.012728688618653262,2.6194106662398635,0.005947704404604015,0.046837232031527266,0.0012539847825200415
no_kink,PINN_ACV_log_learned_weights,956,0.0440684356087561,0.06734674646413352,2.1922541974104433,0.09565600797719631,0.04077028261570225,0.040423813827855835
general,PINN_price00_baseline,961,0.11336739585421363,0.3911447200887937,2.208668579905168,0.1129764752590874,0.04665246059484532,0.24114244363938786
kink,PINN_price00_baseline,441,0.10076077895078021,0.4586003123430368,11.022147198561512,0.2016112478296261,0.1496120579295492,0.3387895060204254
no_kink,PINN_price00_baseline,956,0.11341495186074996,0.3901687759493445,1.837281974933698,0.11129712466195524,0.041959732337361534,0.2405035578867927
general,PINN_price01_right_vzero,961,0.049119707124576105,0.42515199368035916,2.328290061760872,0.12244354982582682,0.03844811443645505,0.24340373554247888
kink,PINN_price01_right_vzero,441,0.008708046836773679,0.4970133338393053,11.50098976644712,0.07236779358043972,0.1931870228166737,0.04031574807876641
no_kink,PINN_price01_right_vzero,956,0.04924170774003587,0.424164729844159,1.9608450409426093,0.12228769881658204,0.030761951976870008,0.24401539402086814
general,PINN_price02_guard_derivatives,961,0.04187299623019525,0.4129497520329146,2.3109904483042656,0.14232849263834046,0.034174875954733355,0.1769688746463809
kink,PINN_price02_guard_derivatives,441,0.023283684114902014,0.4621697765050663,11.537867902074806,0.08750836879372281,0.18303856440477712,0.07387798658613112
no_kink,PINN_price02_guard_derivatives,956,0.041936240420795176,0.4120939062445161,1.938637703289964,0.14216602325100897,0.02578925004798802,0.1773436091604463
general,PINN_price03_payoff_sqrt_time,961,0.07214709407342754,0.30627468010253367,44.36098194537789,0.30178629242321053,0.07783475764437468,0.29043216528574184
kink,PINN_price03_payoff_sqrt_time,441,0.01341075809503967,0.3038102156996801,53.35403446811128,0.13947741946831457,0.35059718082346064,0.07927558263210834
no_kink,PINN_price03_payoff_sqrt_time,956,0.07233483167706767,0.30698502226951363,43.90507006058262,0.3025582780683309,0.066500292698468,0.2911779963905503
general,PINN_price04_pde_normalized,961,0.058750205953396084,0.2695809079648762,1.9448461327342765,0.12684159324283042,0.03396016726179289,0.24141839136190313
kink,PINN_price04_pde_normalized,441,0.06968341249777539,0.30242192343103685,10.724542509117395,0.1026113511563575,0.1813978156935729,0.027522680916827767
no_kink,PINN_price04_pde_normalized,956,0.058662692314395554,0.26862368880508264,1.5219603072273833,0.12644788096491047,0.025558104402132922,0.24204180019601665
general,PINN_price05_log_core,961,0.04677319484204008,0.3257770054063627,17.00175088642568,0.2962913451146413,0.3209743867709822,0.56624682967563
kink,PINN_price05_log_core,441,0.0486602661233564,1.923502049610951,92.27295620025949,0.35719343742064236,1.1176087094820002,0.037863438334819956
no_kink,PINN_price05_log_core,956,0.04667819767263712,0.24260076654655513,4.468427839425411,0.2953513465236617,0.2067121654789462,0.5677161226647143
general,PINN_price06_learned_weights,961,0.04793620286971432,0.35671133167703706,2.1167496871908376,0.09918225031156737,0.04567686661731625,0.14938574096721516
kink,PINN_price06_learned_weights,441,0.021559709271006647,0.39255492636236916,10.844971721016384,0.1213465105682375,0.15183445786971944,0.03825040335966165
no_kink,PINN_price06_learned_weights,956,0.04802803171340432,0.35590164064113655,1.7326604592973525,0.09830382103714613,0.04082030637941633,0.14975273574381173
general,PINN_price07_combo_guard_norm_learned,961,0.04463498447681887,0.36792608414828437,2.270605614299477,0.13761393912973138,0.03637017891920187,0.27099842532075574
kink,PINN_price07_combo_guard_norm_learned,441,0.0410354341028682,0.40601801630275103,11.315201559898576,0.11400335484105555,0.16979221249576873,0.008230189284746765
no_kink,PINN_price07_combo_guard_norm_learned,956,0.04463475002535526,0.36708979858698876,1.8993686023427865,0.13721039434087268,0.029232076187617532,0.271706144699251
general,PINN_price08_combo_payoff_guard_norm_learned,961,0.04696304392655723,0.2928196936159427,44.349274434663,0.3286567786503118,0.046102076436361404,0.15114561959597447
kink,PINN_price08_combo_payoff_guard_norm_learned,441,0.008205074973846765,0.30324710973032204,53.35208890317289,0.1452171465010398,0.23409451500805342,0.03952663213369786
no_kink,PINN_price08_combo_payoff_guard_norm_learned,956,0.047085373949325555,0.2934909999655704,43.89321214753362,0.32949888114774434,0.038217271569827495,0.15153402082501058
general,PINN_price09_combo_log_guard_norm_learned,961,0.13902388674937782,3.260963301409582,477.04477126664443,4.544036672518945,0.48846277948481076,0.5898807010869573
kink,PINN_price09_combo_log_guard_norm_learned,441,0.18895016468873788,21.003070757166146,5611.699666164762,4.58191098863165,8.371735924173723,0.07266917009676048
no_kink,PINN_price09_combo_log_guard_norm_learned,956,0.1379688768489992,3.145624972279001,224.585151094898,4.555704917216086,0.4040723440071541,0.5914193450573446
