region_source,tau,moneyness,v,rho,kappa,gamma,bar_v,r,ref_price,ref_delta,ref_gamma,ref_vega,ref_theta,ref_rho
full_grid,0.005,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.20003747603683164,-0.977949271688185,-3.5081757612189683,-0.004950454369748159,0.044259601322117856,-0.004911984466936894
full_grid,0.07150000000000001,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1992852410611592,-0.9999997536975099,4.5870716584360365e-06,1.2640144842465862e-07,0.009992778949773469,-0.07144888064737047
full_grid,0.138,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19862165694172917,-0.9999258285386748,0.0072146983630805295,0.0001634097644989379,0.009940634500928868,-0.13780160012862833
full_grid,0.20450000000000002,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19797059794958816,-0.9990032875101336,0.06831990996864556,0.0021160493489318366,0.009560373362297672,-0.20392192511734863
full_grid,0.271,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19736104707173308,-0.9960482869637068,0.2115367198067304,0.00804781691658707,0.008697647752895403,-0.2694281123701712
full_grid,0.3375,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19682180150521944,-0.9905798781182045,0.41598519748533036,0.0183629275376872,0.0074748784825685345,-0.33388392509992676
full_grid,0.404,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1963711962784933,-0.9827397405928086,0.649650414209578,0.03215806500900398,0.006056063221112266,-0.396955447456107
full_grid,0.47050000000000003,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19601797500522744,-0.9729316566584352,0.8869473279760314,0.04816171269077718,0.004562297284484198,-0.4584379328061945
full_grid,0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19576430059184258,-0.9616210121642548,1.1110800242607688,0.06519638909044323,0.003072553281392519,-0.5182378162435834
full_grid,0.6035,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19560811489152985,-0.9492487902361701,1.3125459980257155,0.08233227387896425,0.0016367866545187251,-0.5763468132630613
full_grid,0.67,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1955447247563723,-0.9361976834503059,1.4871309987429875,0.09890586920625943,0.0002855378157753455,-0.6328169239161332
full_grid,0.7365,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19556787797317687,-0.9227818781414938,1.634125084143431,0.11448629230625595,-0.0009640471936785706,-0.6877388247282132
full_grid,0.803,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19567051263000113,-0.9092485473596466,1.7549228195718563,0.12882577837657472,-0.0021042029823036146,-0.7412246884657279
full_grid,0.8695,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19584527954175168,-0.8957850783266321,1.852019521785131,0.14181079438052513,-0.0031336383466643927,-0.7933955710455584
full_grid,0.936,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19608489688277742,-0.8825285545064865,1.928348474701325,0.15342048027703648,-0.0040553574356637905,-0.8443728450967364
